id,clockCycles,assemblyInstr,cInstr,cGimple,cReleaseSSA,cOptimized,LineExe,BranchesExe,OnceEe,CallExe,cc4cs,cc4ir,cc4ssa,cc4opt
values_11,4839,3020,218,811,594,2065,100.00,89.47,78.95,60.00,22.197,5.967,8.146,2.343
values_19,4862,3049,208,743,572,1938,100.00,89.47,78.95,60.00,23.375,6.544,8.500,2.509
values_12,4958,3091,224,856,610,2149,100.00,89.47,76.32,60.00,22.134,5.792,8.128,2.307
values_38,196087,124447,6078,26847,15738,13781,100.00,89.47,78.95,60.00,32.262,7.304,12.459,14.229
values_81,127322,80761,3982,17493,10381,9198,100.00,89.47,78.95,60.00,31.974,7.278,12.265,13.842
values_5,15429,9790,586,2375,1574,6119,100.00,89.47,78.95,60.00,26.329,6.496,9.802,2.521
values_40,97855,62645,3174,13946,8243,7389,100.00,89.47,78.95,60.00,30.830,7.017,11.871,13.243
values_70,9445,5963,378,1492,1027,3053,100.00,89.47,78.95,60.00,24.987,6.330,9.197,3.094
values_23,138141,87642,4283,18792,11177,9849,100.00,89.47,78.95,60.00,32.253,7.351,12.359,14.026
values_72,9190,5782,391,1560,1042,3191,100.00,89.47,78.95,60.00,23.504,5.891,8.820,2.880
values_79,9596,6080,366,1433,1013,2921,100.00,89.47,78.95,60.00,26.219,6.696,9.473,3.285
values_78,9393,5932,378,1494,1026,3053,100.00,89.47,78.95,60.00,24.849,6.287,9.155,3.077
values_87,128078,81225,3969,17411,10382,9159,100.00,89.47,78.95,60.00,32.270,7.356,12.337,13.984
values_6,15554,9883,577,2329,1561,5999,100.00,89.47,78.95,60.00,26.957,6.678,9.964,2.593
values_68,5093,3190,216,815,600,2068,100.00,89.47,76.32,60.00,23.579,6.249,8.488,2.463
values_69,5028,3146,218,826,601,2081,100.00,89.47,76.32,60.00,23.064,6.087,8.366,2.416
values_1,15609,9921,577,2349,1570,6031,100.00,89.47,78.95,60.00,27.052,6.645,9.942,2.588
values_45,98145,62891,3115,13583,8141,7259,100.00,89.47,78.95,60.00,31.507,7.226,12.056,13.520
values_33,196207,124631,5996,26360,15584,13613,100.00,89.47,78.95,60.00,32.723,7.443,12.590,14.413
values_15,5047,3167,210,768,585,1990,100.00,89.47,78.95,60.00,24.033,6.572,8.627,2.536
values_93,222752,141525,6781,29959,17624,15349,100.00,89.47,78.95,60.00,32.849,7.435,12.639,14.512
values_24,137591,87280,4284,18708,11143,9833,100.00,89.47,78.95,60.00,32.117,7.355,12.348,13.993
values_25,137619,87276,4322,19005,11223,9935,100.00,89.47,78.95,60.00,31.842,7.241,12.262,13.852
values_26,136621,86534,4390,19266,11296,10044,100.00,89.47,78.95,60.00,31.121,7.091,12.095,13.602
values_48,98421,63083,3094,13457,8110,7212,100.00,89.47,78.95,60.00,31.810,7.314,12.136,13.647
values_71,9356,5928,365,1414,998,2891,100.00,89.47,78.95,60.00,25.633,6.617,9.375,3.236
values_76,9380,5919,380,1503,1028,3077,100.00,89.47,78.95,60.00,24.684,6.241,9.125,3.048
values_7,15481,9825,587,2399,1582,6175,100.00,89.47,78.95,60.00,26.373,6.453,9.786,2.507
values_50,44267,27559,1502,6401,3969,25126,100.00,89.47,78.95,60.00,29.472,6.916,11.153,1.762
values_22,138511,87832,4314,19007,11253,9917,100.00,89.47,78.95,60.00,32.107,7.287,12.309,13.967
values_4,15394,9790,572,2290,1543,5895,100.00,89.47,78.95,60.00,26.913,6.722,9.977,2.611
