inputName,size,goal,a[size][size]
values_11,5,6,"[[-1330081171.395, -227727883.518, -2052736823.183, 820334463.631, 751430142.924],[-635852386.256, -1961633232.735, 575727254.783, -939938692.116, -1827012489.233],[767116760.03, 2007513737.119, 2081954860.339, 1332055361.404, 1120545252.626],[-379066549.625, -1624706450.95, 920577393.375, -1238310563.387, 728492037.702],[1726418977.681, 843196502.42, -698204515.659, -1354624702.978, 772961851.677]]"
values_19,5,221,"[[671360221.414, 1519869371.916, -802300489.639, -1409785980.407, 1048164268.895],[-483413707.616, -1497766451.905, -579592833.106, 1063423915.644, -1153613100.227],[1022224047.635, 229023859.093, -2045994477.779, -1044181715.809, -1872106209.266],[-1341072570.887, -1576242208.754, 437163937.292, -2145275172.087, 1358738034.946],[-535511351.543, -197021114.437, -859505702.605, -555970625.863, -1484502080.529]]"
values_12,5,125,"[[114916132.849, 74204708.378, -532350220.964, -697466521.099, 1038470646.981],[1866627000.421, -60808022.435, 1826282381.734, -218599941.056, 1552646160.278],[1351889300.217, -636361804.68, 1565194781.806, -1643630910.926, -987614347.635],[-1841966245.674, 722267991.385, 2049179306.45, 928182814.364, -1365493809.711],[2079987984.878, 2141758386.03, 235412823.778, 441782359.3, -2041755482.167]]"
values_38,4,113,"[[-1785607092.938, 1356407158.379, -1120379123.677, 558199012.918],[1508550032.417, 1426265166.515, -184659130.415, -420132533.221],[1920103878.85, 1203195845.855, 1695322109.334, -1686059080.615],[918772186.517, 694619389.959, -1441526329.839, 388862936.509]]"
values_81,12,6,"[[-1166159261.192, -954508733.9, -15166259.35, 691700361.06, -256136139.962, 1133591657.542, -2052879651.477, 1111994670.155, 1141086873.257, 1284581125.048, -484200789.538, -947955918.74],[1414403926.781, 1640665770.194, -1709314380.757, -1711850196.427, -1745538927.403, 211606474.184, 428751168.782, 181145826.468, 144529629.887, 1251557142.124, 269945715.419, 1658304933.819],[90658073.706, 1906972495.157, 2119428705.986, -1420773952.823, 1902302174.519, 2036145188.646, -350617642.922, 1895656980.07, -839899229.128, -1694467067.953, -2102793099.418, -1725321547.331],[-1471843653.926, 976886113.627, 1553054668.667, 1428321750.348, -288171806.215, -179983058.054, 1722927189.927, 1483494538.483, -200162279.988, -936485597.033, -1608036135.668, 78059148.085],[-1546978570.927, 984916594.605, 1553411718.389, -239051561.439, 200917776.631, 355775924.124, 1710792525.446, -348101940.15, 720418853.798, -1448551417.955, -442081446.207, -203033353.959],[1068994775.18, 1350298621.57, -1378056257.319, -373126269.911, -533643186.995, 5687201.883, 389661627.394, -664329455.185, 1667556166.148, 510808673.969, -918540273.466, 1467900142.029],[-489110303.544, 138512455.548, -2048412969.936, -78832882.623, 537236239.178, 1170789809.567, 498426339.269, 1978634810.285, -1177150608.427, -1875287360.351, -56620688.704, -91493252.53],[-1962707910.624, -627858334.52, 1633631182.168, 1716933547.932, -17086968.03, 248634816.889, -56157284.41, -914352061.339, -1034977283.959, -691786464.778, -1205121896.597, -1258433256.55],[-1874117738.704, -17592592.606, 1287025562.98, -1769374516.958, 998075144.556, 1478857706.991, -1392893843.877, 639140942.645, 1185529781.951, 1410033000.126, 1923101368.352, 2017251045.005],[-1546138958.902, 1150622586.271, -918206691.141, 789716057.231, -31191941.343, -1917481611.557, 468859586.362, 1857668058.044, 1983771864.061, -225085396.937, 357971885.613, -678017168.697],[-602524514.095, 1914368340.168, -149782316.964, 77152310.691, 1706278747.852, -1033856663.371, -2099740164.838, -1082839538.829, 110917819.106, 339532325.747, -1093809212.52, 676820971.575],[-1112166741.775, 2053108108.25, 1827429729.157, -1409018859.98, -1751738790.038, 1733543773.925, 352727697.12, 343325614.22, 807425957.897, -1300184979.188, 1800179783.34, -1910541645.69]]"
values_5,8,189,"[[-1167378180.474, -745992771.473, -745343823.64, 1426347236.848, 2134584772.559, -460423714.895, 142294458.909, 1472370574.07],[923057753.584, 1416809393.032, -2005725752.895, -36586795.066, 681015690.059, -1917577048.921, -1159627624.036, 858307137.511],[119645536.872, -2093333117.331, 29885832.489, 2061522188.808, -1189616208.534, 1983815316.581, 283429723.672, -1730866347.224],[1722565668.583, -2021636876.023, -710305324.826, -2127230613.324, 314741923.965, 77642342.524, -349122432.109, 2134407222.407],[2109282417.379, 943527477.121, -962954397.936, 977222756.158, 1051722948.248, 480579905.364, 1136857499.118, -2045609739.517],[408412227.535, 941166745.192, -1238676616.177, 1873783572.273, -1504291530.013, 1724228916.367, 1972089707.122, -687992736.23],[-400075054.843, -1553946671.951, -895798658.635, 565437153.806, 559758976.571, 1540929667.964, -1388422069.387, 1547761168.2],[-705811367.45, 1002571624.911, -1327291169.631, 819793923.957, 522371260.214, -1214236171.622, -1620853969.781, 1580893224.265]]"
values_40,19,10,"[[1027112905.2, -300571217.137, -1999210608.013, -1866030123.351, -1220242278.735, 1819705692.2, 1449375121.732, 1964687611.167, -691477960.526, -2030449405.602, -298697326.429, 1067551422.711, -363154110.389, -5339165.856, -1075408347.785, 435847114.669, -1026927739.709, 1004277519.468, 2121926346.969],[-2015745887.272, -1649070160.082, 1921619367.973, -1818500762.377, -1076045142.275, -1941602915.112, 1477979086.175, 1981248868.917, 169513082.118, 2128977975.404, 775306143.964, 1150629955.228, -293519650.009, -605331748.928, 1668040528.711, -1486865213.241, -1230538528.36, -1306771278.569, -2025009336.241],[1428753036.27, -1687322462.278, 884310722.821, -1115127998.654, 128043178.711, -163709679.066, 1000049875.081, -677304486.636, -2128513335.005, -1582288291.291, 2143620855.439, -1628274657.121, 1908824153.915, -1915473472.474, -613131937.337, -1078189.658, 688558154.461, -744877011.917, -319155321.273],[-540547292.337, -1534099285.468, -948765780.857, 531710647.03, -812121348.321, 40810582.781, 559142691.279, 1037512631.394, 402058991.632, 1186925647.081, 1920495571.839, -729194736.963, 1682351226.874, -2121015456.253, 1060339030.283, -527572129.87, -123452142.163, 1922834620.357, 1481282412.056],[-368027903.496, -466192648.948, 1160585174.654, -1728380721.782, -1793530402.136, -435979654.003, 1196489128.729, -1182716044.72, 2130851180.218, -353838286.605, 1446353109.186, -1710513734.115, 1877965515.336, -444516118.599, 1353507746.975, -1025795866.935, -1173269908.414, -1814893316.538, -696723310.516],[-916605777.601, -2066442873.551, -1146257576.881, 478995471.908, -220878731.883, 683949279.071, 2079454688.875, 206653522.187, -1411965144.564, -1941418315.032, 459793526.2, 1931235309.458, -559432005.555, 877463413.992, 1255203556.673, -1318420460.243, 1991253359.296, 78661644.721, 1260108897.003],[-1258751475.471, -1985324005.981, 1458841531.861, 573796147.319, -417060486.758, -2086092404.509, 546508889.269, 523206706.772, 992714126.272, 728487926.111, -98999134.407, 2085821150.237, -815443576.424, 2043864820.795, -1294685509.676, -554245733.973, 1566844839.123, 54240807.225, -1334990956.772],[-1900353617.028, 1823322363.376, -1457178160.282, -1196348783.24, 325018224.168, 145502704.371, -718473868.96, 1012173254.73, -96913701.533, -1549623831.604, -1872191869.454, -1771042041.558, 819415690.679, 215644150.749, -2001933307.804, 2143783084.862, 39510818.848, -1621325285.102, 1144265171.849],[184099966.841, -685495759.214, -386745369.481, -23281056.31, -1154250541.612, 406725141.701, 718199126.112, 1085503177.015, -447921514.643, 1683402329.706, -1034154895.473, -1665844768.467, -1087026656.812, 421203152.255, -1574643128.253, -1104681451.466, -1650310643.471, 1678000769.51, 645734304.887],[320259378.466, -6385109.797, 725777877.694, 1690325514.412, -166729946.367, -2079417796.16, -1963841851.368, -425036865.747, 294854039.124, 915492201.932, -976869551.483, -1472156614.486, 4018761.587, -1108617462.697, 314322242.705, 783959589.831, -1145039751.539, -396934540.772, 804954902.963],[1685591445.544, -1430263095.412, 1801093619.386, -407529283.972, 1693770387.411, -1427337379.834, -256080155.532, 84749344.238, 1716926771.196, 820781418.664, -357050639.162, -1157404281.379, 97542502.114, -685995941.981, -1642509840.858, -389566255.947, 1835365557.265, 1658216712.122, -1319475954.458],[1778522383.22, -1330997263.205, -1609650086.153, -636859255.356, -1906253456.762, -116480001.36, -1464793132.97, -361462610.18, 610837848.791, -168969100.204, -1054668628.617, -1130579358.66, 527408418.925, -1652190722.279, -1865357651.647, -263522382.033, -516760536.532, 1260013017.135, 1109472126.879],[534483181.808, 1465303844.058, -1893187660.55, 667200588.415, 1209838412.005, -1707335668.418, 1555365687.394, -1103949535.381, -1449574608.268, -1813357707.076, 2042084021.142, -886466815.308, -1671840859.818, -1697090146.963, 1754537236.564, 1231485127.925, 965088331.365, -546024733.529, -1813973072.354],[1350023541.613, 1000884885.544, 120212761.523, 1943408653.317, -895394768.496, -123913748.273, -471599136.26, -1283669115.69, 1299838326.553, -660302185.168, 142691022.283, 1406789630.132, -653816884.408, 1053667537.802, -1568821502.475, 1250548777.295, -344533920.261, 2051908998.924, -1255906721.282],[-1742657019.438, 1530243.035, 1064774484.42, 357654970.397, -18282610.912, -1775806110.814, 259832369.742, -1516230087.381, -447166742.533, -1812032180.489, 1624303271.916, 2074558547.029, -287298256.108, 577980697.067, 19013749.189, 1965690996.571, 1693144469.922, 400024505.994, 1646711604.656],[-1365588089.352, 135805478.694, -595862351.387, -1781762866.537, -2143357802.236, 537972525.408, -1421931307.198, -1234927577.623, 293083736.142, -1948899889.491, 1060238342.773, 386503583.448, 1214730647.447, -1022599291.058, -43791020.569, 1701149302.291, -482985648.464, 648920898.542, -640230427.643],[-1365868736.574, 672547499.087, 1350167398.543, 1279586516.155, -1377143286.903, -346125267.168, -165811613.33, 123554054.914, -4931526.655, 558998691.882, -1508908388.854, 26740460.408, 748129115.31, -1032230519.424, 1619820673.484, -1937065520.466, 544093404.644, -1094688765.046, 390412379.075],[674573225.991, 2073183996.048, 658212498.979, 1651241003.429, 41998744.516, 808377311.636, -1907642876.794, -767974178.512, -1685218292.718, 2960253.469, -725947729.946, -542805939.549, 1253234467.094, -193783038.692, 1695617282.419, 985087642.669, 1087746073.063, 2094640534.008, 1884569715.325],[893608117.34, 947137751.946, 444050513.284, 1413509077.388, -892167430.458, 1360407661.77, 5053570.39, -982365786.471, -209266455.887, 458280992.417, -199968215.949, 769033095.401, 2037523109.517, 1248882987.221, -1250971371.512, -1632054775.93, 2118671232.351, -808162167.043, 1608623521.829]]"
values_70,3,10,"[[-706815957.782, 1837046636.76, 893384179.117],[-1923403615.642, -736869710.055, -1238137844.161],[1706742250.197, 2007581850.922, 1120751839.639]]"
values_23,16,13,"[[-412778018.864, -1732369449.409, 2084918191.204, 719784890.107, 2033585812.373, 374577364.874, -1854446817.899, -1523705316.089, 1746199929.647, -1389023348.379, -386099837.152, -1730864860.435, -373375596.322, -406842452.56, 633411591.711, -1464853106.039],[758451244.753, -1725513049.148, -1328643693.159, 2056653180.945, -1572660094.776, 526320132.145, 1088873686.003, -938296835.672, -437792536.16, -1193511256.901, 1355430192.166, 1710035844.464, -867270525.595, 1083692075.221, 251865076.67, -2035213922.173],[80259830.74, -1331953296.747, -331165992.265, 771695342.932, -367898547.499, -742188286.015, 481835377.337, -862082374.772, -1399978991.279, 1261608326.826, -1315977370.541, 576857875.252, 740647555.069, 387832366.157, 1385194396.165, 443411386.041],[-140492705.554, 606257863.562, 1770430425.453, -2084663379.48, -921291294.547, 1888931871.94, -1533860207.414, 1924537532.497, 1532711148.714, -766323130.372, 598634422.885, -1640018478.954, -195196561.195, 1980576126.935, 508317545.711, -329072677.448],[1051987515.944, -2146705972.465, -1874980182.739, -731085770.488, -1366019773.865, 1077331519.124, -459645803.06, 707550604.545, -1536376016.503, -1079929326.237, 2009846950.616, -493691815.354, -1696276057.385, -639339658.538, 1627799243.52, 673367674.477],[-482753775.794, 1060184533.152, -1568433399.451, 1902704938.055, -1560549800.775, 862069531.338, -452735872.477, -824100972.512, -931884473.279, 65953506.73, 838332065.391, 1380937432.986, -1471917592.057, -864520004.333, 389943340.139, 1555599498.541],[1864716229.969, 1703700424.762, -1748879667.176, -1917942910.877, 1549396644.002, -91093150.942, -31511085.016, -88876917.919, 1467043193.977, 612739292.53, 670840012.923, 1637464389.889, -1628123835.257, 938702691.089, -1387095233.921, -1023064480.886],[-1516401549.085, 1172615201.335, 1540156207.155, 2009278221.547, 65051710.021, 187008928.334, 388004115.513, 1240209934.611, 1612097816.63, -1675319147.963, -340826861.552, -1716580750.699, 494948847.946, 233152153.901, -320808725.956, 1977027218.413],[-875082659.918, -436577729.908, -439329302.309, -1211214976.36, -1759689595.541, 1936833554.473, -1385554787.446, -1415403132.802, 149717041.269, -910029401.431, 296976482.492, -58932976.278, -2037518641.655, 1951175008.119, 687089842.723, -1673796311.259],[103126111.297, 400706007.547, -1884448875.959, 647155576.488, 597364646.239, -1916240744.442, -462132969.796, 1333448869.013, 575767516.617, -484385997.129, -349650754.873, 1510881381.339, -1227181285.401, -1738742090.071, -864528645.202, 1111876418.9],[-1920747375.957, 1029757626.796, 1196612519.457, 702572017.708, -331581587.396, -476882393.664, -489843314.769, -1880419469.797, -1615657979.026, -1826191796.814, 2145477972.001, 1691457878.619, 922677216.581, 1390501373.164, -901355638.727, -165342715.678],[825477456.744, -76878887.835, 1486532064.599, -124639497.033, 121529156.922, -129226609.042, -272667067.072, -310414095.181, 1092469831.141, -1990858278.923, -311274888.593, -19405146.949, -2079532132.259, -2000756577.288, 1516193702.911, 35632036.838],[1567987785.359, -2089595313.96, -1269374341.382, 916873515.988, 1498925907.713, -1508809725.172, -1479657257.214, -852288367.645, 1736721493.879, -2046756365.083, 1389217886.966, -988384777.68, 827269599.304, 1593134506.063, 665477078.759, 269839097.475],[-1021376050.515, -20157651.857, 1793591508.326, -1750265487.605, 343411918.816, -918883476.966, -1105073286.925, -1601765893.708, 237070087.939, -560744594.906, 720705741.377, 899233672.299, 1027979589.728, 652101798.009, 558127131.097, 31930891.551],[1671050089.257, 400154553.971, 1471821895.988, -1079656048.226, -480932301.835, 609079589.083, -1867161220.629, -1992175780.924, -38916367.058, -1057496214.901, -33333795.661, 1300296476.354, 341440216.668, 1728619669.102, -887129775.374, 95208543.351],[-972469870.014, -71007927.216, 179821324.363, 562452193.642, -1755453630.712, 399113625.488, -562249005.02, 1508885019.844, 438326147.327, 1266146429.914, -1383144428.883, -1012887963.501, -666218704.135, -1989707684.387, 55642018.476, 1914542866.974]]"
values_72,3,125,"[[1079860811.843, 966628991.269, 1784526759.305],[1628195239.112, -335362193.391, 457980666.62],[-531832177.697, -1995910912.587, 1527744950.319]]"
