id,clockCycles,assemblyInstr,cacheHit,cacheHitInstr,cacheHitData,MOPS,MIPS,MFLOPS,cInstr,cGimple,cReleaseSSA,cOptimized,LineExe,BranchesExe,OnceEe,CallExe,cc4cs,cc4ir,cc4ssa,cc4opt
values_11,,,,,,,,,3076,13429,7826,8331,100.00,89.47,78.95,60.00,0,0,0,0
values_19,,,,,,,,,3078,13347,7773,8290,100.00,89.47,78.95,60.00,0,0,0,0
values_12,,,,,,,,,3053,13183,7729,8219,100.00,89.47,78.95,60.00,0,0,0,0
values_38,,,,,,,,,5671,24980,14285,15257,100.00,89.47,78.95,60.00,0,0,0,0
values_81,,,,,,,,,3402,14903,8578,9187,100.00,89.47,78.95,60.00,0,0,0,0
values_5,,,,,,,,,4659,20503,11703,12546,100.00,89.47,78.95,60.00,0,0,0,0
values_40,,,,,,,,,6069,26733,15264,16318,100.00,89.47,78.95,60.00,0,0,0,0
values_70,,,,,,,,,2151,9369,5399,5819,100.00,89.47,78.95,60.00,0,0,0,0
values_23,,,,,,,,,1696,7301,4273,4589,100.00,89.47,78.95,60.00,0,0,0,0
values_72,,,,,,,,,2115,9157,5332,5716,100.00,89.47,78.95,60.00,0,0,0,0
values_79,,,,,,,,,2129,9210,5341,5743,100.00,89.47,78.95,60.00,0,0,0,0
values_78,,,,,,,,,2131,9182,5337,5739,100.00,89.47,78.95,60.00,0,0,0,0
values_87,,,,,,,,,3345,14559,8464,9016,100.00,89.47,78.95,60.00,0,0,0,0
values_6,,,,,,,,,4676,20567,11695,12565,100.00,89.47,78.95,60.00,0,0,0,0
values_68,,,,,,,,,4243,18545,10742,11429,100.00,89.47,78.95,60.00,0,0,0,0
values_69,,,,,,,,,4303,18850,10835,11588,100.00,89.47,78.95,60.00,0,0,0,0
values_1,,,,,,,,,4549,19988,11578,12292,100.00,89.47,78.95,60.00,0,0,0,0
values_45,,,,,,,,,5993,26382,15171,16135,100.00,89.47,78.95,60.00,0,0,0,0
values_33,,,,,,,,,5707,25125,14323,15334,100.00,89.47,78.95,60.00,0,0,0,0
values_15,,,,,,,,,3081,13471,7838,8349,100.00,89.47,78.95,60.00,0,0,0,0
values_93,,,,,,,,,4601,20151,11592,12375,100.00,89.47,78.95,60.00,0,0,0,0
values_24,,,,,,,,,1685,7249,4252,4559,100.00,89.47,78.95,60.00,0,0,0,0
values_25,,,,,,,,,1697,7286,4267,4586,100.00,89.47,78.95,60.00,0,0,0,0
values_26,,,,,,,,,1709,7388,4284,4621,100.00,89.47,78.95,60.00,0,0,0,0
values_48,,,,,,,,,6028,26597,15222,16228,100.00,89.47,78.95,60.00,0,0,0,0
values_71,,,,,,,,,2118,9119,5315,5705,100.00,89.47,78.95,60.00,0,0,0,0
values_76,,,,,,,,,2105,9019,5287,5662,100.00,89.47,78.95,60.00,0,0,0,0
values_7,,,,,,,,,4641,20361,11691,12504,100.00,89.47,78.95,60.00,0,0,0,0
values_50,,,,,,,,,1304,5541,3297,3531,100.00,89.47,78.95,60.00,0,0,0,0
values_22,,,,,,,,,1676,7194,4248,4543,100.00,89.47,78.95,60.00,0,0,0,0
values_4,,,,,,,,,4737,20930,11789,12728,100.00,89.47,78.95,60.00,0,0,0,0
values_32,,,,,,,,,5619,24680,14210,15122,100.00,89.47,78.95,60.00,0,0,0,0
values_77,,,,,,,,,2156,9326,5372,5804,100.00,89.47,78.95,60.00,0,0,0,0
values_91,,,,,,,,,4603,20125,11559,12351,100.00,89.47,78.95,60.00,0,0,0,0
values_42,,,,,,,,,6010,26466,15191,16176,100.00,89.47,78.95,60.00,0,0,0,0
values_13,,,,,,,,,3106,13574,7841,8388,100.00,89.47,78.95,60.00,0,0,0,0
values_41,,,,,,,,,5967,26253,15133,16070,100.00,89.47,78.95,60.00,0,0,0,0
values_55,,,,,,,,,1296,5484,3276,3504,100.00,89.47,78.95,60.00,0,0,0,0
values_31,,,,,,,,,5596,24493,14155,15043,100.00,89.47,78.95,60.00,0,0,0,0
values_66,,,,,,,,,4318,18927,10852,11623,100.00,89.47,78.95,60.00,0,0,0,0
values_65,,,,,,,,,4299,18879,10851,11598,100.00,89.47,78.95,60.00,0,0,0,0
values_62,,,,,,,,,4330,19051,10905,11682,100.00,89.47,78.95,60.00,0,0,0,0
values_21,,,,,,,,,1682,7239,4245,4549,100.00,89.47,78.95,60.00,0,0,0,0
values_95,,,,,,,,,4636,20334,11649,12471,100.00,89.47,78.95,60.00,0,0,0,0
values_84,,,,,,,,,3422,14930,8548,9193,100.00,89.47,78.95,60.00,0,0,0,0
values_58,,,,,,,,,1312,5614,3320,3563,100.00,89.47,78.95,60.00,0,0,0,0
values_64,,,,,,,,,4288,18778,10783,11530,100.00,89.47,78.95,60.00,0,0,0,0
values_83,,,,,,,,,3412,14943,8567,9197,100.00,89.47,78.95,60.00,0,0,0,0
values_94,,,,,,,,,4626,20274,11632,12439,100.00,89.47,78.95,60.00,0,0,0,0
values_0,,,,,,,,,4564,19861,11514,12252,100.00,89.47,78.95,60.00,0,0,0,0
values_99,,,,,,,,,4567,20017,11564,12305,100.00,89.47,78.95,60.00,0,0,0,0
values_96,,,,,,,,,4624,20350,11669,12467,100.00,89.47,78.95,60.00,0,0,0,0
values_67,,,,,,,,,4279,18749,10804,11533,100.00,89.47,78.95,60.00,0,0,0,0
values_61,,,,,,,,,4274,18770,10832,11546,100.00,89.47,78.95,60.00,0,0,0,0
values_43,,,,,,,,,6036,26523,15170,16197,100.00,89.47,78.95,60.00,0,0,0,0
values_2,,,,,,,,,4656,20485,11709,12543,100.00,89.47,78.95,60.00,0,0,0,0
values_54,,,,,,,,,1329,5650,3316,3583,100.00,89.47,78.95,60.00,0,0,0,0
values_30,,,,,,,,,5686,25073,14313,15300,100.00,89.47,78.95,60.00,0,0,0,0
values_59,,,,,,,,,1327,5709,3347,3605,100.00,89.47,78.95,60.00,0,0,0,0
values_85,,,,,,,,,3354,14578,8476,9037,100.00,89.47,78.95,60.00,0,0,0,0
values_74,,,,,,,,,2130,9170,5333,5738,100.00,89.47,78.95,60.00,0,0,0,0
values_90,,,,,,,,,4599,20196,11639,12407,100.00,89.47,78.95,60.00,0,0,0,0
values_18,,,,,,,,,3126,13616,7855,8423,100.00,89.47,78.95,60.00,0,0,0,0
values_52,,,,,,,,,1292,5446,3263,3488,100.00,89.47,78.95,60.00,0,0,0,0
values_44,,,,,,,,,5995,26448,15179,16152,100.00,89.47,78.95,60.00,0,0,0,0
values_17,,,,,,,,,3112,13536,7817,8376,100.00,89.47,78.95,60.00,0,0,0,0
values_36,,,,,,,,,5724,25247,14353,15385,100.00,89.47,78.95,60.00,0,0,0,0
values_49,,,,,,,,,6079,26760,15254,16323,100.00,89.47,78.95,60.00,0,0,0,0
values_86,,,,,,,,,3390,14790,8506,9118,100.00,89.47,78.95,60.00,0,0,0,0
values_37,,,,,,,,,5650,24833,14259,15201,100.00,89.47,78.95,60.00,0,0,0,0
values_56,,,,,,,,,1273,5353,3241,3442,100.00,89.47,78.95,60.00,0,0,0,0
values_63,,,,,,,,,4274,18775,10825,11542,100.00,89.47,78.95,60.00,0,0,0,0
values_35,,,,,,,,,5698,25089,14333,15326,100.00,89.47,78.95,60.00,0,0,0,0
values_97,,,,,,,,,4617,20298,11642,12440,100.00,89.47,78.95,60.00,0,0,0,0
values_75,,,,,,,,,2126,9239,5367,5760,100.00,89.47,78.95,60.00,0,0,0,0
values_57,,,,,,,,,1297,5514,3281,3509,100.00,89.47,78.95,60.00,0,0,0,0
values_88,,,,,,,,,3454,15141,8608,9289,100.00,89.47,78.95,60.00,0,0,0,0
values_10,,,,,,,,,3045,13282,7783,8252,100.00,89.47,78.95,60.00,0,0,0,0
values_53,,,,,,,,,1310,5556,3290,3536,100.00,89.47,78.95,60.00,0,0,0,0
values_8,,,,,,,,,4632,20344,11641,12460,100.00,89.47,78.95,60.00,0,0,0,0
values_39,,,,,,,,,5645,24832,14251,15190,100.00,89.47,78.95,60.00,0,0,0,0
values_47,,,,,,,,,5975,26322,15167,16107,100.00,89.47,78.95,60.00,0,0,0,0
values_60,,,,,,,,,4300,18861,10832,11582,100.00,89.47,78.95,60.00,0,0,0,0
values_89,,,,,,,,,3404,14908,8582,9194,100.00,89.47,78.95,60.00,0,0,0,0
values_51,,,,,,,,,1320,5639,3319,3574,100.00,89.47,78.95,60.00,0,0,0,0
