inputName,text,data,bss
values_11,13328,3672,744
values_19,13328,3672,744
values_12,13328,3672,744
values_38,13328,6872,872
values_81,13328,4016,760
values_5,13344,5552,824
values_40,13312,7344,888
values_70,17952,2456,680
values_23,17328,1944,648
values_72,17952,2456,680
values_79,17952,2456,680
values_78,17952,2456,680
values_87,13328,4016,760
values_6,13344,5552,824
values_68,13344,5144,808
values_69,13344,5144,808
values_1,13344,5552,824
values_45,13312,7344,888
values_33,13328,6872,872
values_15,13328,3672,744
values_93,13344,5552,824
values_24,17328,1944,648
values_25,17328,1944,648
values_26,17328,1944,648
values_48,13312,7344,888
values_71,17952,2456,680
values_76,17952,2456,680
values_7,13344,5552,824
values_50,16736,1496,616
values_22,17328,1944,648
values_4,13344,5552,824
values_32,13328,6872,872
values_77,17952,2456,680
values_91,13344,5552,824
values_42,13312,7344,888
values_13,13328,3672,744
values_41,13312,7344,888
values_55,16736,1496,616
values_31,13328,6872,872
values_66,13344,5144,808
values_65,13344,5144,808
values_62,13344,5144,808
values_21,17328,1944,648
values_95,13344,5552,824
values_84,13328,4016,760
values_58,16736,1496,616
values_64,13344,5144,808
values_83,13328,4016,760
values_94,13344,5552,824
values_0,13344,5552,824
values_99,13344,5552,824
values_96,13344,5552,824
values_67,13344,5144,808
values_61,13344,5144,808
values_43,13312,7344,888
values_2,13344,5552,824
values_54,16736,1496,616
values_30,13328,6872,872
values_59,16736,1496,616
values_85,13328,4016,760
values_74,17952,2456,680
values_90,13344,5552,824
values_18,13328,3672,744
values_52,16736,1496,616
values_44,13312,7344,888
values_17,13328,3672,744
values_36,13328,6872,872
values_49,13312,7344,888
values_86,13328,4016,760
values_37,13328,6872,872
values_56,16736,1496,616
values_63,13344,5144,808
values_35,13328,6872,872
values_97,13344,5552,824
values_75,17952,2456,680
values_57,16736,1496,616
values_88,13328,4016,760
values_10,13328,3672,744
values_53,16736,1496,616
values_8,13344,5552,824
values_39,13328,6872,872
values_47,13312,7344,888
values_60,13344,5144,808
values_89,13328,4016,760
values_51,16736,1496,616
values_14,13328,3672,744
values_28,17328,1944,648
values_16,13328,3672,744
values_34,13328,6872,872
values_82,13328,4016,760
values_46,13312,7344,888
values_27,17328,1944,648
values_20,17328,1944,648
values_9,13344,5552,824
values_92,13344,5552,824
values_3,13344,5552,824
values_98,13344,5552,824
values_29,17328,1944,648
values_80,13328,4016,760
values_73,17952,2456,680
