inputName,text,data,bss
values_11,6518,4444,1672
values_19,6526,4444,1672
values_12,6526,4444,1672
values_38,7794,3084,1592
values_81,6516,3956,1656
values_5,6478,6356,1752
values_40,6732,2548,1528
values_70,8052,3292,1608
values_23,6524,3956,1656
values_72,8052,3292,1608
values_79,8052,3292,1608
values_78,8052,3292,1608
values_87,6518,3956,1656
values_6,6478,6356,1752
values_68,7528,2908,1576
values_69,7528,2908,1576
values_1,6476,6356,1752
values_45,6732,2548,1528
values_33,7794,3084,1592
values_15,6526,4444,1672
values_93,6544,5212,1704
values_24,6524,3956,1656
values_25,6518,3956,1656
values_26,6518,3956,1656
values_48,6732,2548,1528
values_71,8050,3292,1608
values_76,8052,3292,1608
values_7,6478,6356,1752
values_50,6494,3804,1640
values_22,6524,3956,1656
values_4,6478,6356,1752
values_32,7794,3084,1592
values_77,8052,3292,1608
values_91,6542,5212,1704
values_42,6732,2548,1528
values_13,6526,4444,1672
values_41,6730,2548,1528
values_55,6494,3804,1640
values_31,7792,3084,1592
values_66,7528,2908,1576
values_65,7528,2908,1576
values_62,7528,2908,1576
values_21,6516,3956,1656
values_95,6544,5212,1704
values_84,6524,3956,1656
values_58,6494,3804,1640
values_64,7528,2908,1576
values_83,6524,3956,1656
values_94,6544,5212,1704
values_0,6478,6356,1752
values_99,6544,5212,1704
values_96,6538,5212,1704
values_67,7528,2908,1576
values_61,7526,2908,1576
values_43,6732,2548,1528
values_2,6478,6356,1752
values_54,6494,3804,1640
values_30,7794,3084,1592
values_59,6494,3804,1640
values_85,6518,3956,1656
values_74,8052,3292,1608
values_90,6544,5212,1704
values_18,6526,4444,1672
values_52,6494,3804,1640
values_44,6732,2548,1528
values_17,6526,4444,1672
values_36,7794,3084,1592
values_49,6732,2548,1528
values_86,6518,3956,1656
values_37,7794,3084,1592
values_56,6494,3804,1640
values_63,7528,2908,1576
values_35,7794,3084,1592
values_97,6544,5212,1704
values_75,8052,3292,1608
values_57,6494,3804,1640
values_88,6518,3956,1656
values_10,6526,4444,1672
values_53,6494,3804,1640
values_8,6478,6356,1752
values_39,7794,3084,1592
values_47,6732,2548,1528
values_60,7528,2908,1576
values_89,6518,3956,1656
values_51,6492,3804,1640
values_14,6526,4444,1672
values_28,6518,3956,1656
values_16,6526,4444,1672
values_34,7794,3084,1592
values_82,6524,3956,1656
values_46,6732,2548,1528
values_27,6518,3956,1656
values_20,6524,3956,1656
values_9,6478,6356,1752
values_92,6544,5212,1704
values_3,6478,6356,1752
values_98,6544,5212,1704
values_29,6518,3956,1656
values_80,6524,3956,1656
values_73,8052,3292,1608
