id,clockCycles,assemblyInstr,cInstr,cGimple,cReleaseSSA,cOptimized,LineExe,BranchesExe,OnceEe,CallExe,cc4cs,cc4ir,cc4ssa,cc4opt
values_11,15268,10112,235,2307,1547,645,100.00,100.00,83.33,100.00,64.970,6.618,9.869,23.671
values_19,31571,20931,378,4120,2887,1114,100.00,100.00,66.67,100.00,83.521,7.663,10.936,28.340
values_12,177374,117532,2039,22855,15891,6057,100.00,100.00,83.33,100.00,86.991,7.761,11.162,29.284
values_38,74198,49197,863,9590,6695,2561,100.00,100.00,83.33,100.00,85.977,7.737,11.083,28.972
values_81,41922,27797,511,5547,3857,1465,100.00,100.00,83.33,100.00,82.039,7.558,10.869,28.616
values_5,106598,70662,1231,13746,9581,3657,100.00,100.00,83.33,100.00,86.595,7.755,11.126,29.149
values_40,134740,89298,1535,17255,12043,4581,100.00,100.00,83.33,100.00,87.779,7.809,11.188,29.413
values_70,144855,95997,1638,18475,12907,4894,100.00,100.00,66.67,100.00,88.434,7.841,11.223,29.598
values_23,74195,49192,863,9590,6695,2561,100.00,100.00,83.33,100.00,85.973,7.737,11.082,28.971
values_72,89669,59453,1026,11491,8035,3058,100.00,100.00,66.67,100.00,87.397,7.803,11.160,29.323
values_79,177389,117557,2047,22907,15913,6073,100.00,100.00,83.33,100.00,86.658,7.744,11.147,29.209
values_78,89666,59448,1035,11550,8063,3081,100.00,100.00,83.33,100.00,86.634,7.763,11.121,29.103
values_87,1825,1183,38,300,207,154,100.00,100.00,66.67,100.00,48.026,6.083,8.816,11.851
values_6,1831,1193,112,782,434,337,100.00,100.00,83.33,100.00,16.348,2.341,4.219,5.433
values_68,53753,35662,626,6936,4855,1822,100.00,100.00,66.67,100.00,85.867,7.750,11.072,29.502
values_69,31565,20921,403,4283,2959,1173,100.00,100.00,83.33,100.00,78.325,7.370,10.667,26.910
values_1,124995,82847,1435,16074,11205,4275,100.00,100.00,83.33,100.00,87.105,7.776,11.155,29.239
values_45,26946,17857,335,3590,2503,951,100.00,100.00,83.33,100.00,80.436,7.506,10.765,28.334
values_33,177389,117557,1998,22588,15775,5974,100.00,100.00,66.67,100.00,88.783,7.853,11.245,29.694
values_15,1828,1188,38,300,207,154,100.00,100.00,66.67,100.00,48.105,6.093,8.831,11.870
values_93,60195,39920,723,7918,5499,2125,100.00,100.00,83.33,100.00,83.257,7.602,10.947,28.327
values_24,47633,31577,591,6378,4409,1731,100.00,100.00,83.33,100.00,80.597,7.468,10.804,27.518
values_25,4841,3189,83,755,515,213,100.00,100.00,83.33,100.00,58.325,6.412,9.400,22.728
values_26,81742,54192,963,10651,7407,2853,100.00,100.00,83.33,100.00,84.883,7.675,11.036,28.651
values_48,177395,117567,2071,23063,15979,6121,100.00,100.00,83.33,100.00,85.657,7.692,11.102,28.981
values_71,36566,24245,443,4814,3359,1271,100.00,100.00,83.33,100.00,82.542,7.596,10.886,28.769
values_76,81754,54212,938,10488,7335,2794,100.00,100.00,66.67,100.00,87.158,7.795,11.146,29.261
values_7,15274,10122,194,2040,1431,562,100.00,100.00,66.67,100.00,78.732,7.487,10.674,27.178
values_50,15268,10112,211,2151,1481,597,100.00,100.00,83.33,100.00,72.360,7.098,10.309,25.575
