id,clockCycles,assemblyInstr,cInstr,cGimple,cReleaseSSA,cOptimized,LineExe,BranchesExe,OnceEe,CallExe,cc4cs,cc4ir,cc4ssa,cc4opt
values_11,23077,15770,207,1954,1285,1285,100.00,100.00,83.33,100.00,111.483,11.810,17.959,17.959
values_19,30816,21189,243,2550,1775,1775,100.00,100.00,83.33,100.00,126.815,12.085,17.361,17.361
values_12,44701,30449,394,3744,2427,2427,100.00,100.00,91.67,100.00,113.454,11.939,18.418,18.418
values_38,20413,13867,175,1746,1197,1197,100.00,100.00,83.33,100.00,116.646,11.691,17.053,17.053
values_81,33057,22838,267,2706,1841,1841,100.00,100.00,83.33,100.00,123.809,12.216,17.956,17.956
values_5,13905,9698,123,1126,747,747,100.00,100.00,83.33,100.00,113.049,12.349,18.614,18.614
values_40,5503,3691,54,475,331,331,100.00,100.00,66.67,100.00,101.907,11.585,16.625,16.625
values_70,24995,17093,203,2099,1459,1459,100.00,100.00,83.33,100.00,123.128,11.908,17.132,17.132
values_23,20094,13707,167,1694,1175,1175,100.00,100.00,83.33,100.00,120.323,11.862,17.101,17.101
values_72,2026,1336,26,171,115,115,100.00,100.00,66.67,100.00,77.923,11.848,17.617,17.617
values_79,22626,15503,199,1902,1263,1263,100.00,100.00,83.33,100.00,113.698,11.896,17.914,17.914
values_78,20705,14134,175,1746,1197,1197,100.00,100.00,83.33,100.00,118.314,11.859,17.297,17.297
values_87,9403,6388,91,807,537,537,100.00,100.00,83.33,100.00,103.330,11.652,17.510,17.510
values_6,49775,35245,375,3850,2613,2613,100.00,100.00,83.33,100.00,132.733,12.929,19.049,19.049
values_68,46187,32060,528,3894,2050,2050,100.00,100.00,83.33,100.00,87.475,11.861,22.530,22.530
values_69,48878,34704,359,3746,2569,2569,100.00,100.00,83.33,100.00,136.150,13.048,19.026,19.026
values_1,29469,20236,259,2463,1613,1613,100.00,100.00,83.33,100.00,113.780,11.965,18.270,18.270
values_45,9425,6413,91,807,537,537,100.00,100.00,83.33,100.00,103.571,11.679,17.551,17.551
values_33,8147,5507,74,696,487,487,100.00,100.00,66.67,100.00,110.095,11.705,16.729,16.729
values_15,4200,2845,47,359,235,235,100.00,100.00,83.33,100.00,89.362,11.699,17.872,17.872
values_93,2638,1766,35,230,143,143,100.00,100.00,83.33,100.00,75.371,11.470,18.448,18.448
values_24,17615,12046,159,1491,989,989,100.00,100.00,83.33,100.00,110.786,11.814,17.811,17.811
values_25,35848,24252,278,2988,2095,2095,100.00,100.00,66.67,100.00,128.950,11.997,17.111,17.111
values_26,12070,8423,98,963,675,675,100.00,100.00,66.67,100.00,123.163,12.534,17.881,17.881
values_48,12108,8453,98,963,675,675,100.00,100.00,66.67,100.00,123.551,12.573,17.938,17.938
values_71,8895,6095,112,782,434,434,100.00,100.00,83.33,100.00,79.420,11.375,20.495,20.495
values_76,27055,18570,227,2255,1525,1525,100.00,100.00,83.33,100.00,119.185,11.998,17.741,17.741
values_7,18049,12671,174,1459,897,897,100.00,100.00,91.67,100.00,103.730,12.371,20.122,20.122
values_50,9326,6319,91,807,537,537,100.00,100.00,83.33,100.00,102.484,11.556,17.367,17.367
values_22,6902,4704,71,586,381,381,100.00,100.00,83.33,100.00,97.211,11.778,18.115,18.115
values_4,35820,25292,394,2891,1532,1532,100.00,100.00,83.33,100.00,90.914,12.390,23.381,23.381
values_32,21525,14795,210,1824,1139,1139,100.00,100.00,91.67,100.00,102.500,11.801,18.898,18.898
values_77,22707,15573,199,1902,1263,1263,100.00,100.00,83.33,100.00,114.106,11.938,17.979,17.979
values_91,6179,4176,63,534,359,359,100.00,100.00,83.33,100.00,98.079,11.571,17.212,17.212
values_42,,,378,4120,2887,2887,100.00,100.00,66.67,100.00,0,0,0,0
values_13,9406,6389,91,807,537,537,100.00,100.00,83.33,100.00,103.363,11.656,17.516,17.516
values_41,9017,6199,112,782,434,434,100.00,100.00,83.33,100.00,80.509,11.531,20.776,20.776
values_55,8740,6007,108,758,419,419,100.00,100.00,91.67,100.00,80.926,11.530,20.859,20.859
values_31,8830,5989,83,755,515,515,100.00,100.00,83.33,100.00,106.386,11.695,17.146,17.146
values_66,28154,19298,243,2359,1569,1569,100.00,100.00,83.33,100.00,115.860,11.935,17.944,17.944
values_65,,,387,4179,2915,2915,100.00,100.00,83.33,100.00,0,0,0,0
values_62,23128,15840,207,1954,1285,1285,100.00,100.00,83.33,100.00,111.729,11.836,17.998,17.998
values_21,4149,2797,47,359,235,235,100.00,100.00,83.33,100.00,88.277,11.557,17.655,17.655
values_95,12053,8407,98,963,675,675,100.00,100.00,66.67,100.00,122.990,12.516,17.856,17.856
values_84,35678,24123,278,2988,2095,2095,100.00,100.00,66.67,100.00,128.338,11.940,17.030,17.030
values_58,31751,21890,251,2602,1797,1797,100.00,100.00,83.33,100.00,126.498,12.203,17.669,17.669
values_64,20755,14167,175,1746,1197,1197,100.00,100.00,83.33,100.00,118.600,11.887,17.339,17.339
values_83,25640,17539,211,2151,1481,1481,100.00,100.00,83.33,100.00,121.517,11.920,17.313,17.313
values_94,19298,13118,158,1635,1147,1147,100.00,100.00,66.67,100.00,122.139,11.803,16.825,16.825
values_0,35193,24253,299,2914,1929,1929,100.00,100.00,83.33,100.00,117.702,12.077,18.244,18.244
values_99,32010,22004,259,2654,1819,1819,100.00,100.00,83.33,100.00,123.591,12.061,17.598,17.598
values_96,6252,4238,63,534,359,359,100.00,100.00,83.33,100.00,99.238,11.708,17.415,17.415
values_67,20164,13757,167,1694,1175,1175,100.00,100.00,83.33,100.00,120.743,11.903,17.161,17.161
values_61,,,411,4335,2981,2981,100.00,100.00,83.33,100.00,0,0,0,0
values_43,30927,21283,243,2550,1775,1775,100.00,100.00,83.33,100.00,127.272,12.128,17.424,17.424
values_2,19358,13175,158,1635,1147,1147,100.00,100.00,66.67,100.00,122.519,11.840,16.877,16.877
values_54,41201,27964,351,3463,2299,2299,100.00,100.00,83.33,100.00,117.382,11.897,17.921,17.921
values_30,20474,13923,175,1746,1197,1197,100.00,100.00,83.33,100.00,116.994,11.726,17.104,17.104
values_59,3555,2388,38,300,207,207,100.00,100.00,66.67,100.00,93.553,11.850,17.174,17.174
values_85,8199,5554,74,696,487,487,100.00,100.00,66.67,100.00,110.797,11.780,16.836,16.836
values_74,4207,2855,58,379,220,220,100.00,100.00,83.33,100.00,72.534,11.100,19.123,19.123
