id,clockCycles,assemblyInstr,cInstr,cGimple,cReleaseSSA,cOptimized,LineExe,BranchesExe,OnceEe,CallExe,cc4cs,cc4ir,cc4ssa,cc4opt
values_11,50661,31506,1671,16094,9552,116318,100.00,100.00,100.00,100.00,30.318,3.148,5.304,0.436
values_19,51165,32002,1678,16098,9581,116425,100.00,100.00,100.00,100.00,30.492,3.178,5.340,0.439
values_12,152284,95399,4824,47877,27947,27030,100.00,100.00,100.00,100.00,31.568,3.181,5.449,5.634
values_38,70414,44092,2318,22498,13278,12717,100.00,100.00,100.00,100.00,30.377,3.130,5.303,5.537
values_81,186491,116833,5878,58469,34103,33088,100.00,100.00,100.00,100.00,31.727,3.190,5.468,5.636
values_5,163445,102477,5184,51405,29980,29044,100.00,100.00,100.00,100.00,31.529,3.180,5.452,5.627
values_40,63726,40072,2093,20256,11977,11412,100.00,100.00,100.00,100.00,30.447,3.146,5.321,5.584
values_70,103571,65087,3313,32503,19126,16220,100.00,100.00,100.00,100.00,31.262,3.187,5.415,6.385
values_23,153251,96272,4825,47875,27951,27031,100.00,100.00,100.00,100.00,31.762,3.201,5.483,5.669
values_72,12954,8049,506,4422,2753,14793,100.00,100.00,100.00,100.00,25.601,2.929,4.705,0.876
values_79,16219,10061,618,5510,3382,20851,100.00,100.00,100.00,100.00,26.244,2.944,4.796,0.778
values_78,95007,59770,3053,29942,17565,16872,100.00,100.00,100.00,100.00,31.119,3.173,5.409,5.631
values_87,50885,31727,1676,16085,9574,116395,100.00,100.00,100.00,100.00,30.361,3.164,5.315,0.437
values_6,24336,15148,860,7917,4810,38336,100.00,100.00,100.00,100.00,28.298,3.074,5.059,0.635
values_68,63304,39599,2092,20233,11973,11416,100.00,100.00,100.00,100.00,30.260,3.129,5.287,5.545
values_69,50822,31671,1686,16203,9590,116561,100.00,100.00,100.00,100.00,30.144,3.137,5.299,0.436
values_1,44853,27977,1487,14229,8472,94497,100.00,100.00,100.00,100.00,30.163,3.152,5.294,0.475
values_45,63794,40086,2089,20224,11971,11402,100.00,100.00,100.00,100.00,30.538,3.154,5.329,5.595
values_33,132220,83013,4170,41201,24183,23368,100.00,100.00,100.00,100.00,31.707,3.209,5.467,5.658
values_15,70722,44365,2304,22405,13245,12695,100.00,100.00,100.00,100.00,30.695,3.157,5.340,5.571
values_93,28896,18012,1001,9334,5628,49282,100.00,100.00,100.00,100.00,28.867,3.096,5.134,0.586
values_24,44535,27636,1490,14254,8486,94533,100.00,100.00,100.00,100.00,29.889,3.124,5.248,0.471
values_25,33854,21093,1156,10884,6517,62401,100.00,100.00,100.00,100.00,29.285,3.110,5.195,0.543
values_26,19955,12363,732,6680,4054,29128,100.00,100.00,100.00,100.00,27.261,2.987,4.922,0.685
values_48,12761,7879,507,4429,2755,14802,100.00,100.00,100.00,100.00,25.170,2.881,4.632,0.862
values_71,112634,70769,3584,35244,20743,19959,100.00,100.00,100.00,100.00,31.427,3.196,5.430,5.643
values_76,112712,70920,3583,35302,20736,19951,100.00,100.00,100.00,100.00,31.457,3.193,5.436,5.649
values_7,20158,12567,733,6662,4061,29137,100.00,100.00,100.00,100.00,27.501,3.026,4.964,0.692
values_50,94812,59597,3048,29844,17564,16862,100.00,100.00,100.00,100.00,31.106,3.177,5.398,5.623
values_22,1920,1152,153,960,705,1824,100.00,100.00,100.00,100.00,12.549,2.000,2.723,1.053
values_4,77865,48771,2551,24889,14639,13995,100.00,100.00,100.00,100.00,30.523,3.128,5.319,5.564
values_32,5268,3257,257,1969,1317,10872,100.00,100.00,100.00,100.00,20.498,2.675,4.000,0.485
values_77,967,582,116,613,496,379,100.00,100.00,91.67,100.00,8.336,1.577,1.950,2.551
values_91,121759,76372,3896,38303,22492,21705,100.00,100.00,100.00,100.00,31.252,3.179,5.413,5.610
values_42,16056,9916,604,5418,3351,20714,100.00,100.00,100.00,100.00,26.583,2.963,4.791,0.775
values_13,94917,59676,3044,29788,17550,16868,100.00,100.00,100.00,100.00,31.182,3.186,5.408,5.627
values_41,142544,89618,4508,44566,26068,25255,100.00,100.00,100.00,100.00,31.620,3.198,5.468,5.644
values_55,121654,76307,3900,38428,22494,21702,100.00,100.00,100.00,100.00,31.193,3.166,5.408,5.606
values_31,10076,6336,417,3510,2223,10088,100.00,100.00,100.00,100.00,24.163,2.871,4.533,0.999
values_66,28611,17754,1001,9326,5627,49285,100.00,100.00,100.00,100.00,28.582,3.068,5.085,0.581
values_65,51184,31971,1673,16056,9567,116347,100.00,100.00,100.00,100.00,30.594,3.188,5.350,0.440
values_62,12988,8109,509,4431,2760,14821,100.00,100.00,100.00,100.00,25.517,2.931,4.706,0.876
values_21,152161,95382,4843,47970,28005,27048,100.00,100.00,100.00,100.00,31.419,3.172,5.433,5.626
values_95,39385,24639,1318,12499,7470,77347,100.00,100.00,100.00,100.00,29.882,3.151,5.272,0.509
values_84,50860,31671,1687,16165,9602,116573,100.00,100.00,100.00,100.00,30.148,3.146,5.297,0.436
values_58,949,564,115,606,494,380,100.00,100.00,91.67,100.00,8.252,1.566,1.921,2.497
values_64,142703,89679,4502,44449,26066,25244,100.00,100.00,100.00,100.00,31.698,3.210,5.475,5.653
values_83,187275,117520,5886,58521,34111,33116,100.00,100.00,100.00,100.00,31.817,3.200,5.490,5.655
values_94,70931,44586,2308,22375,13262,12702,100.00,100.00,100.00,100.00,30.733,3.170,5.348,5.584
values_0,3508,2163,201,1410,981,6632,100.00,100.00,95.83,100.00,17.453,2.488,3.576,0.529
values_99,28919,18080,1002,9362,5627,49295,100.00,100.00,100.00,100.00,28.861,3.089,5.139,0.587
values_96,12716,7826,507,4421,2759,14798,100.00,100.00,100.00,100.00,25.081,2.876,4.609,0.859
values_67,9809,6057,411,3478,2206,10045,100.00,100.00,100.00,100.00,23.866,2.820,4.447,0.977
values_61,186667,117102,5879,58418,34099,33110,100.00,100.00,100.00,100.00,31.751,3.195,5.474,5.638
values_43,7390,4611,331,2683,1735,6496,100.00,100.00,100.00,100.00,22.326,2.754,4.259,1.138
values_2,57250,35631,1884,18165,10759,136704,100.00,100.00,100.00,100.00,30.387,3.152,5.321,0.419
values_54,175596,110193,5495,54570,31933,30966,100.00,100.00,100.00,100.00,31.956,3.218,5.499,5.671
values_30,199974,125693,6255,62190,36297,35164,100.00,100.00,100.00,100.00,31.970,3.216,5.509,5.687
values_59,964,577,116,613,496,379,100.00,100.00,91.67,100.00,8.310,1.573,1.944,2.544
values_85,28606,17753,1002,9300,5633,49299,100.00,100.00,100.00,100.00,28.549,3.076,5.078,0.580
values_74,20187,12592,739,6717,4079,29192,100.00,100.00,100.00,100.00,27.317,3.005,4.949,0.692
values_90,960,572,116,613,496,379,100.00,100.00,91.67,100.00,8.276,1.566,1.935,2.533
values_18,63651,39993,2093,20237,11984,11406,100.00,100.00,100.00,100.00,30.411,3.145,5.311,5.580
values_52,153498,96500,4823,47752,27959,27032,100.00,100.00,100.00,100.00,31.826,3.214,5.490,5.678
values_44,103600,65091,3323,32572,19149,16236,100.00,100.00,100.00,100.00,31.177,3.181,5.410,6.381
values_17,152986,95994,4812,47726,27934,27004,100.00,100.00,100.00,100.00,31.793,3.206,5.477,5.665
