id,clockCycles,assemblyInstr,cInstr,cGimple,cReleaseSSA,cOptimized,LineExe,BranchesExe,OnceEe,CallExe,cc4cs,cc4ir,cc4ssa,cc4opt
values_11,86509,63404,3877,38230,22434,17910,100.00,100.00,100.00,100.00,22.313,2.263,3.856,4.830
values_19,40925,30032,1865,17968,10718,8524,100.00,100.00,100.00,100.00,21.944,2.278,3.818,4.801
values_12,79887,58557,3605,35513,20774,16566,100.00,100.00,100.00,100.00,22.160,2.250,3.846,4.822
values_38,2901,2151,201,1412,980,745,100.00,100.00,95.83,100.00,14.433,2.055,2.960,3.894
values_81,123579,90534,5497,54658,31940,25503,100.00,100.00,100.00,100.00,22.481,2.261,3.869,4.846
values_5,100545,73677,4513,44603,26092,20811,100.00,100.00,100.00,100.00,22.279,2.254,3.853,4.831
values_40,14899,10964,735,6659,4066,3210,100.00,100.00,100.00,100.00,20.271,2.237,3.664,4.641
values_70,899,652,115,606,494,373,100.00,100.00,91.67,100.00,7.817,1.483,1.820,2.410
values_23,107959,79103,4810,47634,27934,22296,100.00,100.00,100.00,100.00,22.445,2.266,3.865,4.842
values_72,24479,17988,1159,10915,6528,5169,100.00,100.00,100.00,100.00,21.121,2.243,3.750,4.736
values_79,14899,10964,730,6637,4052,3203,100.00,100.00,100.00,100.00,20.410,2.245,3.677,4.652
values_78,24479,17988,1149,10817,6502,5163,100.00,100.00,100.00,100.00,21.305,2.263,3.765,4.741
values_87,100545,73677,4517,44651,26095,20822,100.00,100.00,100.00,100.00,22.259,2.252,3.853,4.829
values_6,93395,68444,4180,41318,24197,19329,100.00,100.00,100.00,100.00,22.343,2.260,3.860,4.832
values_68,5857,4322,330,2684,1729,1345,100.00,100.00,100.00,100.00,17.748,2.182,3.388,4.355
values_69,79887,58557,3587,35353,20720,16562,100.00,100.00,100.00,100.00,22.271,2.260,3.856,4.824
values_1,4225,3133,260,2004,1321,1016,100.00,100.00,100.00,100.00,16.250,2.108,3.198,4.158
values_45,50737,37217,2302,22330,13244,10559,100.00,100.00,100.00,100.00,22.040,2.272,3.831,4.805
values_33,100545,73677,4488,44433,26032,20774,100.00,100.00,100.00,100.00,22.403,2.263,3.862,4.840
values_15,79887,58557,3582,35300,20719,16543,100.00,100.00,100.00,100.00,22.302,2.263,3.856,4.829
values_93,140253,102734,6254,62195,36294,28959,100.00,100.00,100.00,100.00,22.426,2.255,3.864,4.843
values_24,21015,15447,1000,9349,5625,4450,100.00,100.00,100.00,100.00,21.015,2.248,3.736,4.722
values_25,7731,5697,414,3495,2214,1720,100.00,100.00,100.00,100.00,18.674,2.212,3.492,4.495
values_26,86509,63404,3883,38248,22468,17896,100.00,100.00,100.00,100.00,22.279,2.262,3.850,4.834
values_48,32169,23619,1497,14308,8500,6750,100.00,100.00,100.00,100.00,21.489,2.248,3.785,4.766
values_71,24479,17988,1157,10868,6523,5173,100.00,100.00,100.00,100.00,21.157,2.252,3.753,4.732
values_76,7731,5697,409,3441,2206,1711,100.00,100.00,95.83,100.00,18.902,2.247,3.505,4.518
