inputName,text,data,bss
values_11,15184,432,448
values_19,14720,1944,520
values_12,12480,176,416
values_38,16208,1112,488
values_81,12768,2192,528
values_5,14976,7344,640
values_40,14880,4752,592
values_70,13008,8336,656
values_23,14640,216,424
values_72,13456,656,464
values_79,14736,2456,536
values_78,14896,4016,576
values_87,14880,3344,560
values_6,14912,7832,648
values_68,14992,4376,584
values_69,14992,5976,616
values_1,15744,792,472
values_45,15920,944,480
values_33,14880,3344,560
values_15,14880,2736,544
values_93,14544,1712,512
values_24,14992,4376,584
values_25,14720,1944,520
values_26,14896,5144,600
values_48,14880,2736,544
values_71,12768,2192,528
values_76,14736,2456,536
values_7,14992,4376,584
values_50,14880,2736,544
values_22,14912,7832,648
values_4,14976,7344,640
values_32,15008,344,440
values_77,14896,4016,576
values_91,15184,432,448
values_42,14896,4016,576
values_13,14992,4376,584
values_41,13456,656,464
values_55,15008,344,440
values_31,14976,7344,640
values_66,14896,3672,568
values_65,14912,7832,648
values_62,14992,6872,632
values_21,12816,272,432
values_95,16208,1112,488
values_84,14896,4016,576
values_58,15744,792,472
values_64,14880,2736,544
values_83,15744,792,472
values_94,14992,5976,616
values_0,14976,7344,640
values_99,15920,944,480
values_96,14992,4376,584
values_67,15008,344,440
values_61,13456,656,464
values_43,14880,3344,560
values_2,14880,4752,592
values_54,14896,5144,600
values_30,15184,432,448
values_59,14880,4752,592
values_85,14880,2736,544
values_74,13008,8336,656
values_90,14896,5552,608
values_18,14992,3032,552
values_52,15920,944,480
values_44,12816,272,432
values_17,15744,792,472
values_36,15920,944,480
values_49,14896,3672,568
values_86,12768,2192,528
values_37,15744,792,472
values_56,14976,7344,640
values_63,14528,1496,504
values_35,12816,272,432
values_97,13456,656,464
values_75,14896,5144,600
values_57,14720,1944,520
values_88,13456,656,464
values_10,15744,792,472
values_53,13456,656,464
values_8,15376,536,456
values_39,14640,216,424
values_47,12768,2192,528
values_60,14896,5552,608
values_89,14992,4376,584
values_51,14912,7832,648
values_14,13456,656,464
values_28,14896,5144,600
values_16,14992,5976,616
values_34,14720,1944,520
values_82,16208,1112,488
values_46,14528,1296,496
values_27,14880,3344,560
values_20,15920,944,480
values_9,13456,656,464
values_92,14896,3672,568
values_3,14896,3672,568
values_98,14896,3672,568
values_29,14992,5976,616
values_80,15184,432,448
values_73,14992,6872,632
