id,clockCycles,assemblyInstr,Cache,cInstr,cGimple,cReleaseSSA,cOptimized,LineExe,BranchesExe,OnceEe,CallExe,cc4cs,cc4ir,cc4ssa,cc4opt
values_11,1175,1175,"['968788', '8853010', '127626', '1108125', '65041', '552677', '568776', '49.987', '12586496', '0', '3881364', '0', '161150', '0', '0', '4.152']",174,983,878,2362,100.00,85.71,71.43,100.00,6.753,1.195,1.338,0.497
values_19,4943,4943,"['977700', '8850147', '128740', '1107754', '65309', '552552', '568660', '49.969', '12596816', '0', '3885132', '0', '161248', '0', '0', '4.150']",1326,10279,8126,5025,100.00,85.71,71.43,100.00,3.728,0.481,0.608,0.984
values_12,979,979,"['967444', '8853426', '127458', '1109871', '65091', '552794', '568943', '49.937', '12602808', '0', '3886169', '0', '161089', '0', '0', '4.145']",72,323,317,439,100.00,85.71,71.43,100.00,13.597,3.031,3.088,2.230
values_38,4280,4280,"['975316', '8850758', '128442', '1109548', '65389', '552586', '568766', '49.918', '12611928', '0', '3889470', '0', '161230', '0', '0', '4.145']",1126,8585,6828,3829,100.00,85.71,71.43,100.00,3.801,0.499,0.627,1.118
values_81,7618,7618,"['991648', '8855943', '130487', '1108488', '66138', '552900', '569130', '49.964', '12618240', '0', '3892808', '0', '161419', '0', '0', '4.147']",2152,17405,13551,8245,100.00,85.71,71.43,100.00,3.540,0.438,0.562,0.924
values_5,8056,8056,"['992168', '8855483', '130552', '1110142', '65997', '552895', '569040', '49.883', '12636328', '0', '3898246', '0', '161395', '0', '0', '4.140']",2286,18575,14438,8769,100.00,85.71,71.43,100.00,3.524,0.434,0.558,0.919
values_40,2696,2696,"['972044', '8852172', '128033', '1109660', '65269', '552628', '568739', '49.923', '12607412', '0', '3887885', '0', '161191', '0', '0', '4.146']",622,4415,3606,2305,100.00,85.71,71.43,100.00,4.334,0.611,0.748,1.170
values_70,1031,1031,"['967956', '8853352', '127522', '1109839', '65124', '552773', '568936', '49.937', '12602838', '0', '3886221', '0', '161098', '0', '0', '4.145']",102,505,476,850,100.00,85.71,71.43,100.00,10.108,2.042,2.166,1.213
values_23,927,927,"['960792', '8845052', '126623', '1107126', '65044', '552258', '568403', '50.035', '12571476', '0', '3876116', '0', '160956', '0', '0', '4.153']",26,92,97,99,100.00,85.71,64.29,75.00,35.654,10.076,9.557,9.364
values_72,1476,1476,"['956284', '8852372', '126063', '1109237', '65149', '552634', '568759', '50.011', '12592034', '0', '3881666', '0', '161230', '0', '0', '4.154']",312,1985,1691,7075,100.00,85.71,71.43,100.00,4.731,0.744,0.873,0.209
values_79,1288,1288,"['972748', '8852806', '128121', '1109475', '65071', '552657', '568760', '49.914', '12602310', '0', '3886478', '0', '161185', '0', '0', '4.147']",216,1279,1121,3559,100.00,85.71,71.43,100.00,5.963,1.007,1.149,0.362
values_78,946,946,"['960808', '8845076', '126625', '1107129', '65045', '552262', '568406', '50.035', '12571546', '0', '3876135', '0', '160972', '0', '0', '4.153']",46,179,186,194,100.00,85.71,64.29,100.00,20.565,5.285,5.086,4.876
values_87,1603,1603,"['958100', '8852136', '126290', '1109127', '65204', '552611', '568718', '50.009', '12591988', '0', '3881793', '0', '161292', '0', '0', '4.155']",366,2395,2018,9490,100.00,85.71,71.43,100.00,4.380,0.669,0.794,0.169
values_6,6783,6783,"['989376', '8856791', '130203', '1108594', '65939', '552962', '569168', '49.960', '12616074', '0', '3891973', '0', '161399', '0', '0', '4.147']",1896,15179,11861,7245,100.00,85.71,71.43,100.00,3.578,0.447,0.572,0.936
values_68,2261,2261,"['970572', '8852558', '127849', '1109745', '65193', '552647', '568781', '49.923', '12606572', '0', '3887450', '0', '161166', '0', '0', '4.146']",486,3329,2756,1629,100.00,85.71,71.43,100.00,4.652,0.679,0.820,1.388
values_69,1404,1404,"['956212', '8852372', '126054', '1109237', '65137', '552641', '568766', '50.011', '12591754', '0', '3881594', '0', '161214', '0', '0', '4.153']",312,1985,1691,7075,100.00,85.71,71.43,100.00,4.500,0.707,0.830,0.198
values_1,1216,1216,"['972676', '8852806', '128112', '1109475', '65059', '552659', '568759', '49.913', '12602048', '0', '3886406', '0', '161166', '0', '0', '4.147']",216,1279,1121,3559,100.00,85.71,71.43,100.00,5.630,0.951,1.085,0.342
values_45,1444,1444,"['956252', '8852372', '126059', '1109237', '65146', '552637', '568762', '50.011', '12591910', '0', '3881634', '0', '161236', '0', '0', '4.154']",312,1985,1691,7075,100.00,85.71,71.43,100.00,4.628,0.727,0.854,0.204
values_33,2434,2434,"['971180', '8852384', '127925', '1109711', '65225', '552640', '568775', '49.923', '12606692', '0', '3887624', '0', '161166', '0', '0', '4.146']",552,3853,3167,2037,100.00,85.71,71.43,100.00,4.409,0.632,0.769,1.195
values_15,946,946,"['960808', '8845076', '126625', '1107129', '65045', '552262', '568406', '50.035', '12571546', '0', '3876135', '0', '160972', '0', '0', '4.153']",46,179,186,194,100.00,85.71,64.29,100.00,20.565,5.285,5.086,4.876
values_93,1290,1290,"['973268', '8852692', '128186', '1109459', '65112', '552646', '568755', '49.914', '12602152', '0', '3886480', '0', '161185', '0', '0', '4.147']",262,1613,1392,5114,100.00,85.71,71.43,100.00,4.924,0.800,0.927,0.252
