id,clockCycles,assemblyInstr,cInstr,cGimple,cReleaseSSA,cOptimized,LineExe,BranchesExe,OnceEe,CallExe,cc4cs,cc4ir,cc4ssa,cc4opt
values_11,526,361,54,255,221,360,100.00,85.71,71.43,100.00,9.741,2.063,2.380,1.461
values_19,676,468,58,293,253,487,100.00,85.71,71.43,100.00,11.655,2.307,2.672,1.388
values_12,2828,2007,1774,14123,11941,6743,100.00,85.71,71.43,100.00,1.594,0.200,0.237,0.419
values_38,3406,2415,2566,21029,17767,9833,100.00,85.71,71.43,100.00,1.327,0.162,0.192,0.346
values_81,3190,2259,2152,17405,14710,8216,100.00,85.71,71.43,100.00,1.482,0.183,0.217,0.388
values_5,940,645,262,1613,1375,4090,100.00,85.71,71.43,100.00,3.588,0.583,0.684,0.230
values_40,3030,2149,2022,16273,13755,7709,100.00,85.71,71.43,100.00,1.499,0.186,0.220,0.393
values_70,1745,1215,696,5015,4252,23305,100.00,85.71,71.43,100.00,2.507,0.348,0.410,0.075
values_23,2749,1939,1656,13105,11082,6284,100.00,85.71,71.43,100.00,1.660,0.210,0.248,0.437
values_72,1954,1362,856,6329,5362,33313,100.00,85.71,71.43,100.00,2.283,0.309,0.364,0.059
values_79,2630,1858,1542,12125,10255,5841,100.00,85.71,71.43,100.00,1.706,0.217,0.256,0.450
values_78,1635,1138,622,4415,3745,19162,100.00,85.71,71.43,100.00,2.629,0.370,0.437,0.085
values_87,1208,839,366,2395,2037,7490,100.00,85.71,71.43,100.00,3.301,0.504,0.593,0.161
values_6,1099,763,312,1985,1690,5617,100.00,85.71,71.43,100.00,3.522,0.554,0.650,0.196
values_68,468,324,72,323,280,385,100.00,85.71,64.29,100.00,6.500,1.449,1.671,1.216
values_69,468,324,72,323,280,385,100.00,85.71,64.29,100.00,6.500,1.449,1.671,1.216
values_1,2630,1858,1542,12125,10255,5841,100.00,85.71,71.43,100.00,1.706,0.217,0.256,0.450
values_45,3190,2259,2152,17405,14710,8216,100.00,85.71,71.43,100.00,1.482,0.183,0.217,0.388
values_33,676,468,136,725,622,1225,100.00,85.71,71.43,100.00,4.971,0.932,1.087,0.552
values_15,2527,1795,1432,11183,9460,5414,100.00,85.71,71.43,100.00,1.765,0.226,0.267,0.467
values_93,2320,1646,1224,9413,7966,4608,100.00,85.71,71.43,100.00,1.895,0.246,0.291,0.503
values_24,1635,1138,622,4415,3745,19162,100.00,85.71,71.43,100.00,2.629,0.370,0.437,0.085
values_25,323,221,26,92,82,91,100.00,85.71,64.29,75.00,12.423,3.511,3.939,3.549
values_26,3406,2415,2566,21029,17767,9833,100.00,85.71,71.43,100.00,1.327,0.162,0.192,0.346
values_48,2630,1858,1542,12125,10255,5841,100.00,85.71,71.43,100.00,1.706,0.217,0.256,0.450
values_71,2527,1795,1432,11183,9460,5414,100.00,85.71,71.43,100.00,1.765,0.226,0.267,0.467
values_76,676,468,110,581,499,979,100.00,85.71,71.43,100.00,6.145,1.164,1.355,0.691
values_7,1516,1052,510,3557,3019,14347,100.00,85.71,71.43,100.00,2.973,0.426,0.502,0.106
values_50,2932,2079,1896,15179,12832,7218,100.00,85.71,71.43,100.00,1.546,0.193,0.228,0.406
values_22,3262,2304,2286,18575,15697,8739,100.00,85.71,71.43,100.00,1.427,0.176,0.208,0.373
values_4,2630,1858,1542,12125,10255,5841,100.00,85.71,71.43,100.00,1.706,0.217,0.256,0.450
values_32,2828,2007,1774,14123,11941,6743,100.00,85.71,71.43,100.00,1.594,0.200,0.237,0.419
