id,clockCycles,assemblyInstr,cInstr,cGimple,cReleaseSSA,cOptimized,LineExe,BranchesExe,OnceEe,CallExe,cc4cs,cc4ir,cc4ssa,cc4opt
values_11,5217161,3506272,123087,1140163,544027,574810,100.00,100.00,100.00,100.00,42.386,4.576,9.590,9.076
values_19,567098,390638,14214,126371,61920,705834,100.00,100.00,100.00,100.00,39.897,4.488,9.159,0.803
values_12,5736751,3851617,134868,1247737,596976,630800,100.00,100.00,100.00,100.00,42.536,4.598,9.610,9.094
values_38,2149745,1447639,50796,465931,223170,235889,100.00,100.00,100.00,100.00,42.321,4.614,9.633,9.113
values_81,1637158,1102810,38876,355717,170334,180057,100.00,100.00,100.00,100.00,42.112,4.602,9.611,9.092
values_5,4289,2929,156,1031,570,5320,100.00,100.00,100.00,100.00,27.494,4.160,7.525,0.806
values_40,1214308,816547,28740,260503,125842,133081,100.00,100.00,100.00,100.00,42.251,4.661,9.649,9.125
values_70,37109,25359,1030,8451,4206,108519,100.00,100.00,100.00,100.00,36.028,4.391,8.823,0.342
values_23,1880701,1266564,44623,409187,195721,206875,100.00,100.00,87.50,100.00,42.146,4.596,9.609,9.091
values_72,225225,155711,5859,51775,25023,208591,100.00,100.00,87.50,100.00,38.441,4.350,9.001,1.080
values_79,2446249,1647898,57147,521825,251973,266397,100.00,100.00,100.00,100.00,42.806,4.688,9.708,9.183
values_78,10628,7230,328,2381,1276,13845,100.00,100.00,100.00,100.00,32.402,4.464,8.329,0.768
values_87,1031946,694661,24703,224703,107721,113895,100.00,100.00,87.50,100.00,41.774,4.592,9.580,9.061
values_6,1187,776,56,255,180,383,100.00,100.00,100.00,100.00,21.196,4.655,6.594,3.099
values_68,4730281,3179400,111727,1034379,493449,521379,100.00,100.00,87.50,100.00,42.338,4.573,9.586,9.073
values_69,1188,780,55,239,177,359,100.00,100.00,87.50,100.00,21.600,4.971,6.712,3.309
values_1,37005,25464,1039,8595,4233,109491,100.00,100.00,87.50,100.00,35.616,4.305,8.742,0.338
values_45,5216980,3506839,123139,1140995,544183,574966,100.00,100.00,87.50,100.00,42.367,4.572,9.587,9.074
values_33,2756407,1856043,64978,597545,286072,302347,100.00,100.00,100.00,100.00,42.421,4.613,9.635,9.117
values_15,1414254,951961,33664,307421,147300,155720,100.00,100.00,100.00,100.00,42.011,4.600,9.601,9.082
values_93,4735199,3182748,111606,1032443,493086,521016,100.00,100.00,100.00,100.00,42.428,4.586,9.603,9.088
values_24,2756739,1855209,64840,595337,285658,301933,100.00,100.00,100.00,100.00,42.516,4.631,9.650,9.130
values_25,290469,200493,7543,67077,32361,294885,100.00,100.00,87.50,100.00,38.508,4.330,8.976,0.985
values_26,225239,155710,5858,51759,25020,208558,100.00,100.00,100.00,100.00,38.450,4.352,9.002,1.080
values_48,123725,85148,3226,27609,13680,92430,100.00,100.00,100.00,100.00,38.352,4.481,9.044,1.339
values_71,37153,25342,997,7923,4107,104955,100.00,100.00,100.00,100.00,37.265,4.689,9.046,0.354
values_76,370907,256461,9514,84989,40984,405206,100.00,100.00,100.00,100.00,38.985,4.364,9.050,0.915
