id,clockCycles,assemblyInstr,Cache,cInstr,cGimple,cReleaseSSA,cOptimized,LineExe,BranchesExe,OnceEe,CallExe,cc4cs,cc4ir,cc4ssa,cc4opt
values_11,333122,333122,"['1696112', '9089278', '218545', '1139649', '109245', '552849', '587126', '48.748', '13527040', '0', '4223311', '0', '161367', '0', '0', '3.821']",122687,1133763,542827,275643,100.00,100.00,100.00,100.00,2.715,0.294,0.614,1.209
values_19,137303,137303,"['1267952', '8953766', '165025', '1122710', '83093', '552976', '576592', '49.394', '12991788', '0', '4027493', '0', '161334', '0', '0', '4.006']",50684,464139,222834,113752,100.00,100.00,100.00,100.00,2.709,0.296,0.616,1.207
values_12,302553,302553,"['1628400', '9071038', '210081', '1137369', '104365', '552893', '584564', '48.778', '13443204', '0', '4192743', '0', '161313', '0', '0', '3.847']",111725,1034347,493443,250477,100.00,100.00,100.00,100.00,2.708,0.293,0.613,1.208
values_38,928,928,"['956680', '8845304', '126109', '1109142', '65087', '552204', '568384', '49.973', '12589512', '0', '3881118', '0', '160953', '0', '0', '4.147']",62,351,198,361,100.00,100.00,100.00,100.00,14.968,2.644,4.687,2.571
values_81,16169,16169,"['1000228', '8863333', '131556', '1109411', '66988', '552749', '569706', '49.940', '12627930', '0', '3896359', '0', '161146', '0', '0', '4.136']",5844,51535,24978,13040,100.00,100.00,100.00,100.00,2.767,0.314,0.647,1.240
values_5,1686,1686,"['964724', '8854158', '127118', '1110260', '65194', '552726', '568967', '49.938', '12606076', '0', '3886875', '0', '161089', '0', '0', '4.144']",343,2621,1321,749,100.00,100.00,87.50,100.00,4.915,0.643,1.276,2.251
values_40,104915,104915,"['1190412', '8922978', '155329', '1118859', '78472', '552546', '574301', '49.523', '12888816', '0', '3990104', '0', '161214', '0', '0', '4.040']",38730,353381,169896,86906,100.00,100.00,100.00,100.00,2.709,0.297,0.618,1.207
values_70,197361,197361,"['1399528', '8994366', '181472', '1127785', '90710', '552933', '579104', '49.161', '13156066', '0', '4087550', '0', '161289', '0', '0', '3.946']",72733,668039,320835,163449,100.00,100.00,100.00,100.00,2.714,0.295,0.615,1.207
values_23,302553,302553,"['1628400', '9071038', '210081', '1137369', '104365', '552893', '584564', '48.778', '13443204', '0', '4192743', '0', '161313', '0', '0', '3.847']",111725,1034347,493443,250477,100.00,100.00,100.00,100.00,2.708,0.293,0.613,1.208
values_72,9295,9295,"['985388', '8858515', '129701', '1108807', '66058', '552784', '569383', '49.967', '12609086', '0', '3889485', '0', '161122', '0', '0', '4.143']",3228,27641,13686,7244,100.00,100.00,100.00,100.00,2.879,0.336,0.679,1.283
values_79,6879,6879,"['979972', '8857355', '129024', '1108662', '65797', '552758', '569219', '49.977', '12602412', '0', '3887068', '0', '161122', '0', '0', '4.145']",2343,20113,9801,5201,100.00,100.00,87.50,100.00,2.936,0.342,0.702,1.323
values_78,137203,137203,"['1267952', '8952966', '165025', '1122610', '83093', '552976', '576548', '49.398', '12991588', '0', '4027393', '0', '161334', '0', '0', '4.006']",50584,462539,222534,113652,100.00,100.00,100.00,100.00,2.712,0.297,0.617,1.207
values_87,1676,1676,"['964724', '8854078', '127118', '1110250', '65194', '552726', '568962', '49.938', '12606056', '0', '3886865', '0', '161089', '0', '0', '4.144']",333,2461,1291,739,100.00,100.00,100.00,100.00,5.033,0.681,1.298,2.268
values_6,66754,66754,"['1106852', '8897823', '144884', '1115712', '73379', '552556', '571971', '49.654', '12784300', '0', '3951944', '0', '161191', '0', '0', '4.079']",24702,224687,107718,55250,100.00,100.00,100.00,100.00,2.702,0.297,0.620,1.208
values_68,66755,66755,"['1106852', '8897831', '144884', '1115713', '73379', '552556', '571971', '49.654', '12784302', '0', '3951945', '0', '161191', '0', '0', '4.079']",24703,224703,107721,55251,100.00,100.00,87.50,100.00,2.702,0.297,0.620,1.208
values_69,3388,3388,"['972572', '8854546', '128099', '1108310', '65403', '552721', '569007', '49.993', '12592870', '0', '3883577', '0', '161098', '0', '0', '4.148']",956,7267,3984,2212,100.00,100.00,100.00,100.00,3.544,0.466,0.850,1.532
values_1,12425,12425,"['992028', '8860861', '130531', '1109102', '66413', '552657', '569335', '49.940', '12617664', '0', '3892614', '0', '161146', '0', '0', '4.140']",4433,38775,18847,9885,100.00,100.00,100.00,100.00,2.803,0.320,0.659,1.257
values_45,301928,301928,"['1628400', '9066038', '210081', '1136744', '104365', '552893', '584304', '48.801', '13441954', '0', '4192118', '0', '161313', '0', '0', '3.848']",111100,1024347,491568,249852,100.00,100.00,100.00,100.00,2.718,0.295,0.614,1.208
values_33,120531,120531,"['1224220', '8934890', '159555', '1120348', '80309', '552516', '574745', '49.443', '12931406', '0', '4005721', '0', '161214', '0', '0', '4.025']",44599,408803,195649,99887,100.00,100.00,100.00,100.00,2.703,0.295,0.616,1.207
values_15,136960,136960,"['1267952', '8951022', '165025', '1122367', '83093', '552976', '576422', '49.408', '12991102', '0', '4027150', '0', '161334', '0', '0', '4.006']",50341,458651,221805,113409,100.00,100.00,100.00,100.00,2.721,0.299,0.617,1.208
values_93,12379,12379,"['992028', '8860493', '130531', '1109056', '66413', '552657', '569307', '49.942', '12617572', '0', '3892568', '0', '161146', '0', '0', '4.140']",4387,38039,18709,9839,100.00,100.00,100.00,100.00,2.822,0.325,0.662,1.258
values_24,39208,39208,"['1050532', '8878941', '137844', '1111362', '69861', '552618', '570796', '49.830', '12691000', '0', '3919398', '0', '161150', '0', '0', '4.112']",14463,130355,62667,32315,100.00,100.00,100.00,100.00,2.711,0.301,0.626,1.213
values_25,78250,78250,"['1131940', '8905751', '148020', '1116703', '74990', '552530', '572938', '49.617', '12815734', '0', '3963439', '0', '161191', '0', '0', '4.067']",28963,264071,126511,64799,100.00,100.00,87.50,100.00,2.702,0.296,0.619,1.208
values_26,925,925,"['956672', '8845288', '126108', '1109140', '65087', '552204', '568383', '49.973', '12589506', '0', '3881115', '0', '160953', '0', '0', '4.147']",60,319,192,337,100.00,100.00,100.00,100.00,15.417,2.900,4.818,2.745
values_48,302555,302555,"['1628400', '9071054', '210081', '1137371', '104365', '552893', '584564', '48.778', '13443208', '0', '4192745', '0', '161313', '0', '0', '3.847']",111727,1034379,493449,250479,100.00,100.00,87.50,100.00,2.708,0.292,0.613,1.208
values_71,32121,32121,"['1035036', '8874109', '135907', '1110758', '68973', '552621', '570347', '49.861', '12671600', '0', '3912310', '0', '161150', '0', '0', '4.119']",11817,106075,51063,26393,100.00,100.00,100.00,100.00,2.718,0.303,0.629,1.217
