id,clockCycles,assemblyInstr,cInstr,cGimple,cReleaseSSA,cOptimized,LineExe,BranchesExe,OnceEe,CallExe,cc4cs,cc4ir,cc4ssa,cc4opt
values_11,11104,8307,571,953,910,2053,100.00,83.33,58.33,100.00,19.447,11.652,12.202,5.409
values_19,16690,12548,655,1085,1064,2425,100.00,83.33,58.33,100.00,25.481,15.382,15.686,6.882
values_12,13155,9857,577,962,922,2083,100.00,83.33,58.33,100.00,22.799,13.675,14.268,6.315
values_38,17972,13537,749,1226,1252,2895,100.00,83.33,58.33,100.00,23.995,14.659,14.355,6.208
values_81,11294,8453,555,932,871,1949,100.00,83.33,58.33,100.00,20.350,12.118,12.967,5.795
values_5,22825,17275,765,1250,1284,2975,100.00,83.33,58.33,100.00,29.837,18.260,17.776,7.672
values_40,12367,9259,565,935,919,2095,100.00,83.33,58.33,100.00,21.888,13.227,13.457,5.903
values_70,25089,19052,637,1049,1049,2407,100.00,83.33,58.33,100.00,39.386,23.917,23.917,10.423
values_23,44106,33573,947,1523,1648,3885,100.00,83.33,58.33,100.00,46.574,28.960,26.763,11.353
values_72,12064,9042,1457,2276,2696,6531,100.00,83.33,58.33,100.00,8.280,5.301,4.475,1.847
values_79,27786,21087,691,1115,1192,2797,100.00,83.33,58.33,100.00,40.211,24.920,23.310,9.934
values_78,193418,146226,2347,3614,4469,10957,100.00,83.33,58.33,100.00,82.411,53.519,43.280,17.652
values_87,18407,13891,1759,2729,3300,8041,100.00,83.33,58.33,100.00,10.464,6.745,5.578,2.289
values_6,13861,10409,711,1160,1197,2777,100.00,83.33,58.33,100.00,19.495,11.949,11.580,4.991
values_68,62813,47783,569,935,941,2163,100.00,83.33,58.33,100.00,110.392,67.180,66.751,29.040
values_69,15555,11702,741,1196,1278,2999,100.00,83.33,58.33,100.00,20.992,13.006,12.171,5.187
values_1,9797,7333,1161,1838,2090,5003,100.00,83.33,58.33,100.00,8.438,5.330,4.688,1.958
values_45,12782,9579,593,977,975,2235,100.00,83.33,58.33,100.00,21.555,13.083,13.110,5.719
values_33,14350,10761,533,893,841,1887,100.00,83.33,58.33,100.00,26.923,16.069,17.063,7.605
values_15,13261,9962,883,1424,1527,3589,100.00,83.33,58.33,100.00,15.018,9.312,8.684,3.695
values_93,28829,21912,1053,1667,1895,4535,100.00,83.33,58.33,100.00,27.378,17.294,15.213,6.357
values_24,44197,33669,1253,1973,2281,5487,100.00,83.33,58.33,100.00,35.273,22.401,19.376,8.055
values_25,40556,30947,901,1433,1605,3823,100.00,83.33,58.33,100.00,45.012,28.301,25.269,10.608
values_26,17323,13043,595,995,944,2125,100.00,83.33,58.33,100.00,29.114,17.410,18.351,8.152
values_48,13256,9934,905,1454,1578,3723,100.00,83.33,58.33,100.00,14.648,9.117,8.401,3.561
values_71,13358,10026,869,1394,1520,3591,100.00,83.33,58.33,100.00,15.372,9.582,8.788,3.720
values_76,13552,10184,643,1049,1082,2509,100.00,83.33,58.33,100.00,21.076,12.919,12.525,5.401
values_7,12220,9163,1029,1643,1819,4319,100.00,83.33,58.33,100.00,11.876,7.438,6.718,2.829
values_50,11340,8493,1595,2480,2979,7245,100.00,83.33,58.33,100.00,7.110,4.573,3.807,1.565
values_22,40182,30586,2429,3722,4668,11487,100.00,83.33,58.33,100.00,16.543,10.796,8.608,3.498
values_4,11749,8794,635,1055,1024,2325,100.00,83.33,58.33,100.00,18.502,11.136,11.474,5.053
values_32,16134,12137,795,1277,1386,3269,100.00,83.33,58.33,100.00,20.294,12.634,11.641,4.935
values_77,14449,10847,595,1013,902,1981,100.00,83.33,58.33,100.00,24.284,14.264,16.019,7.294
values_91,16374,12319,891,1418,1585,3773,100.00,83.33,58.33,100.00,18.377,11.547,10.331,4.340
values_42,56239,42862,865,1391,1505,3547,100.00,83.33,58.33,100.00,65.016,40.431,37.368,15.855
values_13,11359,8504,563,941,894,2013,100.00,83.33,58.33,100.00,20.176,12.071,12.706,5.643
values_41,10392,7781,577,986,866,1891,100.00,83.33,58.33,100.00,18.010,10.540,12.000,5.496
values_55,15057,11315,581,980,902,2007,100.00,83.33,58.33,100.00,25.916,15.364,16.693,7.502
values_31,13790,10349,573,962,900,2015,100.00,83.33,58.33,100.00,24.066,14.335,15.322,6.844
values_66,17354,13049,525,887,811,1799,100.00,83.33,58.33,100.00,33.055,19.565,21.398,9.646
values_65,12597,9439,601,989,991,2275,100.00,83.33,58.33,100.00,20.960,12.737,12.711,5.537
values_62,12092,9053,827,1349,1394,3237,100.00,83.33,58.33,100.00,14.622,8.964,8.674,3.736
values_21,33104,25172,967,1526,1751,4201,100.00,83.33,58.33,100.00,34.234,21.693,18.906,7.880
values_95,213132,161240,2381,3644,4586,11295,100.00,83.33,58.33,100.00,89.514,58.488,46.474,18.870
values_84,17521,13196,535,911,810,1777,100.00,83.33,58.33,100.00,32.750,19.233,21.631,9.860
values_58,22373,16887,539,890,881,2013,100.00,83.33,58.33,100.00,41.508,25.138,25.395,11.114
values_64,10522,7872,519,869,820,1841,100.00,83.33,58.33,100.00,20.274,12.108,12.832,5.715
values_83,17966,13513,609,1025,951,2123,100.00,83.33,58.33,100.00,29.501,17.528,18.892,8.463
values_94,28154,21358,699,1130,1201,2813,100.00,83.33,58.33,100.00,40.278,24.915,23.442,10.009
values_0,12718,9549,631,1034,1051,2425,100.00,83.33,58.33,100.00,20.155,12.300,12.101,5.245
values_99,9729,7274,595,989,958,2173,100.00,83.33,58.33,100.00,16.351,9.837,10.156,4.477
values_96,19542,14714,629,1040,1026,2343,100.00,83.33,58.33,100.00,31.068,18.790,19.047,8.341
values_67,17757,13359,569,971,857,1875,100.00,83.33,58.33,100.00,31.207,18.287,20.720,9.470
values_61,11446,8572,545,923,837,1851,100.00,83.33,58.33,100.00,21.002,12.401,13.675,6.184
values_43,11417,8552,557,935,875,1959,100.00,83.33,58.33,100.00,20.497,12.211,13.048,5.828
values_2,13404,10072,545,920,844,1875,100.00,83.33,58.33,100.00,24.594,14.570,15.882,7.149
values_54,11912,8930,639,1049,1060,2441,100.00,83.33,58.33,100.00,18.642,11.356,11.238,4.880
values_30,17102,12888,597,977,997,2303,100.00,83.33,58.33,100.00,28.647,17.505,17.153,7.426
values_59,27909,21165,689,1145,1111,2523,100.00,83.33,58.33,100.00,40.507,24.375,25.121,11.062
values_85,12247,9183,537,911,821,1811,100.00,83.33,58.33,100.00,22.806,13.443,14.917,6.763
values_74,25089,19033,705,1160,1164,2675,100.00,83.33,58.33,100.00,35.587,21.628,21.554,9.379
values_90,36784,27998,711,1151,1218,2849,100.00,83.33,58.33,100.00,51.736,31.958,30.200,12.911
values_18,12239,9170,543,920,833,1841,100.00,83.33,58.33,100.00,22.540,13.303,14.693,6.648
values_52,14656,11006,607,1034,919,2017,100.00,83.33,58.33,100.00,24.145,14.174,15.948,7.266
values_44,1757595,1349419,18713,28172,37180,92715,100.00,83.33,58.33,100.00,93.924,62.388,47.273,18.957
values_17,14442,10842,585,986,910,2027,100.00,83.33,58.33,100.00,24.687,14.647,15.870,7.125
values_36,13878,10422,651,1049,1126,2645,100.00,83.33,58.33,100.00,21.318,13.230,12.325,5.247
values_49,24133,18248,755,1229,1278,2973,100.00,83.33,58.33,100.00,31.964,19.636,18.883,8.117
values_86,14152,10628,665,1091,1105,2547,100.00,83.33,58.33,100.00,21.281,12.972,12.807,5.556
values_37,17376,13095,3595,5504,6923,17053,100.00,83.33,58.33,100.00,4.833,3.157,2.510,1.019
values_56,9386,7023,565,980,814,1735,100.00,83.33,58.33,100.00,16.612,9.578,11.531,5.410
values_63,16579,12478,3581,5480,6902,17007,100.00,83.33,58.33,100.00,4.630,3.025,2.402,0.975
values_35,32464,24627,727,1184,1229,2857,100.00,83.33,58.33,100.00,44.655,27.419,26.415,11.363
values_97,10439,7818,599,998,959,2169,100.00,83.33,58.33,100.00,17.427,10.460,10.885,4.813
values_75,23557,17865,579,971,912,2045,100.00,83.33,58.33,100.00,40.686,24.261,25.830,11.519
values_57,15982,12077,695,1163,1102,2481,100.00,83.33,58.33,100.00,22.996,13.742,14.503,6.442
values_88,15425,11594,679,1133,1084,2449,100.00,83.33,58.33,100.00,22.717,13.614,14.230,6.298
values_10,12574,9426,1559,2435,2886,6993,100.00,83.33,58.33,100.00,8.065,5.164,4.357,1.798
values_53,14988,11274,713,1193,1131,2547,100.00,83.33,58.33,100.00,21.021,12.563,13.252,5.885
values_8,11982,8976,787,1271,1356,3181,100.00,83.33,58.33,100.00,15.225,9.427,8.836,3.767
values_39,13251,9953,669,1088,1134,2639,100.00,83.33,58.33,100.00,19.807,12.179,11.685,5.021
values_47,10334,7734,589,1010,876,1903,100.00,83.33,58.33,100.00,17.545,10.232,11.797,5.430
values_60,12976,9729,1219,1919,2220,5341,100.00,83.33,58.33,100.00,10.645,6.762,5.845,2.430
values_89,10897,8169,801,1304,1356,3155,100.00,83.33,58.33,100.00,13.604,8.357,8.036,3.454
values_51,14328,10753,623,1046,979,2193,100.00,83.33,58.33,100.00,22.998,13.698,14.635,6.534
values_14,14168,10643,647,1064,1069,2457,100.00,83.33,58.33,100.00,21.898,13.316,13.254,5.766
values_28,18680,14074,745,1202,1286,3019,100.00,83.33,58.33,100.00,25.074,15.541,14.526,6.187
values_16,17928,13517,1221,1919,2231,5375,100.00,83.33,58.33,100.00,14.683,9.342,8.036,3.335
values_34,14182,10641,713,1181,1159,2643,100.00,83.33,58.33,100.00,19.891,12.008,12.236,5.366
values_82,17386,13096,615,1016,1005,2297,100.00,83.33,58.33,100.00,28.270,17.112,17.300,7.569
values_46,124897,94344,839,1367,1418,3297,100.00,83.33,58.33,100.00,148.864,91.366,88.080,37.882
values_27,73007,55453,1339,2084,2495,6061,100.00,83.33,58.33,100.00,54.524,35.032,29.261,12.045
values_20,18806,14205,723,1196,1179,2693,100.00,83.33,58.33,100.00,26.011,15.724,15.951,6.983
values_9,9796,7326,11015,16598,21847,54441,100.00,83.33,58.33,100.00,0.889,0.590,0.448,0.180
values_92,16665,12551,627,1052,987,2213,100.00,83.33,58.33,100.00,26.579,15.841,16.884,7.531
values_3,11715,8773,635,1058,1017,2301,100.00,83.33,58.33,100.00,18.449,11.073,11.519,5.091
values_98,11809,8850,541,920,822,1807,100.00,83.33,58.33,100.00,21.828,12.836,14.366,6.535
values_29,59537,45183,1093,1739,1947,4639,100.00,83.33,58.33,100.00,54.471,34.236,30.579,12.834
values_80,12784,9575,717,1163,1223,2855,100.00,83.33,58.33,100.00,17.830,10.992,10.453,4.478
values_73,12945,9714,563,947,880,1965,100.00,83.33,58.33,100.00,22.993,13.669,14.710,6.588
