id,clockCycles,assemblyInstr,Cache,cInstr,cGimple,cReleaseSSA,cOptimized,LineExe,BranchesExe,OnceEe,CallExe,cc4cs,cc4ir,cc4ssa,cc4opt
values_11,1674,1674,"['959264', '8844988', '126432', '1108903', '65036', '552255', '568395', '49.970', '12591440', '0', '3881863', '0', '161122', '0', '0', '4.151']",607,992,1017,2353,100.00,83.33,58.33,100.00,2.758,1.688,1.646,0.711
values_19,1564,1564,"['959264', '8844988', '126432', '1108903', '65036', '552255', '568395', '49.970', '12590986', '0', '3881753', '0', '161081', '0', '0', '4.150']",555,938,857,1901,100.00,83.33,58.33,100.00,2.818,1.667,1.825,0.823
values_12,1604,1604,"['959264', '8844988', '126432', '1108903', '65036', '552255', '568395', '49.970', '12591158', '0', '3881793', '0', '161096', '0', '0', '4.150']",571,950,917,2077,100.00,83.33,58.33,100.00,2.809,1.688,1.749,0.772
values_38,3027,3027,"['959264', '8844988', '126432', '1108903', '65036', '552255', '568395', '49.970', '12596598', '0', '3883216', '0', '161419', '0', '0', '4.157']",1525,2387,2811,6799,100.00,83.33,58.33,100.00,1.985,1.268,1.077,0.445
values_81,1708,1708,"['959264', '8844988', '126432', '1108903', '65036', '552255', '568395', '49.970', '12591558', '0', '3881897', '0', '161146', '0', '0', '4.151']",635,1040,1059,2445,100.00,83.33,58.33,100.00,2.690,1.642,1.613,0.699
values_5,1991,1991,"['959264', '8844988', '126432', '1108903', '65036', '552255', '568395', '49.970', '12592638', '0', '3882180', '0', '161185', '0', '0', '4.152']",829,1337,1433,3367,100.00,83.33,58.33,100.00,2.402,1.489,1.389,0.591
values_40,1600,1600,"['959264', '8844988', '126432', '1108903', '65036', '552255', '568395', '49.970', '12591142', '0', '3881789', '0', '161098', '0', '0', '4.150']",571,953,910,2053,100.00,83.33,58.33,100.00,2.802,1.679,1.758,0.779
values_70,2153,2153,"['959264', '8844988', '126432', '1108903', '65036', '552255', '568395', '49.970', '12593282', '0', '3882342', '0', '161230', '0', '0', '4.153']",921,1457,1659,3971,100.00,83.33,58.33,100.00,2.338,1.478,1.298,0.542
values_23,1533,1533,"['959264', '8844988', '126432', '1108903', '65036', '552255', '568395', '49.970', '12590870', '0', '3881722', '0', '161073', '0', '0', '4.150']",529,893,819,1819,100.00,83.33,58.33,100.00,2.898,1.717,1.872,0.843
values_72,1770,1770,"['959264', '8844988', '126432', '1108903', '65036', '552255', '568395', '49.970', '12591770', '0', '3881959', '0', '161146', '0', '0', '4.151']",695,1151,1130,2577,100.00,83.33,58.33,100.00,2.547,1.538,1.566,0.687
values_79,1658,1658,"['959264', '8844988', '126432', '1108903', '65036', '552255', '568395', '49.970', '12591392', '0', '3881847', '0', '161122', '0', '0', '4.151']",591,962,999,2321,100.00,83.33,58.33,100.00,2.805,1.723,1.660,0.714
