id,clockCycles,assemblyInstr,cInstr,cGimple,cReleaseSSA,cOptimized,LineExe,BranchesExe,OnceEe,CallExe,cc4cs,cc4ir,cc4ssa,cc4opt
values_11,1465005,980819,37461,151863,114506,1955881,100.00,91.30,78.26,90.00,39.107,9.647,12.794,0.749
values_19,6013,3941,299,969,782,2804,100.00,91.30,78.26,90.00,20.110,6.205,7.689,2.144
values_12,157020,100975,3213,12244,9297,68124,100.00,91.30,78.26,90.00,48.870,12.824,16.889,2.305
values_38,156861,100881,3203,12199,9282,68019,100.00,91.30,78.26,90.00,48.973,12.859,16.899,2.306
values_81,156843,100866,3203,12199,9282,68019,100.00,91.30,78.26,90.00,48.968,12.857,16.898,2.306
values_5,435599,272922,7580,29691,22412,226138,100.00,91.30,78.26,90.00,57.467,14.671,19.436,1.926
values_40,87163,56410,1949,7275,5558,123458,100.00,91.30,78.26,90.00,44.722,11.981,15.682,0.706
values_70,44605,29079,1114,4038,3119,43028,100.00,91.30,78.26,90.00,40.040,11.046,14.301,1.037
values_23,693234,430918,10991,43462,32787,376457,100.00,91.30,78.26,90.00,63.073,15.950,21.144,1.841
values_72,12661,8349,596,2068,1626,12138,100.00,91.30,78.26,90.00,21.243,6.122,7.787,1.043
values_79,1110579,741470,28470,114856,86601,1357943,100.00,91.30,78.26,90.00,39.009,9.669,12.824,0.818
values_78,1464702,980639,37443,151782,114479,1955503,100.00,91.30,78.26,90.00,39.118,9.650,12.795,0.749
values_87,1110524,741420,28476,114883,86610,1358060,100.00,91.30,78.26,90.00,38.999,9.667,12.822,0.818
values_6,1464909,980769,37453,151827,114494,1955713,100.00,91.30,78.26,90.00,39.113,9.649,12.795,0.749
values_68,264139,167007,5034,19479,14747,128335,100.00,91.30,78.26,90.00,52.471,13.560,17.911,2.058
values_69,1021251,620377,15493,61758,46529,599248,100.00,91.30,78.26,90.00,65.917,16.536,21.949,1.704
values_1,1464993,980818,37457,151845,114500,1955797,100.00,91.30,78.26,90.00,39.111,9.648,12.795,0.749
values_45,1465158,980926,37463,151872,114509,1955923,100.00,91.30,78.26,90.00,39.109,9.647,12.795,0.749
values_33,157114,101035,3217,12262,9303,68166,100.00,91.30,78.26,90.00,48.839,12.813,16.889,2.305
values_15,1110550,741439,28476,114883,86610,1358060,100.00,91.30,78.26,90.00,39.000,9.667,12.822,0.818
values_93,12641,8339,594,2059,1623,12107,100.00,91.30,78.26,90.00,21.281,6.139,7.789,1.044
values_24,5999,3931,295,951,776,2768,100.00,91.30,78.26,90.00,20.336,6.308,7.731,2.167
values_25,2432,1573,139,396,340,446,100.00,91.30,76.09,90.00,17.496,6.141,7.153,5.453
values_26,693284,430944,10995,43480,32793,376517,100.00,91.30,78.26,90.00,63.054,15.945,21.141,1.841
values_48,44605,29079,1114,4038,3119,43028,100.00,91.30,78.26,90.00,40.040,11.046,14.301,1.037
values_71,87096,56362,1947,7266,5555,123382,100.00,91.30,78.26,90.00,44.733,11.987,15.679,0.706
values_76,156990,100954,3213,12244,9297,68124,100.00,91.30,78.26,90.00,48.861,12.822,16.886,2.304
values_7,435402,272803,7570,29646,22397,226003,100.00,91.30,78.26,90.00,57.517,14.687,19.440,1.927
values_50,1894500,1270342,48429,197148,148709,2748712,100.00,91.30,78.26,90.00,39.119,9.610,12.740,0.689
values_22,87026,56319,1943,7248,5549,123230,100.00,91.30,78.26,90.00,44.790,12.007,15.683,0.706
values_4,264173,167030,5034,19479,14747,128335,100.00,91.30,78.26,90.00,52.478,13.562,17.914,2.058
values_32,692946,430729,10979,43408,32769,376277,100.00,91.30,78.26,90.00,63.116,15.964,21.146,1.842
values_77,693055,430797,10985,43435,32778,376367,100.00,91.30,78.26,90.00,63.091,15.956,21.144,1.841
values_91,827406,551889,21234,85191,64211,916825,100.00,91.30,78.26,90.00,38.966,9.712,12.886,0.902
values_42,1464800,980706,37443,151782,114479,1955503,100.00,91.30,78.26,90.00,39.121,9.651,12.795,0.749
values_13,1110350,741318,28464,114829,86592,1357826,100.00,91.30,78.26,90.00,39.009,9.670,12.823,0.818
values_41,87214,56443,1951,7284,5561,123534,100.00,91.30,78.26,90.00,44.702,11.973,15.683,0.706
values_55,1464889,980742,37457,151845,114500,1955797,100.00,91.30,78.26,90.00,39.109,9.647,12.794,0.749
values_31,1020999,620218,15481,61704,46511,599050,100.00,91.30,78.26,90.00,65.952,16.547,21.952,1.704
values_66,1110336,741300,28468,114847,86598,1357904,100.00,91.30,78.26,90.00,39.003,9.668,12.822,0.818
values_65,1894387,1270272,48423,197121,148700,2748577,100.00,91.30,78.26,90.00,39.122,9.610,12.740,0.689
values_62,2439,1578,141,405,343,451,100.00,91.30,78.26,90.00,17.298,6.022,7.111,5.408
values_21,1894255,1270187,48419,197103,148694,2748487,100.00,91.30,78.26,90.00,39.122,9.610,12.739,0.689
values_95,2432,1573,139,396,340,446,100.00,91.30,76.09,90.00,17.496,6.141,7.153,5.453
values_84,5999,3931,295,951,776,2768,100.00,91.30,78.26,90.00,20.336,6.308,7.731,2.167
values_58,1464411,980448,37429,151719,114458,1955209,100.00,91.30,78.26,90.00,39.125,9.652,12.794,0.749
values_64,2439,1578,141,405,343,451,100.00,91.30,78.26,90.00,17.298,6.022,7.111,5.408
values_83,156877,100884,3207,12217,9288,68061,100.00,91.30,78.26,90.00,48.917,12.841,16.890,2.305
values_94,12648,8344,596,2068,1626,12138,100.00,91.30,78.26,90.00,21.221,6.116,7.779,1.042
values_0,156911,100907,3207,12217,9288,68061,100.00,91.30,78.26,90.00,48.928,12.844,16.894,2.305
values_99,264286,167100,5040,19506,14756,128407,100.00,91.30,78.26,90.00,52.438,13.549,17.910,2.058
values_96,1020836,620122,15471,61659,46496,598885,100.00,91.30,78.26,90.00,65.984,16.556,21.955,1.705
values_67,693385,431013,10997,43489,32796,376547,100.00,91.30,78.26,90.00,63.052,15.944,21.142,1.841
values_61,1894518,1270357,48429,197148,148709,2748712,100.00,91.30,78.26,90.00,39.119,9.610,12.740,0.689
values_43,87101,56371,1945,7257,5552,123306,100.00,91.30,78.26,90.00,44.782,12.002,15.688,0.706
values_2,87148,56402,1947,7266,5555,123382,100.00,91.30,78.26,90.00,44.760,11.994,15.688,0.706
values_54,435372,272787,7566,29628,22391,225949,100.00,91.30,78.26,90.00,57.543,14.695,19.444,1.927
values_30,1893996,1270024,48405,197040,148673,2748172,100.00,91.30,78.26,90.00,39.128,9.612,12.739,0.689
values_59,693302,430959,10995,43480,32793,376517,100.00,91.30,78.26,90.00,63.056,15.945,21.142,1.841
values_85,1893971,1270022,48399,197013,148664,2748037,100.00,91.30,78.26,90.00,39.132,9.613,12.740,0.689
values_74,264304,167115,5040,19506,14756,128407,100.00,91.30,78.26,90.00,52.441,13.550,17.912,2.058
values_90,1894687,1270467,48435,197175,148718,2748847,100.00,91.30,78.26,90.00,39.118,9.609,12.740,0.689
values_18,827416,551900,21234,85191,64211,916825,100.00,91.30,78.26,90.00,38.967,9.712,12.886,0.902
values_52,693074,430807,10987,43444,32781,376397,100.00,91.30,78.26,90.00,63.081,15.953,21.143,1.841
values_44,157024,100977,3213,12244,9297,68124,100.00,91.30,78.26,90.00,48.871,12.825,16.890,2.305
values_17,2432,1573,139,396,340,446,100.00,91.30,76.09,90.00,17.496,6.141,7.153,5.453
values_36,2432,1573,139,396,340,446,100.00,91.30,76.09,90.00,17.496,6.141,7.153,5.453
values_49,1110830,741612,28488,114937,86628,1358294,100.00,91.30,78.26,90.00,38.993,9.665,12.823,0.818
values_86,435383,272793,7568,29637,22394,225976,100.00,91.30,78.26,90.00,57.529,14.691,19.442,1.927
values_37,12654,8344,594,2059,1623,12107,100.00,91.30,78.26,90.00,21.303,6.146,7.797,1.045
values_56,1020954,620189,15479,61695,46508,599017,100.00,91.30,78.26,90.00,65.957,16.548,21.952,1.704
values_63,87105,56373,1945,7257,5552,123306,100.00,91.30,78.26,90.00,44.784,12.003,15.689,0.706
values_35,264376,167158,5044,19524,14762,128455,100.00,91.30,78.26,90.00,52.414,13.541,17.909,2.058
values_97,6006,3936,297,960,779,2786,100.00,91.30,78.26,90.00,20.222,6.256,7.710,2.156
values_75,12641,8339,594,2059,1623,12107,100.00,91.30,78.26,90.00,21.281,6.139,7.789,1.044
values_57,87116,56379,1947,7266,5555,123382,100.00,91.30,78.26,90.00,44.744,11.990,15.682,0.706
values_88,1894135,1270108,48415,197085,148688,2748397,100.00,91.30,78.26,90.00,39.123,9.611,12.739,0.689
values_10,156926,100915,3209,12226,9291,68082,100.00,91.30,78.26,90.00,48.902,12.835,16.890,2.305
values_53,693198,430888,10991,43462,32787,376457,100.00,91.30,78.26,90.00,63.070,15.950,21.142,1.841
values_8,693258,430925,10995,43480,32793,376517,100.00,91.30,78.26,90.00,63.052,15.944,21.140,1.841
values_39,264346,167137,5044,19524,14762,128455,100.00,91.30,78.26,90.00,52.408,13.540,17.907,2.058
values_47,1894315,1270224,48423,197121,148700,2748577,100.00,91.30,78.26,90.00,39.120,9.610,12.739,0.689
values_60,156983,100950,3211,12235,9294,68103,100.00,91.30,78.26,90.00,48.889,12.831,16.891,2.305
values_89,12627,8329,590,2041,1617,12045,100.00,91.30,78.26,90.00,21.402,6.187,7.809,1.048
values_51,264091,166971,5034,19479,14747,128335,100.00,91.30,78.26,90.00,52.461,13.558,17.908,2.058
values_14,5999,3931,295,951,776,2768,100.00,91.30,78.26,90.00,20.336,6.308,7.731,2.167
values_28,827089,551696,21216,85110,64184,916501,100.00,91.30,78.26,90.00,38.984,9.718,12.886,0.902
values_16,44584,29064,1108,4011,3110,42875,100.00,91.30,78.26,90.00,40.238,11.115,14.336,1.040
values_34,1020788,620086,15471,61659,46496,598885,100.00,91.30,78.26,90.00,65.981,16.555,21.954,1.704
values_82,1020802,620104,15467,61641,46490,598819,100.00,91.30,78.26,90.00,65.999,16.560,21.957,1.705
values_46,1020785,620084,15469,61650,46493,598852,100.00,91.30,78.26,90.00,65.989,16.558,21.956,1.705
values_27,264067,166964,5030,19461,14741,128287,100.00,91.30,78.26,90.00,52.498,13.569,17.914,2.058
values_20,693082,430811,10987,43444,32781,376397,100.00,91.30,78.26,90.00,63.082,15.953,21.143,1.841
values_9,693254,430928,10991,43462,32787,376457,100.00,91.30,78.26,90.00,63.075,15.951,21.144,1.842
values_92,827390,551881,21234,85191,64211,916825,100.00,91.30,78.26,90.00,38.965,9.712,12.885,0.902
values_3,1894218,1270162,48417,197094,148691,2748442,100.00,91.30,78.26,90.00,39.123,9.611,12.739,0.689
values_98,6006,3936,297,960,779,2786,100.00,91.30,78.26,90.00,20.222,6.256,7.710,2.156
values_29,12668,8354,598,2077,1629,12169,100.00,91.30,78.26,90.00,21.184,6.099,7.777,1.041
values_80,435473,272851,7572,29655,22400,226030,100.00,91.30,78.26,90.00,57.511,14.685,19.441,1.927
values_73,1110591,741466,28478,114892,86613,1358099,100.00,91.30,78.26,90.00,38.998,9.666,12.822,0.818
