inputName,text,data,bss
values_11,13232,3504,520
values_19,13232,1904,488
values_12,13248,2080,488
values_38,13184,240,424
values_81,13200,176,416
values_5,13184,240,424
values_40,13184,464,440
values_70,13168,400,432
values_23,13232,624,448
values_72,13200,4240,528
values_79,13232,2640,504
values_78,13184,464,440
values_87,13168,400,432
values_6,13200,4240,528
values_68,13200,3984,528
values_69,13184,160,408
values_1,13232,1584,480
values_45,13184,336,432
values_33,13184,1168,464
values_15,13232,624,448
values_93,13184,240,424
values_24,13184,160,408
values_25,13232,816,456
values_26,13248,2080,488
values_48,13232,1584,480
values_71,13200,1296,472
values_76,13248,2080,488
values_7,13184,240,424
values_50,13184,464,440
values_22,13184,1168,464
values_4,13248,2848,504
values_32,13232,1904,488
values_77,13232,2256,496
values_91,13232,1584,480
values_42,13184,464,440
values_13,13232,624,448
values_41,13232,2640,504
values_55,13232,816,456
values_31,13184,336,432
values_66,13232,2640,504
values_65,13168,208,416
values_62,13168,400,432
values_21,13200,4240,528
values_95,13168,208,416
values_84,13216,928,456
values_58,13232,624,448
values_64,13168,400,432
values_83,13232,2256,496
values_94,13232,624,448
values_0,13232,2640,504
values_99,13200,288,424
values_96,13232,1584,480
values_67,13168,208,416
values_61,13184,160,408
values_43,13232,2640,504
values_2,13184,1168,464
values_54,13200,1296,472
values_30,13184,464,440
values_59,13216,720,448
values_85,13184,240,424
values_74,13232,816,456
values_90,13184,1168,464
values_18,13232,624,448
values_52,13216,928,456
values_44,13216,3744,520
values_17,13232,2640,504
values_36,13184,336,432
values_49,13232,3056,512
values_86,13200,288,424
values_37,13200,1296,472
values_56,13216,544,440
values_63,13200,1040,464
values_35,13184,240,424
values_97,13200,4240,528
values_75,13216,3744,520
values_57,13232,1904,488
values_88,13232,1584,480
values_10,13232,3056,512
values_53,13248,2080,488
values_8,13200,3984,528
values_39,13200,4240,528
values_47,13200,1296,472
values_60,13216,3280,512
values_89,13232,2640,504
values_51,13216,3744,520
values_14,13232,1904,488
values_28,13216,1440,472
values_16,13232,1904,488
values_34,13232,2256,496
values_82,13232,816,456
values_46,13232,2256,496
values_27,13232,3056,512
values_20,13184,240,424
values_9,13216,928,456
values_92,13216,544,440
values_3,13232,624,448
values_98,13168,208,416
values_29,13216,1440,472
values_80,13232,3056,512
values_73,13232,2640,504
