id,clockCycles,assemblyInstr,cInstr,cGimple,cReleaseSSA,cOptimized,LineExe,BranchesExe,OnceEe,CallExe,cc4cs,cc4ir,cc4ssa,cc4opt
values_11,27477,19590,594,2059,1595,7148,100.00,91.30,78.26,90.00,46.258,13.345,17.227,3.844
values_19,95876,68118,1941,7239,5506,66332,100.00,91.30,78.26,90.00,49.395,13.244,17.413,1.445
values_12,53522,38091,1108,4011,3076,23826,100.00,91.30,78.26,90.00,48.305,13.344,17.400,2.246
values_38,95876,68118,1945,7257,5512,66484,100.00,91.30,78.26,90.00,49.294,13.212,17.394,1.442
values_81,27477,19590,596,2068,1598,7179,100.00,91.30,78.26,90.00,46.102,13.287,17.195,3.827
values_5,2187566,1518187,37449,151809,114400,1001018,100.00,91.30,78.26,90.00,58.415,14.410,19.122,2.185
values_40,429106,299707,7566,29628,22333,119130,100.00,91.30,78.26,90.00,56.715,14.483,19.214,3.602
values_70,27477,19590,596,2068,1598,7179,100.00,91.30,78.26,90.00,46.102,13.287,17.195,3.827
values_23,95876,68118,1951,7284,5521,66712,100.00,91.30,78.26,90.00,49.142,13.163,17.366,1.437
values_72,4763,3412,141,405,327,373,100.00,91.30,78.26,90.00,33.780,11.760,14.566,12.769
values_79,178084,124759,3205,12208,9239,37016,100.00,91.30,78.26,90.00,55.564,14.587,19.275,4.811
values_78,12680,9089,297,960,757,1908,100.00,91.30,78.26,90.00,42.694,13.208,16.750,6.646
values_87,2837099,1968470,48425,197130,148609,1403070,100.00,91.30,78.26,90.00,58.587,14.392,19.091,2.022
values_6,1231671,856338,21232,85182,64132,472974,100.00,91.30,78.26,90.00,58.010,14.459,19.205,2.604
values_68,2837099,1968470,48413,197076,148591,1402800,100.00,91.30,78.26,90.00,58.602,14.396,19.093,2.022
values_69,282231,197233,5034,19479,14695,68600,100.00,91.30,78.26,90.00,56.065,14.489,19.206,4.114
values_1,2837099,1968470,48421,197112,148603,1402980,100.00,91.30,78.26,90.00,58.592,14.393,19.092,2.022
values_45,95876,68118,1947,7266,5515,66560,100.00,91.30,78.26,90.00,49.243,13.195,17.385,1.440
values_33,2187566,1518187,37445,151791,114394,1000934,100.00,91.30,78.26,90.00,58.421,14.412,19.123,2.186
values_15,282231,197233,5044,19524,14710,68720,100.00,91.30,78.26,90.00,55.954,14.456,19.186,4.107
values_93,631208,439469,10983,43426,32711,196570,100.00,91.30,78.26,90.00,57.471,14.535,19.297,3.211
values_24,95876,68118,1943,7248,5509,66408,100.00,91.30,78.26,90.00,49.344,13.228,17.404,1.444
values_25,282231,197233,5038,19497,14701,68648,100.00,91.30,78.26,90.00,56.020,14.476,19.198,4.111
values_26,2837099,1968470,48419,197103,148600,1402935,100.00,91.30,78.26,90.00,58.595,14.394,19.092,2.022
