inputName,text,data,bss
values_11,3776,128,96
values_19,6792,288,112
values_12,5712,200,104
values_38,6792,288,112
values_81,3776,128,96
values_5,8492,1568,176
values_40,5612,648,136
values_70,3776,128,96
values_23,6792,288,112
values_72,1508,32,80
values_79,4584,392,120
values_78,2472,72,88
values_87,9124,1800,184
values_6,7408,1152,160
values_68,9124,1800,184
values_69,5072,512,128
values_1,9124,1800,184
values_45,6792,288,112
values_33,8492,1568,176
values_15,5072,512,128
values_93,6296,800,144
values_24,6792,288,112
values_25,5072,512,128
values_26,9124,1800,184
values_48,5712,200,104
values_71,5612,648,136
values_76,8492,1568,176
values_7,5072,512,128
values_50,4584,392,120
values_22,7952,1352,168
values_4,1508,32,80
values_32,8492,1568,176
values_77,4584,392,120
values_91,6924,968,152
values_42,6924,968,152
values_13,4584,392,120
values_41,3776,128,96
values_55,7408,1152,160
values_31,6792,288,112
values_66,7952,1352,168
values_65,6296,800,144
values_62,3776,128,96
values_21,2472,72,88
values_95,5612,648,136
values_84,4584,392,120
values_58,3776,128,96
values_64,6792,288,112
values_83,6792,288,112
values_94,7952,1352,168
values_0,8492,1568,176
values_99,3776,128,96
values_96,6296,800,144
values_67,6924,968,152
values_61,3776,128,96
values_43,5712,200,104
values_2,1508,32,80
values_54,2472,72,88
values_30,7952,1352,168
values_59,1508,32,80
values_85,3776,128,96
values_74,6924,968,152
values_90,3776,128,96
values_18,7952,1352,168
values_52,6792,288,112
values_44,3776,128,96
values_17,9124,1800,184
values_36,1508,32,80
values_49,7408,1152,160
values_86,1508,32,80
values_37,6792,288,112
values_56,6792,288,112
values_63,4584,392,120
values_35,5072,512,128
values_97,2472,72,88
values_75,1508,32,80
values_57,9124,1800,184
values_88,5712,200,104
values_10,7952,1352,168
values_53,3776,128,96
values_8,7952,1352,168
values_39,6792,288,112
values_47,8492,1568,176
values_60,4584,392,120
values_89,8492,1568,176
values_51,6792,288,112
values_14,4584,392,120
values_28,3776,128,96
values_16,5612,648,136
values_34,6924,968,152
values_82,1508,32,80
values_46,4584,392,120
values_27,5072,512,128
values_20,5072,512,128
values_9,4584,392,120
values_92,6792,288,112
values_3,5072,512,128
values_98,2472,72,88
values_29,3776,128,96
values_80,5612,648,136
values_73,1508,32,80
