id,clockCycles,assemblyInstr,cacheHit,cacheHitInstr,cacheHitData,MOPS,MIPS,MFLOPS,cInstr,cGimple,cReleaseSSA,cOptimized,LineExe,BranchesExe,OnceEe,CallExe,cc4cs,cc4ir,cc4ssa,cc4opt
values_11,12162,5694,95.0,95.9,73.6,23.41,23.20,0.21,813,3090,2529,2292,100.00,100.00,100.00,100.00,14.959,3.936,4.809,5.306
values_19,14188,6665,95.7,96.5,76.4,23.49,23.26,0.23,993,3841,3153,2857,100.00,100.00,100.00,100.00,14.288,3.694,4.500,4.966
values_12,15792,7474,96.1,96.9,77.3,23.66,23.43,0.24,1113,4342,3569,3202,100.00,100.00,100.00,100.00,14.189,3.637,4.425,4.932
values_38,13582,6434,95.5,96.4,75.5,23.69,23.48,0.21,933,3563,2924,2618,100.00,100.00,100.00,100.00,14.557,3.812,4.645,5.188
values_81,6264,2432,89.7,90.8,66.4,19.41,19.29,0.12,321,1127,911,858,100.00,100.00,100.00,100.00,19.514,5.558,6.876,7.301
values_5,10807,4991,94.4,95.3,73.1,23.09,22.90,0.19,699,2632,2150,1965,100.00,100.00,100.00,100.00,15.461,4.106,5.027,5.500
values_40,18492,8905,96.7,97.4,79.2,24.08,23.84,0.24,1293,5077,4179,3743,100.00,100.00,100.00,100.00,14.302,3.642,4.425,4.940
values_70,8062,3333,92.3,93.3,72.8,20.67,20.49,0.18,537,1973,1609,1467,100.00,100.00,100.00,100.00,15.013,4.086,5.011,5.496
values_23,4576,1526,84.5,85.7,56.5,16.67,16.64,0.03,87,269,215,213,100.00,100.00,100.00,100.00,52.598,17.011,21.284,21.484
values_72,14168,6653,95.7,96.5,76.4,23.48,23.25,0.23,993,3832,3146,2844,100.00,100.00,100.00,100.00,14.268,3.697,4.503,4.982
values_79,21005,10004,96.9,97.7,78.8,23.81,23.56,0.25,1473,5849,4817,4316,100.00,100.00,100.00,100.00,14.260,3.591,4.361,4.867
values_78,14191,6671,95.7,96.6,76.4,23.50,23.28,0.23,993,3841,3153,2848,100.00,100.00,100.00,100.00,14.291,3.695,4.501,4.983
values_87,6258,2434,89.7,90.8,66.4,19.45,19.33,0.12,321,1127,911,852,100.00,100.00,100.00,100.00,19.495,5.553,6.869,7.345
values_6,18490,8899,96.6,97.4,79.2,24.06,23.83,0.24,1293,5077,4179,3755,100.00,100.00,100.00,100.00,14.300,3.642,4.425,4.924
values_68,12602,5863,95.2,96.1,74.5,23.26,23.06,0.20,873,3304,2709,2439,100.00,100.00,100.00,100.00,14.435,3.814,4.652,5.167
values_69,4576,1526,84.4,85.6,56.5,16.67,16.64,0.03,87,269,215,213,100.00,100.00,100.00,100.00,52.598,17.011,21.284,21.484
values_1,4165,1363,83.8,85.0,57.4,16.36,16.35,0.01,45,122,97,120,100.00,100.00,81.25,100.00,92.556,34.139,42.938,34.708
values_45,4165,1363,83.8,85.0,57.4,16.36,16.35,0.01,45,122,97,120,100.00,100.00,81.25,100.00,92.556,34.139,42.938,34.708
values_33,7145,2872,91.1,92.2,67.1,20.10,19.94,0.15,429,1549,1260,1160,100.00,100.00,100.00,100.00,16.655,4.613,5.671,6.159
values_15,12734,5935,95.2,96.1,75.1,23.30,23.08,0.22,873,3358,2751,2493,100.00,100.00,100.00,100.00,14.586,3.792,4.629,5.108
values_93,16741,8019,96.3,97.1,77.0,23.95,23.73,0.22,1173,4548,3742,3352,100.00,100.00,100.00,100.00,14.272,3.681,4.474,4.994
values_24,16786,8046,96.3,97.1,77.1,23.97,23.74,0.23,1173,4566,3756,3366,100.00,100.00,100.00,100.00,14.310,3.676,4.469,4.987
values_25,10834,5006,94.4,95.3,73.4,23.10,22.90,0.20,699,2650,2164,1985,100.00,100.00,100.00,100.00,15.499,4.088,5.006,5.458
values_26,8008,3297,92.2,93.2,72.4,20.59,20.42,0.16,537,1946,1588,1437,100.00,100.00,100.00,100.00,14.912,4.115,5.043,5.573
values_48,11194,5145,94.6,95.5,72.6,22.98,22.79,0.19,753,2814,2300,2079,100.00,100.00,100.00,100.00,14.866,3.978,4.867,5.384
values_71,19024,9055,96.7,97.5,78.8,23.80,23.57,0.23,1353,5283,4352,3872,100.00,100.00,100.00,100.00,14.061,3.601,4.371,4.913
values_76,12715,5923,95.2,96.1,75.0,23.29,23.07,0.22,873,3349,2744,2483,100.00,100.00,100.00,100.00,14.565,3.797,4.634,5.121
values_7,22116,10654,97.1,97.8,78.6,24.09,23.85,0.24,1533,6046,4983,4447,100.00,100.00,100.00,100.00,14.427,3.658,4.438,4.973
values_50,24825,11805,97.2,98.1,77.9,23.78,23.53,0.25,1713,6830,5628,5042,100.00,100.00,100.00,100.00,14.492,3.635,4.411,4.924
values_22,5192,1870,87.0,88.3,58.0,18.01,17.93,0.08,177,598,481,465,100.00,100.00,100.00,100.00,29.333,8.682,10.794,11.166
values_4,5192,1870,87.0,88.3,58.0,18.01,17.93,0.08,177,598,481,465,100.00,100.00,100.00,100.00,29.333,8.682,10.794,11.166
values_32,11280,5184,94.6,95.6,72.9,22.98,22.78,0.20,753,2841,2321,2106,100.00,100.00,100.00,100.00,14.980,3.970,4.860,5.356
values_77,4840,1687,85.9,87.0,61.0,17.43,17.38,0.05,129,417,333,328,100.00,100.00,100.00,100.00,37.519,11.607,14.535,14.756
values_91,20077,9663,96.8,97.6,78.7,24.06,23.85,0.22,1413,5489,4525,4034,100.00,100.00,100.00,100.00,14.209,3.658,4.437,4.977
values_42,22905,10903,97.1,97.9,78.4,23.80,23.55,0.25,1593,6352,5233,4696,100.00,100.00,100.00,100.00,14.379,3.606,4.377,4.878
values_13,6289,2446,89.7,90.8,66.7,19.45,19.32,0.13,321,1136,918,862,100.00,100.00,100.00,100.00,19.592,5.536,6.851,7.296
values_41,7622,3115,91.8,92.9,69.6,20.43,20.26,0.18,483,1774,1445,1334,100.00,100.00,100.00,100.00,15.781,4.297,5.275,5.714
values_55,7144,2872,91.1,92.2,67.1,20.10,19.95,0.15,429,1549,1260,1157,100.00,100.00,100.00,100.00,16.653,4.612,5.670,6.175
values_31,7157,2880,91.1,92.3,67.3,20.12,19.96,0.16,429,1558,1267,1173,100.00,100.00,100.00,100.00,16.683,4.594,5.649,6.101
values_66,9128,3820,93.0,94.1,71.6,20.92,20.72,0.20,645,2406,1965,1796,100.00,100.00,100.00,100.00,14.152,3.794,4.645,5.082
values_65,15188,7239,95.9,96.8,76.0,23.83,23.60,0.23,1053,4082,3354,3016,100.00,100.00,100.00,100.00,14.424,3.721,4.528,5.036
values_62,13474,6368,95.5,96.3,75.1,23.63,23.43,0.20,933,3527,2896,2608,100.00,100.00,100.00,100.00,14.442,3.820,4.653,5.166
values_21,6292,2448,89.7,90.8,66.7,19.45,19.33,0.13,321,1136,918,859,100.00,100.00,100.00,100.00,19.601,5.539,6.854,7.325
values_95,8065,3335,92.3,93.3,72.8,20.68,20.50,0.18,537,1973,1609,1464,100.00,100.00,100.00,100.00,15.019,4.088,5.012,5.509
values_84,15094,7197,95.9,96.8,75.6,23.84,23.63,0.21,1053,4037,3319,2951,100.00,100.00,100.00,100.00,14.334,3.739,4.548,5.115
