id,clockCycles,assemblyInstr,cacheHit,cacheHitInstr,cacheHitData,MOPS,MIPS,MFLOPS,cInstr,cGimple,cReleaseSSA,cOptimized,LineExe,BranchesExe,OnceEe,CallExe,cc4cs,cc4ir,cc4ssa,cc4opt
values_11,,,,,,,,,192,690,820,679,100.00,100.00,100.00,100.00,0,0,0,0
values_19,,,,,,,,,325,1217,1455,1202,100.00,100.00,100.00,100.00,0,0,0,0
values_12,,,,,,,,,249,930,1110,917,100.00,100.00,100.00,100.00,0,0,0,0
values_38,,,,,,,,,690,2706,3256,2683,100.00,100.00,100.00,100.00,0,0,0,0
values_81,,,,,,,,,484,1882,2260,1863,100.00,100.00,100.00,100.00,0,0,0,0
values_5,,,,,,,,,975,3921,4731,3893,100.00,100.00,100.00,100.00,0,0,0,0
values_40,,,,,,,,,253,934,1114,921,100.00,100.00,100.00,100.00,0,0,0,0
values_70,,,,,,,,,799,3166,3814,3141,100.00,100.00,100.00,100.00,0,0,0,0
values_23,,,,,,,,,188,686,816,675,100.00,100.00,100.00,100.00,0,0,0,0
values_72,,,,,,,,,75,238,278,232,100.00,100.00,100.00,100.00,0,0,0,0
values_79,,,,,,,,,110,386,456,378,100.00,100.00,100.00,100.00,0,0,0,0
values_78,,,,,,,,,405,1536,1840,1519,100.00,100.00,100.00,100.00,0,0,0,0
values_87,,,,,,,,,137,480,568,471,100.00,100.00,100.00,100.00,0,0,0,0
values_6,,,,,,,,,226,812,966,800,100.00,100.00,100.00,100.00,0,0,0,0
values_68,,,,,,,,,686,2702,3252,2679,100.00,100.00,100.00,100.00,0,0,0,0
values_69,,,,,,,,,536,2078,2496,2058,100.00,100.00,100.00,100.00,0,0,0,0
values_1,,,,,,,,,698,2714,3264,2691,100.00,100.00,100.00,100.00,0,0,0,0
values_45,,,,,,,,,163,580,688,570,100.00,100.00,100.00,100.00,0,0,0,0
values_33,,,,,,,,,333,1225,1463,1210,100.00,100.00,100.00,100.00,0,0,0,0
values_15,,,,,,,,,635,2486,2990,2464,100.00,100.00,100.00,100.00,0,0,0,0
