id,clockCycles,assemblyInstr,Cache,cInstr,cGimple,cReleaseSSA,cOptimized,LineExe,BranchesExe,OnceEe,CallExe,cc4cs,cc4ir,cc4ssa,cc4opt
values_11,4171,4171,"['968844', '8853932', '127633', '1110230', '65269', '552796', '568966', '49.930', '12612440', '0', '3889360', '0', '161051', '0', '0', '4.141']",840,3393,4093,3842,100.00,100.00,100.00,100.00,4.965,1.229,1.019,1.086
values_19,857,857,"['955712', '8845306', '125988', '1109193', '64987', '552296', '568442', '49.975', '12589574', '0', '3881047', '0', '160943', '0', '0', '4.147']",16,37,41,23,100.00,100.00,83.33,100.00,53.562,23.162,20.902,37.261
values_12,857,857,"['955712', '8845306', '125988', '1109193', '64987', '552296', '568442', '49.975', '12589574', '0', '3881047', '0', '160943', '0', '0', '4.147']",16,37,41,23,100.00,100.00,83.33,100.00,53.562,23.162,20.902,37.261
values_38,5022,5022,"['970188', '8853957', '127801', '1110248', '65326', '552793', '568978', '49.927', '12614696', '0', '3890212', '0', '161073', '0', '0', '4.140']",1047,4200,5068,4745,100.00,100.00,100.00,100.00,4.797,1.196,0.991,1.058
values_81,2563,2563,"['965772', '8853876', '127249', '1110244', '65176', '552799', '568972', '49.938', '12608250', '0', '3887752', '0', '161122', '0', '0', '4.144']",457,1718,2058,1955,100.00,100.00,100.00,100.00,5.608,1.492,1.245,1.311
values_5,4728,4728,"['969748', '8853948', '127746', '1110232', '65301', '552799', '568978', '49.928', '12613876', '0', '3889917', '0', '161051', '0', '0', '4.140']",985,3931,4741,4443,100.00,100.00,100.00,100.00,4.800,1.203,0.997,1.064
values_40,2212,2212,"['965188', '8853860', '127176', '1110242', '65200', '552736', '568924', '49.938', '12607346', '0', '3887401', '0', '161116', '0', '0', '4.145']",365,1373,1643,1567,100.00,100.00,100.00,100.00,6.060,1.611,1.346,1.412
values_70,5028,5028,"['970188', '8853957', '127801', '1110248', '65336', '552793', '568981', '49.928', '12614708', '0', '3890218', '0', '161073', '0', '0', '4.140']",1050,4203,5071,4748,100.00,100.00,100.00,100.00,4.789,1.196,0.992,1.059
values_23,5301,5301,"['970676', '8853965', '127862', '1110235', '65349', '552784', '568974', '49.926', '12615384', '0', '3890490', '0', '161051', '0', '0', '4.140']",1128,4495,5423,5074,100.00,100.00,100.00,100.00,4.699,1.179,0.978,1.045
values_72,5601,5601,"['971188', '8853973', '127926', '1110250', '65403', '552794', '568988', '49.928', '12616212', '0', '3890791', '0', '161073', '0', '0', '4.140']",1188,4776,5766,5390,100.00,100.00,100.00,100.00,4.715,1.173,0.971,1.039
values_79,1032,1032,"['956360', '8845290', '126069', '1109170', '65003', '552288', '568441', '49.973', '12589886', '0', '3881221', '0', '160956', '0', '0', '4.147']",55,172,200,201,100.00,100.00,100.00,100.00,18.764,6.000,5.160,5.134
values_78,1777,1777,"['957696', '8845352', '126236', '1109176', '65129', '552203', '568394', '49.970', '12591808', '0', '3881966', '0', '160988', '0', '0', '4.147']",254,935,1115,1072,100.00,100.00,100.00,100.00,6.996,1.901,1.594,1.658
values_87,3730,3730,"['968004', '8853916', '127528', '1110228', '65227', '552795', '568970', '49.931', '12611260', '0', '3888919', '0', '161051', '0', '0', '4.141']",743,2931,3529,3321,100.00,100.00,100.00,100.00,5.020,1.273,1.057,1.123
values_6,1212,1212,"['960864', '8845310', '126632', '1107146', '65091', '552200', '568383', '50.033', '12572292', '0', '3876402', '0', '160950', '0', '0', '4.152']",113,389,459,451,100.00,100.00,100.00,100.00,10.726,3.116,2.641,2.687
values_68,4006,4006,"['968420', '8853924', '127580', '1110243', '65271', '552790', '568968', '49.931', '12612004', '0', '3889196', '0', '161073', '0', '0', '4.142']",806,3173,3821,3592,100.00,100.00,100.00,100.00,4.970,1.263,1.048,1.115
values_69,2555,2555,"['965772', '8853876', '127249', '1110244', '65166', '552790', '568964', '49.936', '12608234', '0', '3887744', '0', '161122', '0', '0', '4.144']",453,1714,2054,1951,100.00,100.00,100.00,100.00,5.640,1.491,1.244,1.310
values_1,5609,5609,"['971188', '8853973', '127926', '1110250', '65398', '552798', '568989', '49.928', '12616228', '0', '3890799', '0', '161073', '0', '0', '4.140']",1192,4780,5770,5394,100.00,100.00,100.00,100.00,4.706,1.173,0.972,1.040
values_45,4207,4207,"['968844', '8853932', '127633', '1110230', '65269', '552790', '568970', '49.930', '12612512', '0', '3889396', '0', '161051', '0', '0', '4.141']",858,3411,4111,3860,100.00,100.00,100.00,100.00,4.903,1.233,1.023,1.090
values_33,2208,2208,"['965188', '8853860', '127176', '1110242', '65193', '552727', '568919', '49.936', '12607338', '0', '3887397', '0', '161116', '0', '0', '4.145']",363,1371,1641,1565,100.00,100.00,100.00,100.00,6.083,1.611,1.346,1.411
values_15,1787,1787,"['957696', '8845352', '126236', '1109176', '65126', '552202', '568394', '49.969', '12591828', '0', '3881976', '0', '160988', '0', '0', '4.147']",259,940,1120,1077,100.00,100.00,100.00,100.00,6.900,1.901,1.596,1.659
values_93,1063,1063,"['956472', '8845298', '126083', '1109157', '65087', '552196', '568379', '49.973', '12589934', '0', '3881253', '0', '160956', '0', '0', '4.147']",72,235,275,274,100.00,100.00,100.00,100.00,14.764,4.523,3.865,3.880
values_24,2547,2547,"['965772', '8853876', '127249', '1110244', '65173', '552802', '568970', '49.938', '12608218', '0', '3887736', '0', '161122', '0', '0', '4.144']",449,1710,2050,1947,100.00,100.00,100.00,100.00,5.673,1.489,1.242,1.308
values_25,5026,5026,"['970188', '8853957', '127801', '1110248', '65349', '552801', '568979', '49.929', '12614704', '0', '3890216', '0', '161073', '0', '0', '4.140']",1049,4202,5070,4747,100.00,100.00,100.00,100.00,4.791,1.196,0.991,1.059
values_26,1212,1212,"['960864', '8845310', '126632', '1107146', '65091', '552200', '568383', '50.033', '12572292', '0', '3876402', '0', '160950', '0', '0', '4.152']",113,389,459,451,100.00,100.00,100.00,100.00,10.726,3.116,2.641,2.687
values_48,4213,4213,"['968844', '8853932', '127633', '1110230', '65265', '552794', '568969', '49.930', '12612524', '0', '3889402', '0', '161051', '0', '0', '4.141']",861,3414,4114,3863,100.00,100.00,100.00,100.00,4.893,1.234,1.024,1.091
values_71,1534,1534,"['957272', '8845336', '126183', '1109174', '65110', '552197', '568387', '49.970', '12591180', '0', '3881723', '0', '160988', '0', '0', '4.147']",191,689,819,793,100.00,100.00,100.00,100.00,8.031,2.226,1.873,1.934
values_76,5020,5020,"['970188', '8853957', '127801', '1110248', '65343', '552798', '568985', '49.929', '12614692', '0', '3890210', '0', '161073', '0', '0', '4.140']",1046,4199,5067,4744,100.00,100.00,100.00,100.00,4.799,1.196,0.991,1.058
values_7,5281,5281,"['970676', '8853965', '127862', '1110235', '65331', '552788', '568978', '49.925', '12615344', '0', '3890470', '0', '161051', '0', '0', '4.140']",1118,4485,5413,5064,100.00,100.00,100.00,100.00,4.724,1.177,0.976,1.043
values_50,5874,5874,"['975732', '8853979', '128494', '1108233', '65468', '552714', '568964', '49.985', '12598898', '0', '3886064', '0', '161146', '0', '0', '4.147']",1261,5077,6131,5727,100.00,100.00,100.00,100.00,4.658,1.157,0.958,1.026
values_22,1623,1623,"['957480', '8845344', '126209', '1109161', '65105', '552197', '568387', '49.969', '12591384', '0', '3881813', '0', '160977', '0', '0', '4.147']",222,808,962,928,100.00,100.00,100.00,100.00,7.311,2.009,1.687,1.749
values_4,2194,2194,"['965188', '8853860', '127176', '1110242', '65191', '552729', '568918', '49.936', '12607310', '0', '3887383', '0', '161116', '0', '0', '4.145']",356,1364,1634,1558,100.00,100.00,100.00,100.00,6.163,1.609,1.343,1.408
values_32,5299,5299,"['970676', '8853965', '127862', '1110235', '65345', '552796', '568979', '49.927', '12615380', '0', '3890488', '0', '161051', '0', '0', '4.140']",1127,4494,5422,5073,100.00,100.00,100.00,100.00,4.702,1.179,0.977,1.045
values_77,5872,5872,"['975732', '8853979', '128494', '1108233', '65464', '552727', '568969', '49.986', '12598894', '0', '3886062', '0', '161122', '0', '0', '4.146']",1260,5076,6130,5726,100.00,100.00,100.00,100.00,4.660,1.157,0.958,1.025
values_91,5281,5281,"['970676', '8853965', '127862', '1110235', '65341', '552800', '568980', '49.927', '12615344', '0', '3890470', '0', '161051', '0', '0', '4.140']",1118,4485,5413,5064,100.00,100.00,100.00,100.00,4.724,1.177,0.976,1.043
values_42,2551,2551,"['965772', '8853876', '127249', '1110244', '65163', '552793', '568964', '49.936', '12608226', '0', '3887740', '0', '161122', '0', '0', '4.144']",451,1712,2052,1949,100.00,100.00,100.00,100.00,5.656,1.490,1.243,1.309
values_13,1890,1890,"['957936', '8845360', '126266', '1109163', '65117', '552190', '568387', '49.967', '12592072', '0', '3882080', '0', '160977', '0', '0', '4.147']",292,1075,1283,1230,100.00,100.00,100.00,100.00,6.473,1.758,1.473,1.537
values_41,857,857,"['955712', '8845306', '125988', '1109193', '64987', '552296', '568442', '49.975', '12589574', '0', '3881047', '0', '160943', '0', '0', '4.147']",16,37,41,23,100.00,100.00,83.33,100.00,53.562,23.162,20.902,37.261
values_55,2889,2889,"['966492', '8853886', '127339', '1110226', '65175', '552800', '568969', '49.935', '12609062', '0', '3888078', '0', '161059', '0', '0', '4.142']",540,2082,2500,2366,100.00,100.00,100.00,100.00,5.350,1.388,1.156,1.221
values_31,1216,1216,"['960864', '8845310', '126632', '1107146', '65091', '552200', '568383', '50.033', '12572300', '0', '3876406', '0', '160950', '0', '0', '4.152']",115,391,461,453,100.00,100.00,100.00,100.00,10.574,3.110,2.638,2.684
values_66,5880,5880,"['975732', '8853979', '128494', '1108233', '65455', '552723', '568966', '49.985', '12598910', '0', '3886070', '0', '161146', '0', '0', '4.147']",1264,5080,6134,5730,100.00,100.00,100.00,100.00,4.652,1.157,0.959,1.026
values_65,4702,4702,"['969748', '8853948', '127746', '1110232', '65322', '552797', '568976', '49.930', '12613824', '0', '3889891', '0', '161051', '0', '0', '4.140']",972,3918,4728,4430,100.00,100.00,100.00,100.00,4.837,1.200,0.995,1.061
values_62,1617,1617,"['957480', '8845344', '126209', '1109161', '65105', '552197', '568387', '49.969', '12591372', '0', '3881807', '0', '160977', '0', '0', '4.147']",219,805,959,925,100.00,100.00,100.00,100.00,7.384,2.009,1.686,1.748
values_21,2198,2198,"['965188', '8853860', '127176', '1110242', '65203', '552733', '568924', '49.938', '12607318', '0', '3887387', '0', '161116', '0', '0', '4.145']",358,1366,1636,1560,100.00,100.00,100.00,100.00,6.140,1.609,1.344,1.409
values_95,5285,5285,"['970676', '8853965', '127862', '1110235', '65350', '552791', '568981', '49.927', '12615352', '0', '3890474', '0', '161051', '0', '0', '4.140']",1120,4487,5415,5066,100.00,100.00,100.00,100.00,4.719,1.178,0.976,1.043
values_84,3710,3710,"['968004', '8853916', '127528', '1110228', '65240', '552788', '568965', '49.931', '12611220', '0', '3888899', '0', '161051', '0', '0', '4.141']",733,2921,3519,3311,100.00,100.00,100.00,100.00,5.061,1.270,1.054,1.121
values_58,3120,3120,"['966868', '8853892', '127386', '1110239', '65213', '552802', '568974', '49.936', '12609684', '0', '3888310', '0', '161073', '0', '0', '4.142']",590,2283,2743,2592,100.00,100.00,100.00,100.00,5.288,1.367,1.137,1.204
values_64,1067,1067,"['956472', '8845298', '126083', '1109157', '65087', '552196', '568379', '49.973', '12589942', '0', '3881257', '0', '160956', '0', '0', '4.147']",74,237,277,276,100.00,100.00,100.00,100.00,14.419,4.502,3.852,3.866
values_83,5277,5277,"['970676', '8853965', '127862', '1110235', '65327', '552792', '568978', '49.925', '12615336', '0', '3890466', '0', '161051', '0', '0', '4.140']",1116,4483,5411,5062,100.00,100.00,100.00,100.00,4.728,1.177,0.975,1.042
values_94,3527,3527,"['967612', '8853908', '127479', '1110241', '65246', '552794', '568976', '49.934', '12610760', '0', '3888717', '0', '161073', '0', '0', '4.142']",685,2701,3251,3063,100.00,100.00,100.00,100.00,5.149,1.306,1.085,1.151
