id,clockCycles,assemblyInstr,Cache,cInstr,cGimple,cReleaseSSA,cOptimized,LineExe,BranchesExe,OnceEe,CallExe,cc4cs,cc4ir,cc4ssa,cc4opt
values_11,4260,4260,"['962380', '8845014', '127010', '1107135', '65079', '552260', '568409', '50.022', '12583450', '0', '3879450', '0', '161908', '0', '0', '4.173']",916,3662,4416,2908,100.00,100.00,100.00,100.00,4.651,1.163,0.965,1.465
values_19,888,888,"['957468', '8845160', '126212', '1109050', '65080', '552203', '568377', '49.972', '12589118', '0', '3881078', '0', '160950', '0', '0', '4.147']",40,118,136,289,100.00,100.00,100.00,100.00,22.200,7.525,6.529,3.073
values_12,5038,5038,"['962696', '8845031', '127093', '1107155', '65111', '552269', '568420', '50.021', '12586254', '0', '3880227', '0', '162123', '0', '0', '4.178']",1126,4493,5421,3565,100.00,100.00,100.00,100.00,4.474,1.121,0.929,1.413
values_38,4247,4247,"['962380', '8845014', '127010', '1107135', '65068', '552264', '568412', '50.021', '12583420', '0', '3879437', '0', '161908', '0', '0', '4.173']",914,3660,4414,2906,100.00,100.00,100.00,100.00,4.647,1.160,0.962,1.461
values_81,1596,1596,"['960940', '8844912', '126674', '1108788', '65031', '552252', '568383', '49.964', '12590666', '0', '3881786', '0', '161146', '0', '0', '4.151']",193,691,821,3625,100.00,100.00,100.00,100.00,8.269,2.310,1.944,0.440
values_5,3242,3242,"['961840', '8844998', '126880', '1107142', '65058', '552264', '568408', '50.025', '12579774', '0', '3878431', '0', '161618', '0', '0', '4.167']",629,2480,2984,1976,100.00,100.00,100.00,100.00,5.154,1.307,1.086,1.641
values_40,4768,4768,"['962616', '8845022', '127068', '1107152', '65099', '552277', '568423', '50.022', '12585282', '0', '3879957', '0', '162066', '0', '0', '4.177']",1052,4205,5073,3337,100.00,100.00,100.00,100.00,4.532,1.134,0.940,1.429
values_70,1738,1738,"['961204', '8844878', '126713', '1107103', '65034', '552249', '568380', '50.030', '12574444', '0', '3876928', '0', '161166', '0', '0', '4.157']",220,806,960,4732,100.00,100.00,100.00,100.00,7.900,2.156,1.810,0.367
values_23,1596,1596,"['960940', '8844912', '126674', '1108788', '65031', '552252', '568383', '49.964', '12590666', '0', '3881786', '0', '161146', '0', '0', '4.151']",193,691,821,3625,100.00,100.00,100.00,100.00,8.269,2.310,1.944,0.440
values_72,1901,1901,"['962008', '8844840', '126820', '1108725', '65049', '552253', '568390', '49.962', '12591472', '0', '3882090', '0', '161214', '0', '0', '4.153']",258,939,1119,6056,100.00,100.00,100.00,100.00,7.368,2.024,1.699,0.314
values_79,1742,1742,"['961204', '8844878', '126713', '1107103', '65034', '552249', '568380', '50.030', '12574456', '0', '3876932', '0', '161166', '0', '0', '4.157']",218,804,958,4730,100.00,100.00,100.00,100.00,7.991,2.167,1.818,0.368
values_78,1391,1391,"['959832', '8844988', '126525', '1108883', '65030', '552261', '568403', '49.967', '12590226', '0', '3881580', '0', '161081', '0', '0', '4.150']",138,481,569,1956,100.00,100.00,100.00,100.00,10.080,2.892,2.445,0.711
values_87,2858,2858,"['961660', '8844990', '126836', '1107125', '65033', '552258', '568398', '50.025', '12578388', '0', '3878048', '0', '161498', '0', '0', '4.164']",538,2080,2498,1662,100.00,100.00,100.00,100.00,5.312,1.374,1.144,1.720
values_6,979,979,"['961596', '8844832', '126737', '1108718', '65034', '552249', '568381', '49.964', '12588078', '0', '3881169', '0', '160972', '0', '0', '4.148']",91,307,361,2713,100.00,100.00,100.00,100.00,10.758,3.189,2.712,0.361
values_68,3262,3262,"['961840', '8844998', '126880', '1107142', '65058', '552264', '568407', '50.025', '12579834', '0', '3878451', '0', '161618', '0', '0', '4.167']",639,2490,2994,1986,100.00,100.00,100.00,100.00,5.105,1.310,1.090,1.642
values_69,1919,1919,"['962008', '8844840', '126820', '1108725', '65051', '552251', '568387', '49.962', '12591526', '0', '3882108', '0', '161214', '0', '0', '4.153']",249,930,1110,6047,100.00,100.00,100.00,100.00,7.707,2.063,1.729,0.317
values_1,4248,4248,"['962380', '8845014', '127010', '1107135', '65073', '552266', '568416', '50.022', '12583414', '0', '3879438', '0', '161908', '0', '0', '4.173']",910,3656,4410,2902,100.00,100.00,100.00,100.00,4.668,1.162,0.963,1.464
values_45,1736,1736,"['961204', '8844878', '126713', '1107103', '65034', '552249', '568380', '50.030', '12574438', '0', '3876926', '0', '161166', '0', '0', '4.157']",221,807,961,4733,100.00,100.00,100.00,100.00,7.855,2.151,1.806,0.367
values_33,3407,3407,"['961276', '8845008', '126821', '1108854', '65043', '552264', '568410', '49.957', '12597050', '0', '3883597', '0', '161660', '0', '0', '4.163']",694,2710,3260,2160,100.00,100.00,100.00,100.00,4.909,1.257,1.045,1.577
values_15,2210,2210,"['963172', '8844762', '126980', '1108628', '65050', '552241', '568370', '49.958', '12592304', '0', '3882400', '0', '161292', '0', '0', '4.154']",322,1214,1452,9382,100.00,100.00,100.00,100.00,6.863,1.820,1.522,0.236
values_93,3850,3850,"['962152', '8845006', '126955', '1107146', '65075', '552277', '568419', '50.024', '12581970', '0', '3879039', '0', '161817', '0', '0', '4.172']",796,3163,3811,2515,100.00,100.00,100.00,100.00,4.837,1.217,1.010,1.531
values_24,2611,2611,"['961848', '8844686', '126831', '1107098', '65071', '552236', '568372', '50.028', '12577618', '0', '3877800', '0', '161395', '0', '0', '4.162']",399,1530,1834,13761,100.00,100.00,100.00,100.00,6.544,1.707,1.424,0.190
values_25,2202,2202,"['963172', '8844762', '126980', '1108628', '65050', '552241', '568370', '49.958', '12592280', '0', '3882392', '0', '161292', '0', '0', '4.154']",326,1218,1456,9386,100.00,100.00,100.00,100.00,6.755,1.808,1.512,0.235
values_26,4766,4766,"['962616', '8845022', '127068', '1107152', '65112', '552277', '568420', '50.023', '12585268', '0', '3879955', '0', '162055', '0', '0', '4.177']",1047,4200,5068,3332,100.00,100.00,100.00,100.00,4.552,1.135,0.940,1.430
values_48,2673,2673,"['961580', '8844982', '126816', '1107123', '65033', '552258', '568398', '50.026', '12577730', '0', '3877863', '0', '161466', '0', '0', '4.164']",486,1884,2262,1506,100.00,100.00,100.00,100.00,5.500,1.419,1.182,1.775
values_71,970,970,"['960112', '8844952', '126548', '1108851', '65026', '552265', '568401', '49.967', '12588536', '0', '3881159', '0', '160972', '0', '0', '4.148']",74,237,277,1459,100.00,100.00,100.00,100.00,13.108,4.093,3.502,0.665
values_76,868,868,"['956520', '8845230', '126092', '1109126', '65080', '552203', '568379', '49.974', '12589362', '0', '3881058', '0', '160928', '0', '0', '4.146']",27,73,83,93,100.00,100.00,100.00,100.00,32.148,11.890,10.458,9.333
values_7,972,972,"['960112', '8844952', '126548', '1108851', '65026', '552265', '568401', '49.967', '12588544', '0', '3881161', '0', '160972', '0', '0', '4.148']",72,235,275,1457,100.00,100.00,100.00,100.00,13.500,4.136,3.535,0.667
values_50,3251,3251,"['961840', '8844998', '126880', '1107142', '65045', '552262', '568409', '50.024', '12579804', '0', '3878440', '0', '161620', '0', '0', '4.167']",635,2486,2990,1982,100.00,100.00,100.00,100.00,5.120,1.308,1.087,1.640
values_22,1256,1256,"['959332', '8845026', '126458', '1108906', '65039', '552244', '568389', '49.968', '12589890', '0', '3881446', '0', '161051', '0', '0', '4.149']",115,391,461,1363,100.00,100.00,100.00,100.00,10.922,3.212,2.725,0.921
values_4,978,978,"['961596', '8844832', '126737', '1108718', '65034', '552249', '568381', '49.964', '12588078', '0', '3881168', '0', '160972', '0', '0', '4.148']",90,306,360,2712,100.00,100.00,100.00,100.00,10.867,3.196,2.717,0.361
values_32,2374,2374,"['963788', '8844724', '127065', '1108584', '65055', '552236', '568368', '49.957', '12592746', '0', '3882564', '0', '161334', '0', '0', '4.155']",368,1376,1646,11440,100.00,100.00,100.00,100.00,6.451,1.725,1.442,0.208
values_77,5245,5245,"['968896', '8853525', '127887', '1109930', '65223', '552733', '568921', '49.923', '12617926', '0', '3890434', '0', '162295', '0', '0', '4.172']",1200,4788,5778,3798,100.00,100.00,100.00,100.00,4.371,1.095,0.908,1.381
values_91,1509,1509,"['960976', '8844950', '126673', '1107124', '65029', '552262', '568401', '50.032', '12573630', '0', '3876698', '0', '161116', '0', '0', '4.156']",161,578,686,2701,100.00,100.00,100.00,100.00,9.373,2.611,2.200,0.559
values_42,4248,4248,"['962380', '8845014', '127010', '1107135', '65069', '552263', '568407', '50.021', '12583412', '0', '3879438', '0', '161908', '0', '0', '4.173']",909,3655,4409,2901,100.00,100.00,100.00,100.00,4.673,1.162,0.963,1.464
values_13,973,973,"['961596', '8844832', '126737', '1108718', '65034', '552249', '568381', '49.964', '12588058', '0', '3881163', '0', '160972', '0', '0', '4.148']",95,311,365,2717,100.00,100.00,100.00,100.00,10.242,3.129,2.666,0.358
