id,clockCycles,assemblyInstr,cacheHit,cacheHitInstr,cacheHitData,MOPS,MIPS,MFLOPS,cInstr,cGimple,cReleaseSSA,cOptimized,LineExe,BranchesExe,OnceEe,CallExe,cc4cs,cc4ir,cc4ssa,cc4opt
values_11,9416,2777,83.4,91.7,12.0,14.75,13.98,0.76,319,4229,2465,3769,100.00,100.00,83.33,100.00,29.517,2.227,3.820,2.498
values_19,19459,6460,86.8,96.9,4.1,16.60,15.65,0.95,783,11277,6785,14943,100.00,100.00,83.33,100.00,24.852,1.726,2.868,1.302
values_12,11244,3292,84.0,93.5,8.6,14.64,13.84,0.80,395,5491,3281,5368,100.00,100.00,83.33,100.00,28.466,2.048,3.427,2.095
values_38,19774,6550,86.8,96.9,4.6,16.56,15.58,0.98,823,11627,6905,15038,100.00,100.00,83.33,100.00,24.027,1.701,2.864,1.315
values_81,42240,14059,87.2,98.6,1.6,16.64,15.56,1.08,1891,27693,16643,55107,100.00,100.00,83.33,100.00,22.337,1.525,2.538,0.767
values_5,7672,2305,83.6,90.7,15.5,15.02,14.40,0.63,219,2857,1673,2127,100.00,100.00,83.33,100.00,35.032,2.685,4.586,3.607
values_40,4258,1381,83.8,85.7,47.3,16.22,16.09,0.13,35,295,155,146,100.00,100.00,83.33,100.00,121.657,14.434,27.471,29.164
values_70,38104,12627,87.1,98.4,1.8,16.57,15.47,1.10,1743,24951,14795,45061,100.00,100.00,83.33,100.00,21.861,1.527,2.575,0.846
values_23,30576,10176,87.1,98.0,2.3,16.64,15.61,1.04,1323,19293,11609,33297,100.00,100.00,83.33,100.00,23.111,1.585,2.634,0.918
values_72,11244,3292,84.0,93.5,8.6,14.64,13.84,0.80,395,5491,3281,5368,100.00,100.00,83.33,100.00,28.466,2.048,3.427,2.095
values_79,15068,4290,83.7,94.6,5.7,14.24,13.34,0.90,583,8219,4907,9182,100.00,100.00,83.33,100.00,25.846,1.833,3.071,1.641
values_78,10254,3010,83.8,92.8,9.8,14.68,13.92,0.76,343,4725,2819,4033,100.00,100.00,83.33,100.00,29.895,2.170,3.637,2.543
values_87,13961,3976,83.5,94.0,7.0,14.24,13.32,0.92,551,7553,4433,8735,100.00,100.00,83.33,100.00,25.338,1.848,3.149,1.598
values_6,26451,8808,87.0,97.8,2.7,16.65,15.64,1.01,1118,16303,9827,26058,100.00,100.00,66.67,100.00,23.659,1.622,2.692,1.015
values_68,30730,10212,87.1,98.0,2.3,16.62,15.57,1.04,1339,19433,11657,33335,100.00,100.00,83.33,100.00,22.950,1.581,2.636,0.922
values_69,4674,1448,82.8,85.2,41.4,15.49,15.28,0.21,55,531,281,724,100.00,100.00,83.33,100.00,84.982,8.802,16.633,6.456
values_1,28581,9505,87.0,97.9,2.5,16.63,15.60,1.03,1231,17877,10739,28401,100.00,100.00,83.33,100.00,23.218,1.599,2.661,1.006
values_45,5315,1612,82.5,86.2,30.2,15.16,14.86,0.30,83,973,569,2869,100.00,100.00,83.33,100.00,64.036,5.462,9.341,1.853
values_33,11369,3310,83.9,93.4,9.0,14.56,13.73,0.83,411,5631,3329,5638,100.00,100.00,83.33,100.00,27.662,2.019,3.415,2.016
values_15,7546,2287,83.8,90.9,14.9,15.15,14.57,0.58,203,2717,1625,1937,100.00,100.00,83.33,100.00,37.172,2.777,4.644,3.896
values_93,16368,4653,83.8,95.0,5.0,14.21,13.30,0.92,643,9155,5489,11296,100.00,100.00,83.33,100.00,25.456,1.788,2.982,1.449
values_24,35376,11746,87.1,98.3,1.9,16.60,15.53,1.08,1583,22865,13649,41849,100.00,100.00,83.33,100.00,22.347,1.547,2.592,0.845
values_25,34869,11620,87.2,98.3,2.0,16.66,15.61,1.05,1526,22367,13475,41710,100.00,100.00,66.67,100.00,22.850,1.559,2.588,0.836
values_26,21103,7009,86.8,97.1,3.7,16.61,15.64,0.97,863,12463,7499,16541,100.00,100.00,83.33,100.00,24.453,1.693,2.814,1.276
values_48,18088,5993,86.7,96.6,4.8,16.57,15.62,0.95,731,10361,6179,12167,100.00,100.00,83.33,100.00,24.744,1.746,2.927,1.487
values_71,9167,2741,83.6,92.0,11.0,14.95,14.25,0.70,287,3949,2369,3309,100.00,100.00,83.33,100.00,31.941,2.321,3.870,2.770
