id,clockCycles,assemblyInstr,cacheHit,cacheHitInstr,cacheHitData,MOPS,MIPS,MFLOPS,cInstr,cGimple,cReleaseSSA,cOptimized,LineExe,BranchesExe,OnceEe,CallExe,cc4cs,cc4ir,cc4ssa,cc4opt
values_11,9951,2908,80.5,92.2,7.3,14.61,13.59,1.02,443,6247,3755,11483,100.00,100.00,83.33,100.00,22.463,1.593,2.650,0.867
values_19,18920,6472,82.9,96.8,2.8,17.10,15.69,1.42,1127,16381,9857,3357,100.00,100.00,83.33,100.00,16.788,1.155,1.919,5.636
values_12,17336,5806,83.2,96.4,4.4,16.75,15.34,1.41,1027,14409,8489,2997,100.00,100.00,83.33,100.00,16.880,1.203,2.042,5.784
values_38,17929,6144,83.0,96.6,3.5,17.13,15.70,1.44,1083,15435,9179,3189,100.00,100.00,83.33,100.00,16.555,1.162,1.953,5.622
values_81,20627,6944,83.0,97.1,2.6,16.83,15.42,1.41,1223,17807,10715,3641,100.00,100.00,83.33,100.00,16.866,1.158,1.925,5.665
values_5,33316,11263,83.0,98.2,1.4,16.90,15.36,1.54,2126,31297,18845,6358,100.00,100.00,66.67,100.00,15.671,1.065,1.768,5.240
values_40,12771,3652,80.1,93.6,5.5,14.30,13.11,1.19,651,9225,5513,20627,100.00,100.00,83.33,100.00,19.618,1.384,2.317,0.619
values_70,13483,4514,83.1,95.4,4.9,16.74,15.50,1.24,715,10221,6131,2109,100.00,100.00,83.33,100.00,18.857,1.319,2.199,6.393
values_23,4455,1417,82.5,85.5,35.9,15.90,15.69,0.21,54,609,365,2743,100.00,100.00,66.67,100.00,82.500,7.315,12.205,1.624
values_72,30134,10130,82.9,98.0,1.7,16.81,15.28,1.53,1915,27903,16715,5685,100.00,100.00,83.33,100.00,15.736,1.080,1.803,5.301
values_79,5587,1591,80.7,83.9,39.2,14.24,13.52,0.72,186,1753,788,5606,100.00,100.00,83.33,100.00,30.038,3.187,7.090,0.997
values_78,5477,1621,80.2,85.0,25.2,14.80,14.33,0.47,123,1459,827,13232,100.00,100.00,83.33,100.00,44.528,3.754,6.623,0.414
values_87,26599,8944,82.9,97.7,1.9,16.81,15.33,1.49,1647,24111,14507,4913,100.00,100.00,83.33,100.00,16.150,1.103,1.834,5.414
values_6,23643,7960,83.0,97.4,2.4,16.83,15.36,1.47,1451,21049,12611,4311,100.00,100.00,83.33,100.00,16.294,1.123,1.875,5.484
values_68,12708,3644,80.2,93.7,5.3,14.34,13.16,1.18,643,9155,5489,20471,100.00,100.00,83.33,100.00,19.764,1.388,2.315,0.621
values_69,4001,1327,84.2,85.9,48.5,16.58,16.50,0.09,26,217,125,217,100.00,100.00,66.67,100.00,153.885,18.438,32.008,18.438
values_1,4001,1327,84.2,85.9,48.5,16.58,16.50,0.09,26,217,125,217,100.00,100.00,66.67,100.00,153.885,18.438,32.008,18.438
values_45,17542,6018,82.9,96.6,2.9,17.15,15.77,1.39,1026,14937,9005,3058,100.00,100.00,66.67,100.00,17.097,1.174,1.948,5.736
values_33,13356,4478,83.1,95.5,4.7,16.76,15.54,1.22,698,10073,6077,2074,100.00,100.00,66.67,100.00,19.135,1.326,2.198,6.440
values_15,9191,2700,80.7,91.7,8.3,14.69,13.73,0.96,387,5421,3257,9247,100.00,100.00,83.33,100.00,23.749,1.695,2.822,0.994
values_93,28217,9495,82.9,97.8,1.8,16.82,15.32,1.50,1763,25837,15545,5265,100.00,100.00,83.33,100.00,16.005,1.092,1.815,5.359
values_24,6817,2044,81.4,89.0,16.1,14.99,14.20,0.79,243,3067,1745,3623,100.00,100.00,83.33,100.00,28.053,2.223,3.907,1.882
values_25,13431,4496,83.1,95.4,4.8,16.74,15.51,1.23,707,10151,6107,2093,100.00,100.00,83.33,100.00,18.997,1.323,2.199,6.417
values_26,4702,1457,82.0,85.0,36.6,15.49,15.16,0.33,79,827,443,3296,100.00,100.00,83.33,100.00,59.519,5.686,10.614,1.427
values_48,4757,1488,82.1,85.9,30.0,15.64,15.35,0.29,74,895,539,6526,100.00,100.00,66.67,100.00,64.284,5.315,8.826,0.729
values_71,4757,1488,82.1,85.9,30.0,15.64,15.35,0.29,74,895,539,6526,100.00,100.00,66.67,100.00,64.284,5.315,8.826,0.729
values_76,18832,6454,82.9,96.8,2.7,17.14,15.72,1.41,1118,16303,9827,3334,100.00,100.00,66.67,100.00,16.844,1.155,1.916,5.648
