inputName,text,data,bss
values_11,14768,1768,1160
values_19,11696,4464,2496
values_12,11696,3752,2144
values_38,11696,4104,2312
values_81,11696,4848,2680
values_5,11712,8464,4472
values_40,15968,2520,1536
values_70,11696,2808,1672
values_23,12720,288,440
values_72,11696,7464,3976
values_79,12720,288,440
values_78,12912,456,520
values_87,11696,6528,3512
values_6,11696,5656,3080
values_68,15968,2520,1536
values_69,11856,184,392
values_1,11856,184,392
values_45,11696,4104,2312
values_33,11696,2808,1672
values_15,14416,1544,1056
values_93,11696,6984,3744
values_24,13184,824,704
values_25,11696,2808,1672
values_26,12720,288,440
values_48,13376,360,480
values_71,13376,360,480
values_76,11696,4464,2496
values_7,12912,456,520
values_50,11696,4104,2312
values_22,11696,4464,2496
values_4,14768,1768,1160
values_32,11696,6080,3296
values_77,11696,6984,3744
values_91,13456,984,776
values_42,11696,3104,1824
values_13,13456,984,776
values_41,11696,7952,4224
values_55,12192,224,416
values_31,11696,7952,4224
values_66,12720,288,440
values_65,13328,560,576
values_62,11696,3424,1976
values_21,11696,2808,1672
values_95,15968,2520,1536
values_84,11696,4848,2680
values_58,13456,984,776
values_64,14416,1544,1056
values_83,14416,1544,1056
values_94,11696,3104,1824
values_0,14768,1768,1160
values_99,14416,1544,1056
values_96,11712,8464,4472
values_67,13760,1152,864
values_61,14416,1544,1056
values_43,11696,4848,2680
values_2,12192,224,416
values_54,11696,5656,3080
values_30,11696,6528,3512
values_59,11696,3424,1976
values_85,11696,4848,2680
values_74,11696,6528,3512
values_90,11696,4848,2680
values_18,11696,3752,2144
values_52,15152,2000,1280
values_44,11696,7464,3976
values_17,13792,688,632
values_36,11696,7952,4224
values_49,12720,288,440
values_86,11696,3104,1824
values_37,11696,4848,2680
values_56,13792,688,632
values_63,11696,4464,2496
values_35,11696,3104,1824
values_97,13184,824,704
values_75,11696,7952,4224
values_57,15152,2000,1280
values_88,13184,824,704
values_10,15152,2000,1280
values_53,13328,560,576
values_8,12912,456,520
values_39,11696,2808,1672
values_47,13328,560,576
values_60,11696,7464,3976
values_89,12192,224,416
values_51,12720,288,440
values_14,14416,1544,1056
values_28,11696,7952,4224
values_16,11696,4848,2680
values_34,11712,8464,4472
values_82,11696,4464,2496
values_46,14768,1768,1160
values_27,15968,2520,1536
values_20,14768,1768,1160
values_9,11696,2808,1672
values_92,15968,2520,1536
values_3,11696,6528,3512
values_98,13792,688,632
values_29,11696,5656,3080
values_80,11696,4848,2680
values_73,11696,4848,2680
