id,clockCycles,assemblyInstr,cacheHit,cacheHitInstr,cacheHitData,MOPS,MIPS,MFLOPS,cInstr,cGimple,cReleaseSSA,cOptimized,LineExe,BranchesExe,OnceEe,CallExe,cc4cs,cc4ir,cc4ssa,cc4opt
values_11,18672,10054,97.3,97.7,94.5,26.92,25.87,1.06,942,8859,6720,6758,100.00,85.71,71.43,100.00,19.822,2.108,2.779,2.763
values_19,13326,6616,96.0,96.6,92.8,24.82,23.87,0.95,622,5547,4220,4250,100.00,85.71,71.43,100.00,21.424,2.402,3.158,3.136
values_12,13904,6722,96.1,96.5,93.5,24.17,23.15,1.02,696,6303,4791,4823,100.00,85.71,71.43,100.00,19.977,2.206,2.902,2.883
values_38,35608,19865,98.5,98.8,96.8,27.89,26.57,1.32,2152,21927,16565,16625,100.00,85.71,71.43,100.00,16.546,1.624,2.150,2.142
values_81,6013,2320,89.6,90.2,83.3,19.29,18.97,0.32,136,903,701,713,100.00,85.71,71.43,100.00,44.213,6.659,8.578,8.433
values_5,35860,20000,98.5,98.9,96.7,27.89,26.56,1.32,2152,21927,16565,16625,100.00,85.71,71.43,100.00,16.664,1.635,2.165,2.157
values_40,7075,3039,92.6,93.2,88.5,21.48,20.86,0.62,262,2019,1550,1568,100.00,85.71,71.43,100.00,27.004,3.504,4.565,4.512
values_70,23030,12748,97.8,98.2,95.4,27.68,26.55,1.13,1224,11847,8973,9017,100.00,85.71,71.43,100.00,18.815,1.944,2.567,2.554
values_23,10333,4856,94.8,95.3,91.5,23.50,22.71,0.78,424,3567,2723,2747,100.00,85.71,71.43,100.00,24.370,2.897,3.795,3.762
values_72,8922,3983,93.5,94.2,88.7,22.32,21.63,0.69,312,2487,1905,1925,100.00,85.71,71.43,100.00,28.596,3.587,4.683,4.635
values_79,22974,12718,97.8,98.2,95.4,27.68,26.55,1.13,1224,11847,8973,9017,100.00,85.71,71.43,100.00,18.770,1.939,2.560,2.548
values_78,10305,4841,94.8,95.3,91.6,23.49,22.71,0.78,424,3567,2723,2747,100.00,85.71,71.43,100.00,24.304,2.889,3.784,3.751
values_87,18699,10068,97.3,97.7,94.4,26.92,25.87,1.06,942,8859,6720,6758,100.00,85.71,71.43,100.00,19.850,2.111,2.783,2.767
values_6,31972,18248,98.3,98.7,96.0,28.54,27.32,1.22,1774,17787,13448,13502,100.00,85.71,71.43,100.00,18.023,1.797,2.377,2.368
values_68,38104,21166,98.3,98.9,95.2,27.77,26.44,1.33,2286,23403,17676,17738,100.00,85.71,71.43,100.00,16.668,1.628,2.156,2.148
values_69,31740,18120,98.3,98.7,96.2,28.54,27.33,1.22,1774,17787,13448,13502,100.00,85.71,71.43,100.00,17.892,1.784,2.360,2.351
values_1,11594,5715,95.5,96.0,91.6,24.65,23.82,0.82,486,4179,3186,3212,100.00,85.71,71.43,100.00,23.856,2.774,3.639,3.610
values_45,18656,10040,97.3,97.7,94.5,26.91,25.85,1.05,942,8859,6720,6758,100.00,85.71,71.43,100.00,19.805,2.106,2.776,2.761
values_33,40185,22467,98.4,99.1,95.4,27.95,26.53,1.43,2566,26499,20006,20072,100.00,85.71,71.43,100.00,15.661,1.516,2.009,2.002
values_15,16730,8595,96.8,97.3,94.1,25.69,24.62,1.06,856,7959,6041,6077,100.00,85.71,71.43,100.00,19.544,2.102,2.769,2.753
values_93,4949,1740,86.3,87.5,71.8,17.58,17.38,0.20,58,363,284,290,100.00,85.71,71.43,100.00,85.328,13.634,17.426,17.066
values_24,22000,12049,97.6,98.1,94.3,27.38,26.26,1.12,1126,10803,8186,8228,100.00,85.71,71.43,100.00,19.538,2.036,2.688,2.674
values_25,4400,1482,84.9,86.0,67.7,16.84,16.75,0.09,46,219,176,182,100.00,85.71,64.29,100.00,95.652,20.091,25.000,24.176
values_26,36056,20105,98.5,98.9,96.5,27.88,26.55,1.33,2152,21927,16565,16625,100.00,85.71,71.43,100.00,16.755,1.644,2.177,2.169
values_48,36115,20621,98.3,98.9,94.8,28.55,27.30,1.25,2022,20499,15490,15548,100.00,85.71,71.43,100.00,17.861,1.762,2.332,2.323
values_71,37685,20228,98.5,98.8,96.8,26.84,25.42,1.42,2424,24927,18823,18887,100.00,85.71,71.43,100.00,15.547,1.512,2.002,1.995
values_76,4204,1386,83.9,85.2,59.5,16.48,16.44,0.05,26,111,91,95,100.00,85.71,64.29,75.00,161.692,37.874,46.198,44.253
values_7,28097,15847,98.1,98.6,95.8,28.20,27.01,1.19,1542,15267,11550,11600,100.00,85.71,71.43,100.00,18.221,1.840,2.433,2.422
