id,clockCycles,assemblyInstr,cacheHit,cacheHitInstr,cacheHitData,MOPS,MIPS,MFLOPS,cInstr,cGimple,cReleaseSSA,cOptimized,LineExe,BranchesExe,OnceEe,CallExe,cc4cs,cc4ir,cc4ssa,cc4opt
values_11,13294,6174,94.7,95.9,65.8,23.22,23.03,0.19,813,3090,2673,2567,100.00,100.00,100.00,100.00,16.352,4.302,4.973,5.179
values_19,15441,7217,95.4,96.6,68.8,23.37,23.16,0.21,993,3841,3324,3180,100.00,100.00,100.00,100.00,15.550,4.020,4.645,4.856
values_12,17176,8113,95.8,96.9,70.4,23.62,23.40,0.22,1113,4342,3758,3610,100.00,100.00,100.00,100.00,15.432,3.956,4.571,4.758
values_38,14824,6976,95.2,96.4,67.3,23.53,23.34,0.19,933,3563,3086,2956,100.00,100.00,100.00,100.00,15.889,4.161,4.804,5.015
values_81,6558,2572,89.8,91.1,61.3,19.61,19.50,0.11,321,1127,974,936,100.00,100.00,100.00,100.00,20.430,5.819,6.733,7.006
values_5,11669,5369,94.3,95.3,68.6,23.01,22.83,0.18,699,2632,2276,2186,100.00,100.00,100.00,100.00,16.694,4.434,5.127,5.338
values_40,19936,9598,96.4,97.4,73.5,24.07,23.85,0.22,1293,5077,4395,4205,100.00,100.00,100.00,100.00,15.418,3.927,4.536,4.741
values_70,8808,3634,92.1,93.4,66.7,20.63,20.46,0.16,537,1973,1708,1640,100.00,100.00,100.00,100.00,16.402,4.464,5.157,5.371
values_23,4671,1570,84.6,85.9,52.2,16.81,16.77,0.03,87,269,233,229,100.00,100.00,100.00,100.00,53.690,17.364,20.047,20.397
values_72,15416,7200,95.4,96.5,68.7,23.35,23.14,0.21,993,3832,3317,3171,100.00,100.00,100.00,100.00,15.525,4.023,4.648,4.862
values_79,22569,10787,96.7,97.7,74.0,23.90,23.67,0.23,1473,5849,5060,4850,100.00,100.00,100.00,100.00,15.322,3.859,4.460,4.653
values_78,15466,7232,95.4,96.5,68.8,23.38,23.17,0.21,993,3841,3324,3186,100.00,100.00,100.00,100.00,15.575,4.027,4.653,4.854
values_87,6566,2579,89.8,91.1,61.3,19.64,19.52,0.11,321,1127,974,940,100.00,100.00,100.00,100.00,20.455,5.826,6.741,6.985
