id,clockCycles,assemblyInstr,cInstr,cGimple,cReleaseSSA,cOptimized,LineExe,BranchesExe,OnceEe,CallExe,cc4cs,cc4ir,cc4ssa,cc4opt
values_11,34846,24597,4693,20632,11710,12938,100.00,94.44,83.33,60.00,7.425,1.689,2.976,2.693
values_19,34728,24503,4615,20260,11621,12787,100.00,94.44,83.33,60.00,7.525,1.714,2.988,2.716
values_12,34732,24489,4638,20364,11664,12844,100.00,94.44,83.33,60.00,7.489,1.706,2.978,2.704
values_38,47010,32740,6472,28556,16257,17874,100.00,94.44,83.33,60.00,7.264,1.646,2.892,2.630
values_81,16992,11791,2353,10181,5917,6549,100.00,94.44,83.33,60.00,7.221,1.669,2.872,2.595
values_5,44146,30769,6053,26620,15226,16730,100.00,94.44,83.33,60.00,7.293,1.658,2.899,2.639
values_40,44196,30803,6047,26631,15230,16728,100.00,94.44,83.33,60.00,7.309,1.660,2.902,2.642
values_70,5641,3838,1140,4813,2873,21435,100.00,94.44,83.33,60.00,4.948,1.172,1.963,0.263
values_23,2236,1450,467,1884,1173,5048,100.00,94.44,83.33,60.00,4.788,1.187,1.906,0.443
values_72,5656,3849,1160,4922,2888,21732,100.00,94.44,83.33,60.00,4.876,1.149,1.958,0.260
values_79,5698,3871,1142,4877,2891,21356,100.00,94.44,83.33,60.00,4.989,1.168,1.971,0.267
values_78,5655,3848,1158,4911,2887,21707,100.00,94.44,83.33,60.00,4.883,1.151,1.959,0.261
values_87,17042,11831,2334,10134,5901,6517,100.00,94.44,83.33,60.00,7.302,1.682,2.888,2.615
values_6,44304,30867,6093,26893,15309,16839,100.00,94.44,83.33,60.00,7.271,1.647,2.894,2.631
values_68,32205,22715,4301,18837,10807,11906,100.00,94.44,83.33,60.00,7.488,1.710,2.980,2.705
values_69,32223,22717,4263,18718,10783,11852,100.00,94.44,83.33,60.00,7.559,1.721,2.988,2.719
values_1,44067,30708,5984,26296,15149,16597,100.00,94.44,83.33,60.00,7.364,1.676,2.909,2.655
values_45,44124,30763,6023,26479,15181,16663,100.00,94.44,83.33,60.00,7.326,1.666,2.907,2.648
values_33,46906,32662,6407,28231,16179,17744,100.00,94.44,83.33,60.00,7.321,1.662,2.899,2.643
values_15,34608,24393,4616,20195,11629,12789,100.00,94.44,83.33,60.00,7.497,1.714,2.976,2.706
values_93,23124,16286,3077,13341,7766,8555,100.00,94.44,83.33,60.00,7.515,1.733,2.978,2.703
values_24,2239,1447,478,1933,1191,5236,100.00,94.44,83.33,60.00,4.684,1.158,1.880,0.428
values_25,2213,1435,464,1847,1165,5010,100.00,94.44,83.33,60.00,4.769,1.198,1.900,0.442
values_26,2228,1440,485,1952,1192,5287,100.00,94.44,83.33,60.00,4.594,1.141,1.869,0.421
values_48,44091,30722,6029,26483,15202,16682,100.00,94.44,83.33,60.00,7.313,1.665,2.900,2.643
values_71,5613,3824,1159,4879,2875,21796,100.00,94.44,83.33,60.00,4.843,1.150,1.952,0.258
values_76,5616,3831,1131,4759,2845,21117,100.00,94.44,83.33,60.00,4.966,1.180,1.974,0.266
values_7,44256,30833,6096,26869,15304,16836,100.00,94.44,83.33,60.00,7.260,1.647,2.892,2.629
values_50,486,248,149,505,359,672,100.00,94.44,83.33,60.00,3.262,0.962,1.354,0.723
values_22,2281,1471,487,2015,1215,5400,100.00,94.44,80.56,60.00,4.684,1.132,1.877,0.422
values_4,44182,30757,6023,26561,15245,16719,100.00,94.44,83.33,60.00,7.336,1.663,2.898,2.643
values_32,46969,32693,6473,28535,16272,17883,100.00,94.44,83.33,60.00,7.256,1.646,2.886,2.626
values_77,5600,3819,1141,4788,2853,21408,100.00,94.44,83.33,60.00,4.908,1.170,1.963,0.262
values_91,23304,16416,3166,13803,7886,8743,100.00,94.44,83.33,60.00,7.361,1.688,2.955,2.665
values_42,44460,30957,6116,27111,15382,16926,100.00,94.44,83.33,60.00,7.269,1.640,2.890,2.627
values_13,34694,24437,4627,20315,11674,12840,100.00,94.44,83.33,60.00,7.498,1.708,2.972,2.702
values_41,44157,30778,6002,26428,15175,16639,100.00,94.44,83.33,60.00,7.357,1.671,2.910,2.654
values_55,511,263,156,557,377,713,100.00,94.44,80.56,60.00,3.276,0.917,1.355,0.717
values_31,47036,32736,6439,28459,16254,17839,100.00,94.44,83.33,60.00,7.305,1.653,2.894,2.637
values_66,32282,22742,4302,18921,10852,11947,100.00,94.44,83.33,60.00,7.504,1.706,2.975,2.702
values_65,32141,22639,4273,18716,10801,11874,100.00,94.44,83.33,60.00,7.522,1.717,2.976,2.707
values_62,32307,22789,4345,19075,10868,12001,100.00,94.44,83.33,60.00,7.435,1.694,2.973,2.692
values_21,2246,1454,469,1906,1183,5130,100.00,94.44,83.33,60.00,4.789,1.178,1.899,0.438
values_95,23209,16333,3090,13458,7809,8604,100.00,94.44,83.33,60.00,7.511,1.725,2.972,2.697
values_84,16978,11785,2339,10114,5896,6518,100.00,94.44,83.33,60.00,7.259,1.679,2.880,2.605
values_58,515,267,159,573,381,716,100.00,94.44,77.78,60.00,3.239,0.899,1.352,0.719
values_64,32065,22623,4241,18505,10713,11768,100.00,94.44,83.33,60.00,7.561,1.733,2.993,2.725
values_83,17009,11816,2359,10203,5911,6549,100.00,94.44,83.33,60.00,7.210,1.667,2.878,2.597
