inputName,text,data,bss
values_11,1678,324,92
values_19,1676,324,92
values_12,1678,324,92
values_38,1672,64,52
values_81,1668,1600,180
values_5,1702,64,52
values_40,1678,196,76
values_70,1678,324,92
values_23,1686,256,84
values_72,1678,324,92
values_79,1676,324,92
values_78,1676,324,92
values_87,1668,1600,180
values_6,1672,64,52
values_68,1674,400,100
values_69,1674,400,100
values_1,1674,64,52
values_45,1676,196,76
values_33,1674,64,52
values_15,1676,324,92
values_93,1674,784,132
values_24,1686,256,84
values_25,1684,256,84
values_26,1684,256,84
values_48,1676,196,76
values_71,1678,324,92
values_76,1676,324,92
values_7,1674,64,52
values_50,1668,1444,172
values_22,1686,256,84
values_4,1674,64,52
values_32,1674,64,52
values_77,1678,324,92
values_91,1674,784,132
values_42,1678,196,76
values_13,1678,324,92
values_41,1678,196,76
values_55,1666,1444,172
values_31,1674,64,52
values_66,1674,400,100
values_65,1674,400,100
values_62,1676,400,100
values_21,1686,256,84
values_95,1672,784,132
values_84,1668,1600,180
values_58,1666,1444,172
values_64,1676,400,100
values_83,1668,1600,180
values_94,1674,784,132
values_0,1674,64,52
values_99,1672,784,132
values_96,1672,784,132
values_67,1676,400,100
values_61,1676,400,100
values_43,1678,196,76
values_2,1674,64,52
values_54,1668,1444,172
values_30,1674,64,52
values_59,1666,1444,172
values_85,1666,1600,180
values_74,1678,324,92
values_90,1674,784,132
values_18,1676,324,92
values_52,1668,1444,172
values_44,1678,196,76
values_17,1678,324,92
values_36,1672,64,52
values_49,1676,196,76
values_86,1666,1600,180
values_37,1674,64,52
values_56,1666,1444,172
values_63,1676,400,100
values_35,1702,64,52
values_97,1674,784,132
values_75,1676,324,92
values_57,1668,1444,172
values_88,1666,1600,180
values_10,1678,324,92
values_53,1668,1444,172
values_8,1672,64,52
values_39,1702,64,52
values_47,1678,196,76
values_60,1676,400,100
values_89,1666,1600,180
values_51,1668,1444,172
values_14,1678,324,92
values_28,1684,256,84
values_16,1676,324,92
values_34,1674,64,52
values_82,1668,1600,180
values_46,1676,196,76
values_27,1686,256,84
values_20,1686,256,84
values_9,1702,64,52
values_92,1674,784,132
values_3,1674,64,52
values_98,1672,784,132
values_29,1718,256,84
values_80,1668,1600,180
values_73,1678,324,92
