id,clockCycles,assemblyInstr,cacheHit,cacheHitInstr,cacheHitData,MOPS,MIPS,MFLOPS,cInstr,cGimple,cReleaseSSA,cOptimized,LineExe,BranchesExe,OnceEe,CallExe,cc4cs,cc4ir,cc4ssa,cc4opt
values_11,5466,1784,84.1,85.9,56.6,16.32,16.32,0.00,284,1109,799,1761,100.00,94.44,83.33,60.00,19.246,4.929,6.841,3.104
values_19,5445,1776,84.1,85.9,55.1,16.31,16.31,0.00,290,1120,796,1793,100.00,94.44,83.33,60.00,18.776,4.862,6.840,3.037
values_12,5427,1777,84.1,86.0,55.5,16.37,16.37,0.00,285,1095,790,1747,100.00,94.44,83.33,60.00,19.042,4.956,6.870,3.106
values_38,33088,15984,94.5,98.5,49.4,24.15,24.15,0.00,5328,23527,13834,11332,100.00,94.44,83.33,60.00,6.210,1.406,2.392,2.920
values_81,22476,10598,94.0,97.8,50.8,23.58,23.58,0.00,3362,14652,8822,7296,100.00,94.44,83.33,60.00,6.685,1.534,2.548,3.081
values_5,37201,18053,94.5,98.7,48.6,24.26,24.26,0.00,5998,26411,15611,12682,100.00,94.44,83.33,60.00,6.202,1.409,2.383,2.933
values_40,10580,3956,88.3,91.8,51.5,18.70,18.70,0.00,1302,5514,3469,17589,100.00,94.44,83.33,60.00,8.126,1.919,3.050,0.602
values_70,14410,5643,89.6,93.7,51.4,19.58,19.58,0.00,2114,9215,5618,37355,100.00,94.44,83.33,60.00,6.816,1.564,2.565,0.386
values_23,6393,2151,85.3,87.5,58.0,16.82,16.82,0.00,473,1928,1304,3949,100.00,94.44,83.33,60.00,13.516,3.316,4.903,1.619
values_72,14409,5638,89.5,93.7,49.7,19.56,19.56,0.00,2175,9520,5702,39151,100.00,94.44,83.33,60.00,6.625,1.514,2.527,0.368
values_79,14432,5651,89.7,93.7,52.2,19.58,19.58,0.00,2112,9196,5621,37282,100.00,94.44,83.33,60.00,6.833,1.569,2.568,0.387
values_78,14436,5645,89.6,93.7,51.5,19.55,19.55,0.00,2084,9090,5582,36456,100.00,94.44,83.33,60.00,6.927,1.588,2.586,0.396
values_87,22561,10591,93.8,97.8,48.5,23.47,23.47,0.00,3411,14947,8897,7403,100.00,94.44,83.33,60.00,6.614,1.509,2.536,3.048
values_6,37326,18075,94.5,98.7,47.7,24.21,24.21,0.00,6032,26704,15704,12769,100.00,94.44,83.33,60.00,6.188,1.398,2.377,2.923
values_68,27582,13195,94.2,98.2,50.0,23.92,23.92,0.00,4276,18863,11230,9186,100.00,94.44,83.33,60.00,6.450,1.462,2.456,3.003
values_69,27467,13150,94.3,98.2,50.3,23.94,23.94,0.00,4213,18395,11067,9047,100.00,94.44,83.33,60.00,6.520,1.493,2.482,3.036
values_1,37312,18087,94.5,98.7,48.3,24.24,24.24,0.00,6072,26911,15770,12844,100.00,94.44,83.33,60.00,6.145,1.386,2.366,2.905
values_45,10587,3961,88.4,91.7,53.2,18.71,18.71,0.00,1339,5759,3538,18417,100.00,94.44,83.33,60.00,7.907,1.838,2.992,0.575
values_33,33137,16008,94.5,98.5,49.2,24.15,24.15,0.00,5300,23422,13825,11277,100.00,94.44,83.33,60.00,6.252,1.415,2.397,2.938
values_15,5387,1770,84.2,86.1,53.5,16.43,16.43,0.00,295,1127,794,1810,100.00,94.44,83.33,60.00,18.261,4.780,6.785,2.976
values_93,9694,3592,88.1,91.3,52.6,18.53,18.53,0.00,1150,4886,3059,14474,100.00,94.44,83.33,60.00,8.430,1.984,3.169,0.670
values_24,6392,2143,85.1,87.4,53.9,16.76,16.76,0.00,471,1902,1289,3895,100.00,94.44,83.33,60.00,13.571,3.361,4.959,1.641
values_25,6446,2153,85.0,87.2,55.4,16.70,16.70,0.00,487,2019,1330,4162,100.00,94.44,83.33,60.00,13.236,3.193,4.847,1.549
values_26,6451,2153,84.9,87.2,55.0,16.69,16.69,0.00,477,1971,1317,4035,100.00,94.44,83.33,60.00,13.524,3.273,4.898,1.599
values_48,10631,3957,88.1,91.8,48.5,18.61,18.61,0.00,1332,5686,3520,18237,100.00,94.44,83.33,60.00,7.981,1.870,3.020,0.583
values_71,14362,5621,89.6,93.7,50.7,19.57,19.57,0.00,2117,9177,5589,37549,100.00,94.44,83.33,60.00,6.784,1.565,2.570,0.382
