id,clockCycles,assemblyInstr,Cache,cInstr,cGimple,cReleaseSSA,cOptimized,LineExe,BranchesExe,OnceEe,CallExe,cc4cs,cc4ir,cc4ssa,cc4opt
values_11,16417,16417,"['960930', '8852951', '127357', '1109532', '65562', '552877', '569097', '50.000', '12647732', '0', '3896607', '0', '164987', '0', '0', '4.234']",3619,20804,10212,11088,100.00,94.44,83.33,60.00,4.536,0.789,1.608,1.481
values_19,16485,16485,"['972192', '8853021', '128755', '1108609', '65548', '552891', '569112', '49.980', '12644198', '0', '3896675', '0', '164957', '0', '0', '4.233']",3707,21570,10410,11358,100.00,94.44,83.33,60.00,4.447,0.764,1.584,1.451
values_12,16489,16489,"['960894', '8853019', '127339', '1109566', '65541', '552898', '569117', '49.999', '12647972', '0', '3896679', '0', '164987', '0', '0', '4.234']",3697,21434,10362,11302,100.00,94.44,83.33,60.00,4.460,0.769,1.591,1.459
values_38,1017,1017,"['947796', '8844454', '125015', '1108236', '64950', '552161', '568271', '50.039', '12576122', '0', '3876206', '0', '160977', '0', '0', '4.153']",159,726,430,779,100.00,94.44,77.78,60.00,6.396,1.401,2.365,1.306
values_81,1394,1394,"['963162', '8843686', '126965', '1106993', '65013', '552123', '568238', '50.013', '12572422', '0', '3876584', '0', '161096', '0', '0', '4.156']",286,1370,776,2187,100.00,94.44,83.33,60.00,4.874,1.018,1.796,0.637
values_5,2507,2507,"['952930', '8855218', '125796', '1111208', '65086', '552964', '569101', '49.963', '12613480', '0', '3887697', '0', '161660', '0', '0', '4.158']",846,4601,2354,14533,100.00,94.44,83.33,60.00,2.963,0.545,1.065,0.173
values_40,1006,1006,"['947794', '8844446', '125014', '1108232', '64950', '552161', '568271', '50.040', '12576078', '0', '3876195', '0', '160977', '0', '0', '4.153']",147,612,396,708,100.00,94.44,80.56,60.00,6.844,1.644,2.540,1.421
values_70,1034,1034,"['951286', '8844184', '125458', '1107948', '65100', '552207', '568364', '50.049', '12575030', '0', '3876224', '0', '160988', '0', '0', '4.153']",220,1047,598,2005,100.00,94.44,83.33,60.00,4.700,0.988,1.729,0.516
values_23,19113,19113,"['959388', '8848765', '127283', '1108172', '65479', '552735', '568978', '50.039', '12640710', '0', '3894302', '0', '165620', '0', '0', '4.253']",4324,25257,12178,13262,100.00,94.44,83.33,60.00,4.420,0.757,1.569,1.441
values_72,1038,1038,"['951290', '8844182', '125460', '1107947', '65100', '552207', '568364', '50.049', '12575046', '0', '3876228', '0', '160988', '0', '0', '4.153']",218,1054,606,2021,100.00,94.44,80.56,60.00,4.761,0.985,1.713,0.514
values_79,1038,1038,"['951266', '8844184', '125457', '1107949', '65100', '552207', '568364', '50.049', '12575052', '0', '3876228', '0', '160988', '0', '0', '4.153']",218,1054,606,2021,100.00,94.44,80.56,60.00,4.761,0.985,1.713,0.514
values_78,1023,1023,"['951284', '8844176', '125457', '1107944', '65100', '552207', '568364', '50.049', '12574988', '0', '3876213', '0', '160977', '0', '0', '4.153']",208,939,565,1858,100.00,94.44,83.33,60.00,4.918,1.089,1.811,0.551
values_87,1409,1409,"['963162', '8843690', '126965', '1106995', '65013', '552123', '568238', '50.013', '12572478', '0', '3876599', '0', '161096', '0', '0', '4.156']",288,1384,782,2217,100.00,94.44,83.33,60.00,4.892,1.018,1.802,0.636
values_6,2512,2512,"['952936', '8855212', '125799', '1111205', '65082', '552968', '569098', '49.963', '12613520', '0', '3887702', '0', '161660', '0', '0', '4.158']",833,4546,2349,14342,100.00,94.44,83.33,60.00,3.016,0.553,1.069,0.175
values_68,26406,26406,"['966828', '8852957', '128629', '1109706', '65817', '553084', '569468', '49.978', '12680232', '0', '3906595', '0', '166731', '0', '0', '4.268']",6469,37950,18151,19735,100.00,94.44,83.33,60.00,4.082,0.696,1.455,1.338
values_69,26403,26403,"['975370', '8852919', '129705', '1108974', '65803', '553077', '569429', '49.963', '12677392', '0', '3906593', '0', '166789', '0', '0', '4.269']",6410,37615,18085,19621,100.00,94.44,83.33,60.00,4.119,0.702,1.460,1.346
values_1,2502,2502,"['952934', '8855214', '125798', '1111206', '65081', '552969', '569103', '49.963', '12613464', '0', '3887692', '0', '161660', '0', '0', '4.158']",843,4607,2360,14543,100.00,94.44,83.33,60.00,2.968,0.543,1.060,0.172
values_45,1013,1013,"['947796', '8844450', '125015', '1108234', '64950', '552161', '568271', '50.039', '12576106', '0', '3876202', '0', '160977', '0', '0', '4.153']",153,678,418,757,100.00,94.44,80.56,60.00,6.621,1.494,2.423,1.338
values_33,1007,1007,"['947792', '8844450', '125013', '1108234', '64950', '552161', '568271', '50.040', '12576084', '0', '3876196', '0', '160977', '0', '0', '4.153']",152,653,405,718,100.00,94.44,83.33,60.00,6.625,1.542,2.486,1.403
values_15,16478,16478,"['960926', '8852989', '127355', '1109551', '65568', '552878', '569115', '49.999', '12647948', '0', '3896668', '0', '164987', '0', '0', '4.234']",3670,21260,10343,11257,100.00,94.44,83.33,60.00,4.490,0.775,1.593,1.464
values_93,12424,12424,"['963186', '8852695', '127471', '1109166', '65264', '552809', '569053', '49.980', '12631520', '0', '3892613', '0', '164031', '0', '0', '4.214']",2851,16463,8035,8765,100.00,94.44,83.33,60.00,4.358,0.755,1.546,1.417
values_24,19070,19070,"['959388', '8848757', '127283', '1108168', '65467', '552730', '568979', '50.038', '12640562', '0', '3894259', '0', '165618', '0', '0', '4.253']",4315,25098,12128,13204,100.00,94.44,83.33,60.00,4.419,0.760,1.572,1.444
values_25,19723,19723,"['959472', '8848769', '127325', '1108174', '65475', '552743', '568998', '50.038', '12643028', '0', '3894912', '0', '165655', '0', '0', '4.253']",4479,25847,12700,13855,100.00,100.00,91.67,80.00,4.403,0.763,1.553,1.424
values_26,19130,19130,"['959390', '8848775', '127284', '1108177', '65494', '552724', '568990', '50.039', '12640772', '0', '3894319', '0', '165655', '0', '0', '4.254']",4333,25344,12209,13297,100.00,94.44,83.33,60.00,4.415,0.755,1.567,1.439
values_48,1013,1013,"['947796', '8844450', '125015', '1108234', '64950', '552161', '568271', '50.039', '12576106', '0', '3876202', '0', '160977', '0', '0', '4.153']",153,678,418,757,100.00,94.44,80.56,60.00,6.621,1.494,2.423,1.338
values_71,1023,1023,"['951284', '8844176', '125457', '1107944', '65100', '552207', '568364', '50.049', '12574986', '0', '3876213', '0', '160988', '0', '0', '4.153']",208,933,564,1867,100.00,94.44,83.33,60.00,4.918,1.096,1.814,0.548
values_76,1028,1028,"['951286', '8844178', '125458', '1107945', '65100', '552207', '568364', '50.049', '12575006', '0', '3876218', '0', '160988', '0', '0', '4.153']",212,970,574,1913,100.00,94.44,83.33,60.00,4.849,1.060,1.791,0.537
values_7,2565,2565,"['952948', '8855226', '125805', '1111212', '65083', '552967', '569096', '49.963', '12613722', '0', '3887755', '0', '161678', '0', '0', '4.159']",854,4783,2434,15174,100.00,94.44,80.56,60.00,3.004,0.536,1.054,0.169
values_50,977,977,"['961404', '8844760', '126710', '1107095', '65058', '552249', '568381', '50.033', '12571434', '0', '3876167', '0', '160972', '0', '0', '4.153']",105,418,273,278,100.00,94.44,77.78,60.00,9.305,2.337,3.579,3.514
values_22,19029,19029,"['959384', '8848723', '127281', '1108151', '65478', '552719', '568973', '50.039', '12640410', '0', '3894218', '0', '165618', '0', '0', '4.253']",4258,24699,12013,13049,100.00,94.44,83.33,60.00,4.469,0.770,1.584,1.458
values_4,2543,2543,"['952950', '8855212', '125806', '1111205', '65090', '552960', '569090', '49.963', '12613628', '0', '3887733', '0', '161660', '0', '0', '4.158']",842,4633,2387,14729,100.00,94.44,83.33,60.00,3.020,0.549,1.065,0.173
values_32,1010,1010,"['947794', '8844450', '125014', '1108234', '64950', '552161', '568271', '50.039', '12576094', '0', '3876199', '0', '160977', '0', '0', '4.153']",153,660,408,730,100.00,94.44,83.33,60.00,6.601,1.530,2.475,1.384
values_77,1040,1040,"['951290', '8844184', '125460', '1107948', '65100', '552207', '568364', '50.049', '12575054', '0', '3876230', '0', '160988', '0', '0', '4.153']",221,1078,612,2049,100.00,94.44,80.56,60.00,4.706,0.965,1.699,0.508
values_91,12433,12433,"['963192', '8852685', '127474', '1109161', '65272', '552801', '569056', '49.980', '12631552', '0', '3892622', '0', '164048', '0', '0', '4.214']",2836,16394,8024,8742,100.00,94.44,83.33,60.00,4.384,0.758,1.549,1.422
values_42,1006,1006,"['947794', '8844446', '125014', '1108232', '64950', '552161', '568271', '50.040', '12576078', '0', '3876195', '0', '160977', '0', '0', '4.153']",147,612,396,708,100.00,94.44,80.56,60.00,6.844,1.644,2.540,1.421
values_13,16502,16502,"['960924', '8853015', '127354', '1109564', '65558', '552888', '569115', '49.999', '12648036', '0', '3896692', '0', '164987', '0', '0', '4.234']",3705,21511,10414,11352,100.00,94.44,83.33,60.00,4.454,0.767,1.585,1.454
values_41,1007,1007,"['947792', '8844450', '125013', '1108234', '64950', '552161', '568271', '50.040', '12576084', '0', '3876196', '0', '160977', '0', '0', '4.153']",152,653,405,718,100.00,94.44,83.33,60.00,6.625,1.542,2.486,1.403
values_55,975,975,"['961404', '8844758', '126710', '1107094', '65058', '552249', '568381', '50.033', '12571426', '0', '3876165', '0', '160972', '0', '0', '4.153']",102,394,267,275,100.00,94.44,77.78,60.00,9.559,2.475,3.652,3.545
values_31,1013,1013,"['947796', '8844450', '125015', '1108234', '64950', '552161', '568271', '50.039', '12576106', '0', '3876202', '0', '160977', '0', '0', '4.153']",153,678,418,757,100.00,94.44,80.56,60.00,6.621,1.494,2.423,1.338
values_66,26396,26396,"['966832', '8852941', '128631', '1109698', '65818', '553074', '569449', '49.978', '12680196', '0', '3906585', '0', '166750', '0', '0', '4.268']",6443,37786,18111,19675,100.00,94.44,83.33,60.00,4.097,0.699,1.457,1.342
values_65,26369,26369,"['966870', '8852897', '128650', '1109676', '65810', '553070', '569430', '49.977', '12680120', '0', '3906558', '0', '166731', '0', '0', '4.268']",6395,37438,18049,19569,100.00,94.44,83.33,60.00,4.123,0.704,1.461,1.347
values_62,26331,26331,"['966854', '8852889', '128642', '1109672', '65803', '553068', '569428', '49.977', '12679970', '0', '3906520', '0', '166719', '0', '0', '4.268']",6384,37304,17989,19507,100.00,94.44,83.33,60.00,4.125,0.706,1.464,1.350
values_21,18979,18979,"['959390', '8848707', '127284', '1108143', '65488', '552709', '568965', '50.039', '12640240', '0', '3894168', '0', '165616', '0', '0', '4.253']",4246,24504,11955,12981,100.00,94.44,83.33,60.00,4.470,0.775,1.588,1.462
values_95,12376,12376,"['963178', '8852693', '127467', '1109165', '65270', '552791', '569048', '49.979', '12631350', '0', '3892565', '0', '164007', '0', '0', '4.213']",2849,16365,7994,8724,100.00,94.44,83.33,60.00,4.344,0.756,1.548,1.419
values_84,1418,1418,"['963176', '8843686', '126972', '1106993', '65013', '552123', '568240', '50.012', '12572510', '0', '3876608', '0', '161113', '0', '0', '4.156']",294,1486,824,2406,100.00,94.44,80.56,60.00,4.823,0.954,1.721,0.589
values_58,975,975,"['961404', '8844758', '126710', '1107094', '65058', '552249', '568381', '50.033', '12571426', '0', '3876165', '0', '160972', '0', '0', '4.153']",102,394,267,275,100.00,94.44,77.78,60.00,9.559,2.475,3.652,3.545
values_64,26426,26426,"['966860', '8852917', '128645', '1109686', '65835', '553099', '569462', '49.981', '12680320', '0', '3906615', '0', '166750', '0', '0', '4.268']",6421,37722,18123,19667,100.00,94.44,83.33,60.00,4.116,0.701,1.458,1.344
values_83,1411,1411,"['963174', '8843682', '126971', '1106991', '65011', '552125', '568240', '50.013', '12572490', '0', '3876601', '0', '161098', '0', '0', '4.156']",286,1409,800,2275,100.00,94.44,83.33,60.00,4.934,1.001,1.764,0.620
values_94,12406,12406,"['963186', '8852693', '127471', '1109165', '65274', '552787', '569043', '49.979', '12631458', '0', '3892595', '0', '164031', '0', '0', '4.214']",2847,16405,8018,8744,100.00,94.44,83.33,60.00,4.358,0.756,1.547,1.419
values_0,2533,2533,"['952924', '8855232', '125793', '1111215', '65081', '552969', '569101', '49.963', '12613574', '0', '3887723', '0', '161660', '0', '0', '4.158']",855,4709,2385,14828,100.00,94.44,83.33,60.00,2.963,0.538,1.062,0.171
values_99,12378,12378,"['963172', '8852683', '127473', '1109161', '65276', '552785', '569035', '49.979', '12631372', '0', '3892567', '0', '164007', '0', '0', '4.213']",2845,16328,7998,8722,100.00,94.44,83.33,60.00,4.351,0.758,1.548,1.419
values_96,12326,12326,"['963170', '8852687', '127463', '1109162', '65262', '552799', '569047', '49.980', '12631172', '0', '3892515', '0', '164011', '0', '0', '4.213']",2833,16187,7935,8653,100.00,94.44,83.33,60.00,4.351,0.761,1.553,1.424
values_67,26417,26417,"['966894', '8852905', '128662', '1109680', '65823', '553069', '569421', '49.977', '12680312', '0', '3906606', '0', '166750', '0', '0', '4.268']",6415,37638,18133,19661,100.00,94.44,83.33,60.00,4.118,0.702,1.457,1.344
values_61,26387,26387,"['966878', '8852913', '128654', '1109684', '65819', '553061', '569424', '49.977', '12680194', '0', '3906576', '0', '166750', '0', '0', '4.268']",6430,37659,18115,19659,100.00,94.44,83.33,60.00,4.104,0.701,1.457,1.342
values_43,1013,1013,"['947796', '8844450', '125015', '1108234', '64950', '552161', '568271', '50.039', '12576106', '0', '3876202', '0', '160977', '0', '0', '4.153']",153,678,418,757,100.00,94.44,80.56,60.00,6.621,1.494,2.423,1.338
values_2,2527,2527,"['952940', '8855216', '125801', '1111207', '65081', '552959', '569095', '49.962', '12613568', '0', '3887717', '0', '161660', '0', '0', '4.158']",842,4624,2375,14632,100.00,94.44,83.33,60.00,3.001,0.546,1.064,0.173
