inputName,size
11,26
19,26
12,26
38,29
81,12
5,6
40,8
70,17
23,20
72,17
79,17
78,17
87,12
6,6
68,21
69,21
1,6
45,8
33,29
15,26
93,15
24,20
25,20
26,20
48,8
71,17
76,17
7,6
50,22
22,20
4,6
32,29
77,17
91,15
42,8
13,26
41,8
55,22
31,29
66,21
65,21
62,21
21,20
95,15
84,12
58,22
64,21
83,12
94,15
0,6
99,15
96,15
67,21
61,21
43,8
2,6
54,22
30,29
59,22
85,12
74,17
90,15
18,26
52,22
44,8
17,26
36,29
49,8
86,12
37,29
56,22
63,21
35,29
97,15
75,17
57,22
88,12
10,26
53,22
8,6
39,29
47,8
60,21
89,12
51,22
14,26
28,20
16,26
34,29
82,12
46,8
27,20
20,20
9,6
92,15
3,6
98,15
29,20
80,12
73,17
