id,clockCycles,assemblyInstr,cInstr,cGimple,cReleaseSSA,cOptimized,LineExe,BranchesExe,OnceEe,CallExe,cc4cs,cc4ir,cc4ssa,cc4opt
values_11,91,41,494,7736,4939,3685,100.00,100.00,66.67,100.00,0.184,0.012,0.018,0.025
values_19,179,96,626,9880,6307,4447,100.00,100.00,66.67,100.00,0.286,0.018,0.028,0.040
values_12,179,96,558,8775,5602,2121,100.00,100.00,66.67,100.00,0.321,0.020,0.032,0.084
values_38,90,40,63,750,454,216,100.00,100.00,83.33,100.00,1.429,0.120,0.198,0.417
values_81,177,94,1118,17896,11419,8581,100.00,100.00,66.67,100.00,0.158,0.010,0.016,0.021
values_5,90,40,326,5015,3202,2377,100.00,100.00,66.67,100.00,0.276,0.018,0.028,0.038
values_40,119,58,243,3618,2290,2102,100.00,100.00,83.33,100.00,0.490,0.033,0.052,0.057
values_70,119,58,1127,17983,11455,8612,100.00,100.00,83.33,100.00,0.106,0.007,0.010,0.014
values_23,235,130,167,2398,1510,586,100.00,100.00,83.33,100.00,1.407,0.098,0.156,0.401
values_72,150,78,1427,22882,14578,18440,100.00,100.00,83.33,100.00,0.105,0.007,0.010,0.008
values_79,148,76,38,416,259,240,100.00,100.00,66.67,100.00,3.895,0.356,0.571,0.617
values_78,177,94,295,4406,2773,3638,100.00,100.00,83.33,100.00,0.600,0.040,0.064,0.049
values_87,119,58,47,503,295,271,100.00,100.00,83.33,100.00,2.532,0.237,0.403,0.439
values_6,92,42,1427,22882,14578,18440,100.00,100.00,83.33,100.00,0.064,0.004,0.006,0.005
values_68,90,40,791,12454,7909,10638,100.00,100.00,83.33,100.00,0.114,0.007,0.011,0.008
values_69,148,76,707,11138,7090,6622,100.00,100.00,83.33,100.00,0.209,0.013,0.021,0.022
values_1,90,40,115,1521,928,429,100.00,100.00,83.33,100.00,0.783,0.059,0.097,0.210
values_45,90,40,234,3531,2254,2077,100.00,100.00,66.67,100.00,0.385,0.025,0.040,0.043
values_33,92,42,575,8941,5668,2177,100.00,100.00,83.33,100.00,0.160,0.010,0.016,0.042
values_15,90,40,234,3531,2254,2077,100.00,100.00,66.67,100.00,0.385,0.025,0.040,0.043
values_93,90,40,278,4240,2707,3591,100.00,100.00,66.67,100.00,0.324,0.021,0.033,0.025
values_24,148,76,791,12454,7909,10638,100.00,100.00,83.33,100.00,0.187,0.012,0.019,0.014
values_25,90,40,38,416,259,240,100.00,100.00,66.67,100.00,2.368,0.216,0.347,0.375
values_26,92,42,2126,34375,21922,15547,100.00,100.00,66.67,100.00,0.043,0.003,0.004,0.006
values_48,121,60,2007,32367,20623,22277,100.00,100.00,83.33,100.00,0.060,0.004,0.006,0.005
values_71,90,40,63,750,454,216,100.00,100.00,83.33,100.00,1.429,0.120,0.198,0.417
values_76,116,55,35,322,178,232,100.00,100.00,83.33,100.00,3.314,0.360,0.652,0.500
values_7,90,40,1754,28288,18043,19484,100.00,100.00,66.67,100.00,0.051,0.003,0.005,0.005
values_50,90,40,243,3618,2290,2102,100.00,100.00,83.33,100.00,0.370,0.025,0.039,0.043
values_22,91,41,83,1063,655,301,100.00,100.00,83.33,100.00,1.096,0.086,0.139,0.302
values_4,177,94,1638,26391,16834,18169,100.00,100.00,66.67,100.00,0.108,0.007,0.011,0.010
values_32,148,76,443,6850,4354,3248,100.00,100.00,83.33,100.00,0.334,0.022,0.034,0.046
values_77,92,42,1998,32280,20587,22252,100.00,100.00,66.67,100.00,0.046,0.003,0.004,0.004
values_91,119,58,467,7087,4444,3323,100.00,100.00,83.33,100.00,0.255,0.017,0.027,0.036
values_42,90,40,434,6763,4318,3217,100.00,100.00,66.67,100.00,0.207,0.013,0.021,0.028
values_13,91,41,527,8060,5065,3776,100.00,100.00,83.33,100.00,0.173,0.011,0.018,0.024
values_41,148,76,938,14960,9547,7165,100.00,100.00,66.67,100.00,0.158,0.010,0.016,0.021
values_55,149,77,511,7902,5005,3732,100.00,100.00,83.33,100.00,0.292,0.019,0.030,0.040
values_31,237,132,558,8775,5602,2121,100.00,100.00,66.67,100.00,0.425,0.027,0.042,0.112
values_66,119,58,1214,19463,12418,8787,100.00,100.00,66.67,100.00,0.098,0.006,0.010,0.014
values_65,90,40,278,4240,2707,3591,100.00,100.00,66.67,100.00,0.324,0.021,0.033,0.025
values_62,119,58,459,7008,4414,3298,100.00,100.00,83.33,100.00,0.259,0.017,0.027,0.036
values_21,92,42,626,9880,6307,4447,100.00,100.00,66.67,100.00,0.147,0.009,0.015,0.021
values_95,177,94,1638,26391,16834,18169,100.00,100.00,66.67,100.00,0.108,0.007,0.011,0.010
values_84,148,76,234,3531,2254,2077,100.00,100.00,66.67,100.00,0.632,0.042,0.066,0.071
values_58,179,96,1418,22795,14542,18409,100.00,100.00,66.67,100.00,0.126,0.008,0.012,0.010
values_64,150,78,2015,32446,20653,22299,100.00,100.00,83.33,100.00,0.074,0.005,0.007,0.007
values_83,119,58,158,2311,1474,561,100.00,100.00,66.67,100.00,0.753,0.051,0.081,0.212
values_94,119,58,451,6929,4384,3273,100.00,100.00,83.33,100.00,0.264,0.017,0.027,0.036
values_0,90,40,243,3618,2290,2102,100.00,100.00,83.33,100.00,0.370,0.025,0.039,0.043
values_99,90,40,54,663,418,185,100.00,100.00,66.67,100.00,1.667,0.136,0.215,0.486
values_96,148,76,63,750,454,216,100.00,100.00,83.33,100.00,2.349,0.197,0.326,0.685
values_67,90,40,1314,21096,13459,13902,100.00,100.00,66.67,100.00,0.068,0.004,0.007,0.006
values_61,91,41,74,976,619,270,100.00,100.00,66.67,100.00,1.230,0.093,0.147,0.337
values_43,90,40,774,12288,7843,10591,100.00,100.00,66.67,100.00,0.116,0.007,0.011,0.008
values_2,92,42,1035,16482,10498,7888,100.00,100.00,83.33,100.00,0.089,0.006,0.009,0.012
values_54,148,76,1239,19708,12514,8856,100.00,100.00,83.33,100.00,0.119,0.008,0.012,0.017
values_30,92,42,1026,16395,10462,7857,100.00,100.00,66.67,100.00,0.090,0.006,0.009,0.012
values_59,150,78,626,9880,6307,4447,100.00,100.00,66.67,100.00,0.240,0.015,0.024,0.034
values_85,90,40,1239,19708,12514,8856,100.00,100.00,83.33,100.00,0.073,0.005,0.007,0.010
values_74,92,42,1998,32280,20587,22252,100.00,100.00,66.67,100.00,0.046,0.003,0.004,0.004
values_90,119,58,791,12454,7909,10638,100.00,100.00,83.33,100.00,0.150,0.010,0.015,0.011
values_18,90,40,1526,24560,15667,26406,100.00,100.00,66.67,100.00,0.059,0.004,0.006,0.003
values_52,90,40,443,6850,4354,3248,100.00,100.00,83.33,100.00,0.203,0.013,0.021,0.028
values_44,119,58,434,6763,4318,3217,100.00,100.00,66.67,100.00,0.274,0.018,0.028,0.037
values_17,92,42,1427,22882,14578,18440,100.00,100.00,83.33,100.00,0.064,0.004,0.006,0.005
values_36,119,58,295,4406,2773,3638,100.00,100.00,83.33,100.00,0.403,0.027,0.043,0.033
values_49,264,148,1223,19550,12454,8812,100.00,100.00,83.33,100.00,0.216,0.014,0.021,0.030
values_86,90,40,1559,24884,15793,26497,100.00,100.00,83.33,100.00,0.058,0.004,0.006,0.003
values_37,208,114,583,9020,5698,2202,100.00,100.00,83.33,100.00,0.357,0.023,0.037,0.094
values_56,90,40,1314,21096,13459,13902,100.00,100.00,66.67,100.00,0.068,0.004,0.007,0.006
values_63,90,40,1763,28375,18079,19515,100.00,100.00,83.33,100.00,0.051,0.003,0.005,0.005
values_35,119,58,1874,30251,19294,20845,100.00,100.00,66.67,100.00,0.064,0.004,0.006,0.006
values_97,90,40,1754,28288,18043,19484,100.00,100.00,66.67,100.00,0.051,0.003,0.005,0.005
values_75,208,114,1035,16482,10498,7888,100.00,100.00,83.33,100.00,0.201,0.013,0.020,0.026
values_57,148,76,63,750,454,216,100.00,100.00,83.33,100.00,2.349,0.197,0.326,0.685
