inputName,text,data,bss
values_11,6796,624,312
values_19,6796,624,312
values_12,11882,1368,672
values_38,2402,80,56
values_81,4516,168,96
values_5,2402,80,56
values_40,4620,288,152
values_70,2402,80,56
values_23,2402,80,56
values_72,8396,840,416
values_79,4516,168,96
values_78,4516,168,96
values_87,4620,288,152
values_6,2402,80,56
values_68,11882,1368,672
values_69,10346,1088,536
values_1,11882,1368,672
values_45,2402,80,56
values_33,4516,168,96
values_15,4516,168,96
values_93,4620,288,152
values_24,4516,168,96
values_25,4516,168,96
values_26,10346,1088,536
values_48,4516,168,96
values_71,4516,168,96
values_76,6796,624,312
values_7,5382,440,224
values_50,8396,840,416
values_22,8396,840,416
values_4,6796,624,312
values_32,2402,80,56
values_77,4516,168,96
values_91,2402,80,56
values_42,4516,168,96
values_13,2402,80,56
values_41,5382,440,224
values_55,5382,440,224
values_31,2402,80,56
values_66,6796,624,312
values_65,11882,1368,672
values_62,8396,840,416
values_21,5382,440,224
values_95,4516,168,96
values_84,5382,440,224
values_58,5382,440,224
values_64,10346,1088,536
values_83,8396,840,416
values_94,11882,1368,672
values_0,11882,1368,672
values_99,8396,840,416
values_96,6796,624,312
values_67,4516,168,96
values_61,11882,1368,672
values_43,11882,1368,672
values_2,10346,1088,536
values_54,4620,288,152
values_30,4620,288,152
values_59,5382,440,224
values_85,2402,80,56
values_74,8396,840,416
values_90,6796,624,312
values_18,4620,288,152
values_52,2402,80,56
values_44,2402,80,56
values_17,11882,1368,672
values_36,5382,440,224
values_49,4516,168,96
values_86,6796,624,312
values_37,4620,288,152
values_56,4516,168,96
values_63,8396,840,416
values_35,5382,440,224
values_97,11882,1368,672
values_75,10346,1088,536
values_57,5382,440,224
values_88,5382,440,224
values_10,10346,1088,536
values_53,10346,1088,536
values_8,4516,168,96
values_39,10346,1088,536
values_47,4516,168,96
values_60,6796,624,312
values_89,11882,1368,672
values_51,5382,440,224
values_14,4620,288,152
values_28,8396,840,416
values_16,2402,80,56
values_34,6796,624,312
values_82,6796,624,312
values_46,2402,80,56
values_27,10346,1088,536
values_20,4516,168,96
values_9,6796,624,312
values_92,11882,1368,672
values_3,4516,168,96
values_98,10346,1088,536
values_29,4620,288,152
values_80,2402,80,56
values_73,6796,624,312
