id,clockCycles,assemblyInstr,cacheHit,cacheHitInstr,cacheHitData,MOPS,MIPS,MFLOPS,cInstr,cGimple,cReleaseSSA,cOptimized,LineExe,BranchesExe,OnceEe,CallExe,cc4cs,cc4ir,cc4ssa,cc4opt
values_11,10950,5630,91.9,96.5,50.5,25.71,25.71,0.00,626,9880,6307,2694,100.00,100.00,66.67,100.00,17.492,1.108,1.736,4.065
values_19,11792,6144,92.0,96.8,50.4,26.05,26.05,0.00,698,11051,7054,3013,100.00,100.00,66.67,100.00,16.894,1.067,1.672,3.914
values_12,6522,2866,89.6,93.1,51.3,21.97,21.97,0.00,251,3697,2320,1012,100.00,100.00,83.33,100.00,25.984,1.764,2.811,6.445
values_38,4195,1389,83.8,85.2,56.8,16.56,16.56,0.00,54,504,256,364,100.00,100.00,91.67,100.00,77.685,8.323,16.387,11.525
values_81,15603,8516,92.6,97.7,50.3,27.29,27.29,0.00,1026,16395,10462,4469,100.00,100.00,66.67,100.00,15.208,0.952,1.491,3.491
values_5,4867,1860,87.1,89.5,52.7,19.11,19.11,0.00,98,1355,862,373,100.00,100.00,66.67,100.00,49.663,3.592,5.646,13.048
values_40,6924,3134,90.0,93.7,51.2,22.63,22.63,0.00,278,4240,2707,1158,100.00,100.00,66.67,100.00,24.906,1.633,2.558,5.979
values_70,17161,7862,89.9,97.5,50.2,22.91,22.91,0.00,1526,24560,15667,6750,100.00,100.00,66.67,100.00,11.246,0.699,1.095,2.542
values_23,16682,7462,89.8,97.3,50.4,22.37,22.37,0.00,1443,23040,14638,6344,100.00,100.00,83.33,100.00,11.561,0.724,1.140,2.630
values_72,6924,3134,90.0,93.7,51.2,22.63,22.63,0.00,278,4240,2707,1158,100.00,100.00,66.67,100.00,24.906,1.633,2.558,5.979
values_79,15603,8516,92.6,97.7,50.3,27.29,27.29,0.00,1026,16395,10462,4469,100.00,100.00,66.67,100.00,15.208,0.952,1.491,3.491
values_78,5962,2538,89.1,92.3,51.6,21.28,21.28,0.00,194,2888,1843,790,100.00,100.00,66.67,100.00,30.732,2.064,3.235,7.547
values_87,21327,9916,90.0,98.0,50.0,23.25,23.25,0.00,1998,32280,20587,8862,100.00,100.00,66.67,100.00,10.674,0.661,1.036,2.407
values_6,13703,7321,92.4,97.3,50.5,26.71,26.71,0.00,871,13757,8740,3794,100.00,100.00,83.33,100.00,15.732,0.996,1.568,3.612
values_68,10250,5182,91.6,96.2,50.6,25.28,25.28,0.00,575,8941,5668,2480,100.00,100.00,83.33,100.00,17.826,1.146,1.808,4.133
values_69,6556,2891,89.6,93.1,51.9,22.05,22.05,0.00,259,3776,2350,1034,100.00,100.00,83.33,100.00,25.313,1.736,2.790,6.340
values_1,8096,3848,90.8,94.9,50.6,23.76,23.76,0.00,378,5856,3739,1598,100.00,100.00,66.67,100.00,21.418,1.383,2.165,5.066
values_45,15312,6940,89.8,97.2,50.3,22.66,22.66,0.00,1314,21096,13459,5802,100.00,100.00,66.67,100.00,11.653,0.726,1.138,2.639
values_33,23100,10539,90.1,98.1,50.1,22.81,22.81,0.00,2151,34620,22018,9512,100.00,100.00,83.33,100.00,10.739,0.667,1.049,2.429
values_15,6424,2816,89.5,93.0,51.0,21.92,21.92,0.00,234,3531,2254,965,100.00,100.00,66.67,100.00,27.453,1.819,2.850,6.657
values_93,4176,1413,84.6,86.1,56.2,16.92,16.92,0.00,47,503,295,269,100.00,100.00,83.33,100.00,88.851,8.302,14.156,15.524
values_24,11847,6169,92.0,96.8,50.6,26.04,26.04,0.00,707,11138,7090,3038,100.00,100.00,83.33,100.00,16.757,1.064,1.671,3.900
values_25,17222,7887,89.9,97.5,50.3,22.90,22.90,0.00,1535,24647,15703,6779,100.00,100.00,83.33,100.00,11.220,0.699,1.097,2.540
values_26,6026,2563,89.1,92.2,52.2,21.27,21.27,0.00,203,2975,1879,819,100.00,100.00,83.33,100.00,29.685,2.026,3.207,7.358
values_48,15710,8566,92.6,97.7,50.4,27.26,27.26,0.00,1043,16561,10528,4522,100.00,100.00,83.33,100.00,15.062,0.949,1.492,3.474
values_71,17868,9904,92.8,98.0,50.3,27.71,27.71,0.00,1223,19550,12454,5380,100.00,100.00,83.33,100.00,14.610,0.914,1.435,3.321
values_76,7480,3471,90.4,94.4,51.0,23.20,23.20,0.00,326,5015,3202,1369,100.00,100.00,66.67,100.00,22.945,1.492,2.336,5.464
values_7,20725,9396,90.0,97.9,50.3,22.67,22.67,0.00,1883,30338,19330,8336,100.00,100.00,83.33,100.00,11.006,0.683,1.072,2.486
values_50,4048,1341,84.0,85.4,54.4,16.56,16.56,0.00,26,235,142,249,100.00,100.00,66.67,100.00,155.692,17.226,28.507,16.257
