id,clockCycles,assemblyInstr,cInstr,cGimple,cReleaseSSA,cOptimized,LineExe,BranchesExe,OnceEe,CallExe,cc4cs,cc4ir,cc4ssa,cc4opt
values_11,6279,4031,451,4866,3381,1287,100.00,100.00,83.33,100.00,13.922,1.290,1.857,4.879
values_19,13797,8819,938,10488,7335,2794,100.00,100.00,66.67,100.00,14.709,1.316,1.881,4.938
values_12,3957,2549,278,2988,2095,814,100.00,100.00,66.67,100.00,14.234,1.324,1.889,4.861
values_38,15111,9655,1035,11550,8063,3081,100.00,100.00,83.33,100.00,14.600,1.308,1.874,4.905
values_81,27783,17711,1883,21230,14815,5621,100.00,100.00,83.33,100.00,14.755,1.309,1.875,4.943
values_5,2709,1751,194,2040,1431,562,100.00,100.00,66.67,100.00,13.964,1.328,1.893,4.820
values_40,27783,17711,1874,21171,14787,5602,100.00,100.00,66.67,100.00,14.826,1.312,1.879,4.959
values_70,9141,5855,643,7047,4905,1857,100.00,100.00,83.33,100.00,14.216,1.297,1.864,4.922
values_23,5445,3499,451,4595,3091,1281,100.00,100.00,83.33,100.00,12.073,1.185,1.762,4.251
values_72,27783,17711,1883,21230,14815,5621,100.00,100.00,83.33,100.00,14.755,1.309,1.875,4.943
values_79,10215,6539,707,7814,5455,2093,100.00,100.00,83.33,100.00,14.448,1.307,1.873,4.881
values_78,929,658,134,1088,665,334,100.00,100.00,91.67,100.00,6.933,0.854,1.397,2.781
values_87,15111,9655,1026,11491,8035,3058,100.00,100.00,66.67,100.00,14.728,1.315,1.881,4.941
values_6,4671,3005,326,3531,2475,932,100.00,100.00,66.67,100.00,14.328,1.323,1.887,5.012
values_68,5445,3499,395,4231,2937,1155,100.00,100.00,83.33,100.00,13.785,1.287,1.854,4.714
values_69,11349,7261,774,8620,6031,2262,100.00,100.00,66.67,100.00,14.663,1.317,1.882,5.017
values_1,1287,839,98,963,675,260,100.00,100.00,66.67,100.00,13.133,1.336,1.907,4.950
values_45,2175,1409,158,1635,1147,436,100.00,100.00,66.67,100.00,13.766,1.330,1.896,4.989
values_33,29637,18889,2007,22647,15803,5993,100.00,100.00,83.33,100.00,14.767,1.309,1.875,4.945
values_15,2175,1409,158,1635,1147,436,100.00,100.00,66.67,100.00,13.766,1.330,1.896,4.989
values_93,386,276,47,359,235,177,100.00,100.00,83.33,100.00,8.213,1.075,1.643,2.181
values_24,29637,18889,1998,22588,15775,5974,100.00,100.00,66.67,100.00,14.833,1.312,1.879,4.961
values_25,8127,5209,575,6274,4365,1695,100.00,100.00,83.33,100.00,14.134,1.295,1.862,4.795
values_26,386,276,100,706,397,307,100.00,100.00,91.67,100.00,3.860,0.547,0.972,1.257
values_48,1882,1257,126,1276,895,342,100.00,100.00,66.67,100.00,14.937,1.475,2.103,5.503
values_71,25989,16571,1763,19859,13859,5265,100.00,100.00,83.33,100.00,14.741,1.309,1.875,4.936
values_76,20967,13379,1427,16022,11183,4257,100.00,100.00,83.33,100.00,14.693,1.309,1.875,4.925
values_7,3957,2549,295,3099,2145,855,100.00,100.00,83.33,100.00,13.414,1.277,1.845,4.628
values_50,2175,1409,183,1798,1219,495,100.00,100.00,83.33,100.00,11.885,1.210,1.784,4.394
values_22,6279,4031,434,4755,3331,1252,100.00,100.00,66.67,100.00,14.468,1.321,1.885,5.015
values_4,1287,839,139,1230,791,355,100.00,100.00,83.33,100.00,9.259,1.046,1.627,3.625
values_32,3303,2131,259,2654,1819,733,100.00,100.00,83.33,100.00,12.753,1.245,1.816,4.506
values_77,24255,15469,1647,18534,12935,4913,100.00,100.00,83.33,100.00,14.727,1.309,1.875,4.937
values_91,31551,20105,2126,24051,16795,6358,100.00,100.00,66.67,100.00,14.841,1.312,1.879,4.962
values_42,929,658,74,696,487,190,100.00,100.00,66.67,100.00,12.554,1.335,1.908,4.889
values_13,3957,2549,278,2988,2095,814,100.00,100.00,66.67,100.00,14.234,1.324,1.889,4.861
values_41,27783,17711,1907,21386,14881,5669,100.00,100.00,83.33,100.00,14.569,1.299,1.867,4.901
values_55,19413,12391,1323,14835,10355,3945,100.00,100.00,83.33,100.00,14.673,1.309,1.875,4.921
values_31,638,421,71,586,381,173,100.00,100.00,83.33,100.00,8.986,1.089,1.675,3.688
values_66,4671,3005,343,3642,2525,967,100.00,100.00,83.33,100.00,13.618,1.283,1.850,4.830
values_65,386,276,55,411,257,195,100.00,100.00,83.33,100.00,7.018,0.939,1.502,1.979
values_62,24255,15469,1638,18475,12907,4894,100.00,100.00,66.67,100.00,14.808,1.313,1.879,4.956
values_21,11349,7261,774,8620,6031,2262,100.00,100.00,66.67,100.00,14.663,1.317,1.882,5.017
values_95,20967,13379,1483,16386,11337,4383,100.00,100.00,83.33,100.00,14.138,1.280,1.849,4.784
values_84,7173,4601,494,5436,3807,1430,100.00,100.00,66.67,100.00,14.520,1.320,1.884,5.016
values_58,4671,3005,326,3531,2475,932,100.00,100.00,66.67,100.00,14.328,1.323,1.887,5.012
values_64,929,658,74,696,487,190,100.00,100.00,66.67,100.00,12.554,1.335,1.908,4.889
values_83,3303,2131,267,2706,1841,749,100.00,100.00,83.33,100.00,12.371,1.221,1.794,4.410
values_94,19413,12391,1314,14776,10327,3922,100.00,100.00,66.67,100.00,14.774,1.314,1.880,4.950
values_0,1287,839,98,963,675,260,100.00,100.00,66.67,100.00,13.133,1.336,1.907,4.950
values_99,4671,3005,335,3590,2503,951,100.00,100.00,83.33,100.00,13.943,1.301,1.866,4.912
values_96,4671,3005,351,3694,2547,983,100.00,100.00,83.33,100.00,13.308,1.264,1.834,4.752
values_67,10215,6539,698,7755,5427,2074,100.00,100.00,66.67,100.00,14.635,1.317,1.882,4.925
values_61,15111,9655,1026,11491,8035,3058,100.00,100.00,66.67,100.00,14.728,1.315,1.881,4.941
values_43,29637,18889,1998,22588,15775,5974,100.00,100.00,66.67,100.00,14.833,1.312,1.879,4.961
values_2,386,276,38,300,207,154,100.00,100.00,66.67,100.00,10.158,1.287,1.865,2.506
values_54,154,103,46,303,183,245,100.00,100.00,91.67,100.00,3.348,0.508,0.842,0.629
values_30,386,276,38,300,207,154,100.00,100.00,66.67,100.00,10.158,1.287,1.865,2.506
values_59,29637,18889,1998,22588,15775,5974,100.00,100.00,66.67,100.00,14.833,1.312,1.879,4.961
values_85,29637,18889,2015,22699,15825,6009,100.00,100.00,83.33,100.00,14.708,1.306,1.873,4.932
values_74,22581,14405,1526,17196,12015,4558,100.00,100.00,66.67,100.00,14.798,1.313,1.879,4.954
values_90,15111,9655,1026,11491,8035,3058,100.00,100.00,66.67,100.00,14.728,1.315,1.881,4.941
values_18,12543,8021,911,9902,6827,2657,100.00,100.00,83.33,100.00,13.768,1.267,1.837,4.721
values_52,5445,3499,459,4647,3113,1299,100.00,100.00,83.33,100.00,11.863,1.172,1.749,4.192
values_44,20967,13379,1435,16074,11205,4275,100.00,100.00,83.33,100.00,14.611,1.304,1.871,4.905
values_17,2709,1751,227,2255,1525,629,100.00,100.00,83.33,100.00,11.934,1.201,1.776,4.307
values_36,2709,1751,203,2099,1459,581,100.00,100.00,83.33,100.00,13.345,1.291,1.857,4.663
values_49,10215,6539,698,7755,5427,2074,100.00,100.00,66.67,100.00,14.635,1.317,1.882,4.925
values_86,2175,1409,158,1635,1147,436,100.00,100.00,66.67,100.00,13.766,1.330,1.896,4.989
values_37,9141,5855,626,6936,4855,1822,100.00,100.00,66.67,100.00,14.602,1.318,1.883,5.017
values_56,1287,839,98,963,675,260,100.00,100.00,66.67,100.00,13.133,1.336,1.907,4.950
values_63,24255,15469,1655,18586,12957,4929,100.00,100.00,83.33,100.00,14.656,1.305,1.872,4.921
values_35,20967,13379,1427,16022,11183,4257,100.00,100.00,83.33,100.00,14.693,1.309,1.875,4.925
values_97,2175,1409,158,1635,1147,436,100.00,100.00,66.67,100.00,13.766,1.330,1.896,4.989
values_75,11349,7261,774,8620,6031,2262,100.00,100.00,66.67,100.00,14.663,1.317,1.882,5.017
values_57,10215,6539,707,7814,5455,2093,100.00,100.00,83.33,100.00,14.448,1.307,1.873,4.881
values_88,386,276,55,411,257,195,100.00,100.00,83.33,100.00,7.018,0.939,1.502,1.979
values_10,15111,9655,1026,11491,8035,3058,100.00,100.00,66.67,100.00,14.728,1.315,1.881,4.941
values_53,24255,15469,1679,18742,13023,4977,100.00,100.00,83.33,100.00,14.446,1.294,1.862,4.873
values_8,13797,8819,955,10599,7385,2835,100.00,100.00,83.33,100.00,14.447,1.302,1.868,4.867
values_39,154,103,26,171,115,191,100.00,100.00,66.67,100.00,5.923,0.901,1.339,0.806
values_47,13797,8819,938,10488,7335,2794,100.00,100.00,66.67,100.00,14.709,1.316,1.881,4.938
values_60,1287,839,131,1178,769,337,100.00,100.00,83.33,100.00,9.824,1.093,1.674,3.819
values_89,1882,1257,135,1335,923,365,100.00,100.00,83.33,100.00,13.941,1.410,2.039,5.156
values_51,17919,11441,1214,13635,9531,3622,100.00,100.00,66.67,100.00,14.760,1.314,1.880,4.947
values_14,6279,4031,443,4814,3359,1271,100.00,100.00,83.33,100.00,14.174,1.304,1.869,4.940
values_28,386,276,38,300,207,154,100.00,100.00,66.67,100.00,10.158,1.287,1.865,2.506
values_16,8127,5209,575,6274,4365,1695,100.00,100.00,83.33,100.00,14.134,1.295,1.862,4.795
