inputName,text,data,bss
values_11,352,529,25
values_19,352,289,19
values_12,348,196,16
values_38,340,25,7
values_81,352,121,13
values_5,356,4,4
values_40,348,196,16
values_70,340,49,9
values_23,344,961,33
values_72,352,169,15
values_79,352,324,20
values_78,348,1024,34
values_87,352,441,23
values_6,344,961,33
values_68,352,841,31
values_69,316,9,5
values_1,352,484,24
values_45,352,121,13
values_33,316,9,5
values_15,352,441,23
values_93,352,81,11
values_24,352,100,12
values_25,348,196,16
values_26,344,961,33
values_48,352,529,25
values_71,344,225,17
values_76,348,1024,34
values_7,332,16,6
values_50,352,841,31
values_22,352,144,14
values_4,352,676,28
values_32,332,16,6
values_77,352,841,31
values_91,352,841,31
values_42,344,961,33
values_13,352,144,14
values_41,352,361,21
values_55,352,784,30
values_31,352,841,31
values_66,352,676,28
values_65,352,361,21
values_62,352,361,21
values_21,352,576,26
values_95,352,324,20
values_84,340,36,8
values_58,352,169,15
values_64,352,121,13
values_83,352,361,21
values_94,352,676,28
values_0,340,25,7
values_99,352,529,25
values_96,348,256,18
values_67,352,121,13
values_61,344,961,33
values_43,340,49,9
values_2,340,49,9
values_54,352,144,14
values_30,352,289,19
values_59,352,144,14
values_85,340,36,8
values_74,344,961,33
values_90,352,841,31
values_18,352,144,14
values_52,352,625,27
values_44,344,225,17
values_17,344,225,17
values_36,356,4,4
values_49,352,121,13
values_86,340,36,8
values_37,352,676,28
values_56,352,841,31
values_63,340,36,8
values_35,348,256,18
values_97,352,625,27
values_75,352,625,27
values_57,348,900,32
values_88,352,784,30
values_10,352,169,15
values_53,352,729,29
values_8,352,729,29
values_39,352,400,22
values_47,352,100,12
values_60,352,484,24
values_89,352,324,20
values_51,352,784,30
values_14,352,81,11
values_28,352,529,25
values_16,352,625,27
values_34,348,1024,34
values_82,344,225,17
values_46,348,256,18
values_27,340,25,7
values_20,352,441,23
values_9,316,9,5
values_92,340,25,7
values_3,344,225,17
values_98,352,676,28
values_29,340,49,9
values_80,340,36,8
values_73,352,784,30
