inputName,text,data,bss
values_11,384,529,28
values_19,1472,289,19
values_12,1244,196,19
values_38,1152,25,10
values_81,1032,121,20
values_5,268,4,7
values_40,1244,196,19
values_70,732,49,12
values_23,404,961,36
values_72,1168,169,18
values_79,396,324,27
values_78,380,1024,34
values_87,376,441,26
values_6,404,961,36
values_68,380,841,34
values_69,548,9,8
values_1,372,484,27
values_45,1032,121,20
values_33,548,9,8
values_15,376,441,26
values_93,880,81,11
values_24,956,100,19
values_25,1244,196,19
values_26,404,961,36
values_48,384,529,28
values_71,1324,225,20
values_76,380,1024,34
values_7,984,16,9
values_50,380,841,34
values_22,1092,144,17
values_4,396,676,35
values_32,984,16,9
values_77,380,841,34
values_91,380,841,34
values_42,404,961,36
values_13,1092,144,17
values_41,404,361,28
values_55,368,784,33
values_31,380,841,34
values_66,396,676,35
values_65,404,361,28
values_62,404,361,28
values_21,368,576,26
values_95,396,324,27
values_84,656,36,11
values_58,1168,169,18
values_64,1032,121,20
values_83,404,361,28
values_94,396,676,35
values_0,1152,25,10
values_99,384,529,28
values_96,1384,256,18
values_67,1032,121,20
values_61,404,961,36
values_43,732,49,12
values_2,732,49,12
values_54,1092,144,17
values_30,1472,289,19
values_59,1092,144,17
values_85,656,36,11
values_74,404,961,36
values_90,380,841,34
values_18,1092,144,17
values_52,376,625,27
values_44,1324,225,20
values_17,1324,225,20
values_36,268,4,7
values_49,1032,121,20
values_86,656,36,11
values_37,396,676,35
values_56,380,841,34
values_63,656,36,11
values_35,1384,256,18
values_97,376,625,27
values_75,376,625,27
values_57,384,900,35
values_88,368,784,33
values_10,1168,169,18
values_53,400,729,36
values_8,400,729,36
values_39,360,400,25
values_47,956,100,19
values_60,372,484,27
values_89,396,324,27
values_51,368,784,33
values_14,880,81,11
values_28,384,529,28
values_16,376,625,27
values_34,380,1024,34
values_82,1324,225,20
values_46,1384,256,18
values_27,1152,25,10
values_20,376,441,26
values_9,548,9,8
values_92,1152,25,10
values_3,1324,225,20
values_98,396,676,35
values_29,732,49,12
values_80,656,36,11
values_73,368,784,33
