inputName,text,data,bss
values_11,12144,2736,528
values_19,12144,2456,520
values_12,12160,3032,536
values_38,12176,4752,576
values_81,12144,272,416
values_5,12176,7832,632
values_40,12144,1296,480
values_70,12160,1496,488
values_23,12144,2456,520
values_72,12144,216,408
values_79,12144,1296,480
values_78,12144,3344,544
values_87,12160,4016,560
values_6,12160,4376,568
values_68,12176,5144,584
values_69,12144,2736,528
values_1,12160,3032,536
values_45,12144,432,432
values_33,12144,792,456
values_15,12144,1712,496
values_93,12176,5144,584
values_24,12144,1712,496
values_25,12144,3344,544
values_26,12144,944,464
values_48,12144,656,448
values_71,12144,536,440
values_76,12144,2736,528
values_7,12160,4376,568
values_50,12160,4016,560
values_22,12144,944,464
values_4,12144,2736,528
values_32,12160,8336,640
values_77,12176,5976,600
values_91,12160,3032,536
values_42,12144,432,432
values_13,12144,344,424
values_41,12176,5552,592
values_55,12144,176,400
values_31,12176,5976,600
values_66,12160,4376,568
values_65,12176,6872,616
values_62,12176,6872,616
values_21,12144,2192,512
values_95,12176,5144,584
values_84,12176,6872,616
values_58,12176,7832,632
values_64,12160,1496,488
values_83,12144,944,464
values_94,12176,5976,600
values_0,12176,4752,576
values_99,12144,176,400
values_96,12144,944,464
values_67,12144,656,448
values_61,12160,3032,536
values_43,12176,7832,632
values_2,12176,7344,624
values_54,12160,1496,488
values_30,12176,6872,616
values_59,12160,6416,608
values_85,12144,344,424
values_74,12144,272,416
values_90,12176,4752,576
values_18,12176,7832,632
values_52,12160,3672,552
values_44,12144,432,432
values_17,12144,1712,496
values_36,12144,216,408
values_49,12144,1296,480
values_86,12160,8336,640
values_37,12144,2736,528
values_56,12160,1112,472
values_63,12144,2736,528
values_35,12144,944,464
values_97,12160,1112,472
values_75,12144,1944,504
values_57,12144,176,400
values_88,12160,4016,560
values_10,12144,272,416
values_53,12144,2736,528
values_8,12144,344,424
values_39,12144,216,408
values_47,12176,7344,624
values_60,12160,4016,560
values_89,12160,3032,536
values_51,12144,3344,544
values_14,12160,1496,488
values_28,12160,8336,640
values_16,12144,176,400
values_34,12160,4376,568
values_82,12144,656,448
values_46,12160,3672,552
values_27,12160,6416,608
values_20,12176,5976,600
values_9,12144,1944,504
values_92,12144,2736,528
values_3,12144,432,432
values_98,12160,6416,608
values_29,12160,6416,608
values_80,12176,5144,584
values_73,12176,7344,624
