id,clockCycles,assemblyInstr,cacheHit,cacheHitInstr,cacheHitData,MOPS,MIPS,MFLOPS,cInstr,cGimple,cReleaseSSA,cOptimized,LineExe,BranchesExe,OnceEe,CallExe,cc4cs,cc4ir,cc4ssa,cc4opt
values_11,30360,16087,96.4,98.5,74.0,26.49,26.49,0.00,2192,20899,12302,9776,100.00,100.00,100.00,100.00,13.850,1.453,2.468,3.106
values_19,27632,14581,96.2,98.4,73.6,26.38,26.38,0.00,1976,18760,11062,8810,100.00,100.00,100.00,100.00,13.984,1.473,2.498,3.136
values_12,33064,17617,96.4,98.7,73.6,26.64,26.64,0.00,2410,23133,13586,10773,100.00,100.00,100.00,100.00,13.720,1.429,2.434,3.069
values_38,49961,26618,96.1,99.1,66.5,26.64,26.64,0.00,3700,36164,21093,16592,100.00,100.00,100.00,100.00,13.503,1.382,2.369,3.011
values_81,6712,2849,90.7,91.8,66.7,21.22,21.22,0.00,267,1712,1240,1124,100.00,100.00,100.00,100.00,25.139,3.921,5.413,5.972
values_5,83084,42787,94.8,99.5,50.6,25.75,25.75,0.00,6021,59518,34517,26964,100.00,100.00,100.00,100.00,13.799,1.396,2.407,3.081
values_40,16645,8425,95.3,97.2,73.3,25.31,25.31,0.00,1088,9841,5935,4801,100.00,100.00,100.00,100.00,15.299,1.691,2.805,3.467
values_70,18589,9502,95.6,97.5,73.8,25.56,25.56,0.00,1246,11440,6831,5501,100.00,100.00,100.00,100.00,14.919,1.625,2.721,3.379
values_23,27699,14593,96.2,98.4,73.3,26.34,26.34,0.00,1983,18834,11076,8819,100.00,100.00,100.00,100.00,13.968,1.471,2.501,3.141
values_72,6125,2528,89.8,90.8,65.1,20.64,20.64,0.00,218,1233,963,898,100.00,100.00,100.00,100.00,28.096,4.968,6.360,6.821
values_79,16740,8453,95.3,97.2,73.0,25.25,25.25,0.00,1091,9867,5936,4813,100.00,100.00,100.00,100.00,15.344,1.697,2.820,3.478
values_78,35844,19217,96.5,98.8,73.4,26.81,26.81,0.00,2629,25321,14924,11809,100.00,100.00,100.00,100.00,13.634,1.416,2.402,3.035
values_87,42424,22772,96.5,99.0,72.2,26.84,26.84,0.00,3158,30661,17915,14109,100.00,100.00,100.00,100.00,13.434,1.384,2.368,3.007
values_6,46003,24644,96.4,99.0,70.5,26.79,26.79,0.00,3420,33322,19462,15322,100.00,100.00,100.00,100.00,13.451,1.381,2.364,3.002
values_68,54135,28658,95.8,99.2,63.6,26.47,26.47,0.00,3989,39085,22787,17913,100.00,100.00,100.00,100.00,13.571,1.385,2.376,3.022
values_69,30360,16064,96.3,98.5,73.5,26.46,26.46,0.00,2194,20982,12299,9776,100.00,100.00,100.00,100.00,13.838,1.447,2.468,3.106
values_1,33000,17604,96.4,98.7,74.0,26.67,26.67,0.00,2410,23118,13591,10769,100.00,100.00,100.00,100.00,13.693,1.427,2.428,3.064
values_45,8371,3770,92.4,93.8,70.2,22.52,22.52,0.00,406,3066,2013,1734,100.00,100.00,100.00,100.00,20.618,2.730,4.158,4.828
values_33,11886,5729,94.2,95.9,71.9,24.10,24.10,0.00,696,5940,3668,3036,100.00,100.00,100.00,100.00,17.078,2.001,3.240,3.915
values_15,20631,10643,95.7,97.8,73.2,25.79,25.79,0.00,1409,13066,7784,6246,100.00,100.00,100.00,100.00,14.642,1.579,2.650,3.303
values_93,54134,28649,95.8,99.2,63.3,26.46,26.46,0.00,3985,39063,22776,17908,100.00,100.00,100.00,100.00,13.584,1.386,2.377,3.023
values_24,20630,10631,95.7,97.8,72.7,25.77,25.77,0.00,1407,13074,7774,6246,100.00,100.00,100.00,100.00,14.662,1.578,2.654,3.303
values_25,35965,19252,96.5,98.8,73.9,26.76,26.76,0.00,2662,25684,14994,11843,100.00,100.00,100.00,100.00,13.511,1.400,2.399,3.037
values_26,13316,6548,94.6,96.4,72.4,24.59,24.59,0.00,814,7110,4352,3573,100.00,100.00,100.00,100.00,16.359,1.873,3.060,3.727
values_48,10518,4979,93.7,95.3,71.6,23.67,23.67,0.00,579,4783,3026,2543,100.00,100.00,100.00,100.00,18.166,2.199,3.476,4.136
values_71,9342,4314,93.0,94.6,69.8,23.09,23.09,0.00,484,3849,2479,2100,100.00,100.00,100.00,100.00,19.302,2.427,3.768,4.449
values_76,30187,16040,96.3,98.5,74.1,26.57,26.57,0.00,2184,20862,12284,9759,100.00,100.00,100.00,100.00,13.822,1.447,2.457,3.093
values_7,45977,24636,96.4,99.0,70.3,26.79,26.79,0.00,3415,33273,19444,15326,100.00,100.00,100.00,100.00,13.463,1.382,2.365,3.000
values_50,42472,22751,96.4,99.0,71.3,26.78,26.78,0.00,3153,30640,17893,14113,100.00,100.00,100.00,100.00,13.470,1.386,2.374,3.009
