inputName,text,data,bss
values_11,6828,3140,1560
values_19,6732,7100,1680
values_12,6466,2620,1520
values_38,8184,4804,1624
values_81,8184,4804,1624
values_5,6686,8324,1704
values_40,6862,6364,1664
values_70,6608,2884,1544
values_23,7232,3644,1584
values_72,6784,5692,1648
values_79,7636,4292,1608
values_78,6958,3292,1568
values_87,7096,3460,1576
values_6,6824,2780,1536
values_68,8184,4804,1624
values_69,8184,4804,1624
values_1,6610,7492,1688
values_45,6678,5084,1632
values_33,6824,2780,1536
values_15,6812,9220,1720
values_93,7494,4060,1600
values_24,6810,10180,1736
values_25,7494,4060,1600
values_26,6732,7100,1680
values_48,6466,2620,1520
values_71,6862,6364,1664
values_76,7636,4292,1608
values_7,6678,5084,1632
values_50,6828,3140,1560
values_22,6824,2780,1536
values_4,8184,4804,1624
values_32,6712,8764,1712
values_77,6958,3292,1568
values_91,6048,2564,1512
values_42,8184,4804,1624
values_13,6784,5692,1648
values_41,6466,2620,1520
values_55,6608,2884,1544
values_31,6784,5692,1648
values_66,7232,3644,1584
values_65,6784,5692,1648
values_62,6690,10684,1744
values_21,6810,10180,1736
values_95,6708,7900,1696
values_84,6810,10180,1736
values_58,6466,2620,1520
values_64,6896,6724,1672
values_83,6896,6724,1672
values_94,7494,4060,1600
values_0,6712,5380,1640
values_99,6696,3004,1552
values_96,6810,6020,1656
values_67,6696,3004,1552
values_61,7636,4292,1608
values_43,6824,2780,1536
values_2,7494,4060,1600
values_54,7494,4060,1600
values_30,7776,4540,1616
values_59,6958,3292,1568
values_85,6784,5692,1648
values_74,6828,3140,1560
values_90,7776,4540,1616
values_18,6712,5380,1640
values_52,6708,7900,1696
values_44,6712,8764,1712
values_17,6812,9220,1720
values_36,6786,9692,1728
values_49,6862,6364,1664
values_86,6708,7900,1696
values_37,6048,2564,1512
values_56,6678,5084,1632
values_63,7776,4540,1616
values_35,6048,2564,1512
values_97,6686,8324,1704
values_75,6784,5692,1648
values_57,6812,9220,1720
values_88,6466,2620,1520
values_10,6712,8764,1712
values_53,6812,9220,1720
values_8,7358,3844,1592
values_39,7636,4292,1608
values_47,6686,8324,1704
values_60,6678,5084,1632
values_89,7232,3644,1584
values_51,6048,2564,1512
values_14,6812,9220,1720
values_28,7232,3644,1584
values_16,6810,6020,1656
values_34,6690,10684,1744
values_82,7096,3460,1576
values_46,6896,6724,1672
values_27,6958,3292,1568
values_20,6896,6724,1672
values_9,6610,7492,1688
values_92,7096,3460,1576
values_3,6732,7100,1680
values_98,6732,7100,1680
values_29,7494,4060,1600
values_80,7232,3644,1584
values_73,6824,2780,1536
