inputName,text,data,bss
values_11,652,1568,64
values_19,1776,242,30
values_12,1028,128,24
values_38,2040,338,34
values_81,664,1058,54
values_5,668,1922,70
values_40,664,1682,66
values_70,664,1352,60
values_23,1780,512,40
values_72,1028,128,24
values_79,1776,242,30
values_78,636,800,48
values_87,672,1458,62
values_6,492,2048,72
values_68,536,8,12
values_69,1308,98,22
values_1,2140,392,36
values_45,1008,50,18
values_33,700,32,16
values_15,1560,200,28
values_93,1452,162,26
values_24,636,1152,56
values_25,664,1250,58
values_26,636,1800,68
values_48,1028,128,24
values_71,1776,242,30
values_76,1780,512,40
values_7,1028,128,24
values_50,2140,392,36
values_22,664,1250,58
values_4,1796,288,32
values_32,672,722,46
values_77,1028,128,24
values_91,636,800,48
values_42,1796,288,32
values_13,1308,98,22
values_41,672,882,50
values_55,2448,578,42
values_31,2040,338,34
values_66,672,722,46
values_65,2196,450,38
values_62,700,32,16
values_21,2196,450,38
values_95,536,8,12
values_84,672,1458,62
values_58,1796,288,32
values_64,700,32,16
values_83,2140,392,36
values_94,636,648,44
values_0,636,648,44
values_99,1796,288,32
values_96,536,8,12
values_67,672,882,50
values_61,788,18,14
values_43,1452,162,26
values_2,636,648,44
values_54,2448,578,42
values_30,636,1800,68
values_59,1560,200,28
values_85,672,882,50
values_74,1008,50,18
values_90,2196,450,38
values_18,2040,338,34
values_52,2140,392,36
values_44,2448,578,42
values_17,664,1058,54
values_36,636,1800,68
values_49,1796,288,32
values_86,1008,50,18
values_37,636,1800,68
values_56,492,2048,72
values_63,1028,128,24
values_35,664,1682,66
values_97,1008,50,18
values_75,636,648,44
values_57,652,1568,64
values_88,672,882,50
values_10,1008,50,18
values_53,492,2048,72
values_8,672,1458,62
values_39,664,1682,66
values_47,700,32,16
values_60,664,1682,66
values_89,636,648,44
values_51,700,32,16
values_14,2040,338,34
values_28,664,1682,66
values_16,1008,50,18
values_34,1796,288,32
values_82,636,648,44
values_46,672,722,46
values_27,1796,288,32
values_20,2040,338,34
values_9,788,18,14
values_92,636,648,44
values_3,672,722,46
values_98,2196,450,38
values_29,536,8,12
values_80,664,1250,58
values_73,2040,338,34
