id,clockCycles,assemblyInstr,cInstr,cGimple,cReleaseSSA,cOptimized,LineExe,BranchesExe,OnceEe,CallExe,cc4cs,cc4ir,cc4ssa,cc4opt
values_11,43828,21500,2152,17405,14710,12970,100.00,85.71,71.43,100.00,20.366,2.518,2.979,3.379
values_19,36044,17702,1774,14123,11941,10537,100.00,85.71,71.43,100.00,20.318,2.552,3.019,3.421
values_12,13667,6926,696,5015,4252,3772,100.00,85.71,71.43,100.00,19.636,2.725,3.214,3.623
values_38,3677,1848,262,1613,1375,1231,100.00,85.71,71.43,100.00,14.034,2.280,2.674,2.987
values_81,3607,1808,262,1613,1375,1231,100.00,85.71,71.43,100.00,13.767,2.236,2.623,2.930
values_5,44389,21848,2566,21029,17767,15655,100.00,85.71,71.43,100.00,17.299,2.111,2.498,2.835
values_40,3621,1816,262,1613,1375,1231,100.00,85.71,71.43,100.00,13.821,2.245,2.633,2.942
values_70,31665,15560,1542,12125,10255,9055,100.00,85.71,71.43,100.00,20.535,2.612,3.088,3.497
values_23,38590,18954,1896,15179,12832,11320,100.00,85.71,71.43,100.00,20.353,2.542,3.007,3.409
values_72,3934,1970,174,983,841,757,100.00,85.71,71.43,100.00,22.609,4.002,4.678,5.197
values_79,4691,2382,216,1279,1092,980,100.00,85.71,71.43,100.00,21.718,3.668,4.296,4.787
values_78,11642,5764,552,3853,3270,2906,100.00,85.71,71.43,100.00,21.091,3.022,3.560,4.006
values_87,3932,1970,174,983,841,757,100.00,85.71,71.43,100.00,22.598,4.000,4.675,5.194
values_6,41083,20172,2022,16273,13755,12131,100.00,85.71,71.43,100.00,20.318,2.525,2.987,3.387
values_68,9115,4522,424,2843,2416,2152,100.00,85.71,71.43,100.00,21.498,3.206,3.773,4.236
values_69,13712,6953,696,5015,4252,3772,100.00,85.71,71.43,100.00,19.701,2.734,3.225,3.635
values_1,8999,4466,424,2843,2416,2152,100.00,85.71,71.43,100.00,21.224,3.165,3.725,4.182
values_45,21411,10546,1032,7795,6600,5840,100.00,85.71,71.43,100.00,20.747,2.747,3.244,3.666
values_33,44389,21848,2566,21029,17767,15655,100.00,85.71,71.43,100.00,17.299,2.111,2.498,2.835
values_15,6729,3365,312,1985,1690,1510,100.00,85.71,71.43,100.00,21.567,3.390,3.982,4.456
values_93,3579,1792,262,1613,1375,1231,100.00,85.71,71.43,100.00,13.660,2.219,2.603,2.907
values_24,7833,3894,366,2395,2037,1817,100.00,85.71,71.43,100.00,21.402,3.271,3.845,4.311
values_25,13817,7016,696,5015,4252,3772,100.00,85.71,71.43,100.00,19.852,2.755,3.250,3.663
values_26,46564,22842,2286,18575,15697,13837,100.00,85.71,71.43,100.00,20.369,2.507,2.966,3.365
values_48,41259,20260,2022,16273,13755,12131,100.00,85.71,71.43,100.00,20.405,2.535,3.000,3.401
values_71,9018,4474,424,2843,2416,2152,100.00,85.71,71.43,100.00,21.269,3.172,3.733,4.191
values_76,17834,8836,856,6329,5362,4750,100.00,85.71,71.43,100.00,20.834,2.818,3.326,3.755
values_7,6834,3428,312,1985,1690,1510,100.00,85.71,71.43,100.00,21.904,3.443,4.044,4.526
values_50,7920,3934,366,2395,2037,1817,100.00,85.71,71.43,100.00,21.639,3.307,3.888,4.359
values_22,3211,1612,230,1412,1204,1078,100.00,85.71,71.43,100.00,13.961,2.274,2.667,2.979
values_4,36017,17694,1774,14123,11941,10537,100.00,85.71,71.43,100.00,20.303,2.550,3.016,3.418
values_32,6804,3410,312,1985,1690,1510,100.00,85.71,71.43,100.00,21.808,3.428,4.026,4.506
values_77,29262,14390,1432,11183,9460,8356,100.00,85.71,71.43,100.00,20.434,2.617,3.093,3.502
values_91,11682,5780,552,3853,3270,2906,100.00,85.71,71.43,100.00,21.163,3.032,3.572,4.020
values_42,11564,5724,552,3853,3270,2906,100.00,85.71,71.43,100.00,20.949,3.001,3.536,3.979
values_13,6744,3374,312,1985,1690,1510,100.00,85.71,71.43,100.00,21.615,3.397,3.991,4.466
values_41,453,220,46,179,157,145,100.00,85.71,64.29,100.00,9.848,2.531,2.885,3.124
values_55,3024,1483,146,820,702,632,100.00,85.71,71.43,100.00,20.712,3.688,4.308,4.785
values_31,33813,16616,1656,13105,11082,9782,100.00,85.71,71.43,100.00,20.418,2.580,3.051,3.457
values_66,10258,5084,486,3329,2827,2515,100.00,85.71,71.43,100.00,21.107,3.081,3.629,4.079
values_65,9094,4514,424,2843,2416,2152,100.00,85.71,71.43,100.00,21.448,3.199,3.764,4.226
values_62,13757,6980,696,5015,4252,3772,100.00,85.71,71.43,100.00,19.766,2.743,3.235,3.647
values_21,38665,18978,1896,15179,12832,11320,100.00,85.71,71.43,100.00,20.393,2.547,3.013,3.416
values_95,11616,5748,552,3853,3270,2906,100.00,85.71,71.43,100.00,21.043,3.015,3.552,3.997
values_84,10256,5084,486,3329,2827,2515,100.00,85.71,71.43,100.00,21.103,3.081,3.628,4.078
values_58,33756,16584,1656,13105,11082,9782,100.00,85.71,71.43,100.00,20.384,2.576,3.046,3.451
values_64,10257,5084,486,3329,2827,2515,100.00,85.71,71.43,100.00,21.105,3.081,3.628,4.078
values_83,17654,8728,856,6329,5362,4750,100.00,85.71,71.43,100.00,20.624,2.789,3.292,3.717
values_94,23285,11460,1126,8585,7267,6427,100.00,85.71,71.43,100.00,20.679,2.712,3.204,3.623
values_0,19624,9670,942,7043,5965,5281,100.00,85.71,71.43,100.00,20.832,2.786,3.290,3.716
values_99,3900,1954,174,983,841,757,100.00,85.71,71.43,100.00,22.414,3.967,4.637,5.152
values_96,3119,1573,136,725,622,562,100.00,85.71,71.43,100.00,22.934,4.302,5.014,5.550
values_67,7937,3942,366,2395,2037,1817,100.00,85.71,71.43,100.00,21.686,3.314,3.896,4.368
values_61,36077,17718,1774,14123,11941,10537,100.00,85.71,71.43,100.00,20.337,2.554,3.021,3.424
values_43,38951,19114,1896,15179,12832,11320,100.00,85.71,71.43,100.00,20.544,2.566,3.035,3.441
values_2,45419,23142,2424,19783,16716,14732,100.00,85.71,71.43,100.00,18.737,2.296,2.717,3.083
values_54,3134,1582,136,725,622,562,100.00,85.71,71.43,100.00,23.044,4.323,5.039,5.577
values_30,3621,1816,262,1613,1375,1231,100.00,85.71,71.43,100.00,13.821,2.245,2.633,2.942
values_59,23214,11428,1126,8585,7267,6427,100.00,85.71,71.43,100.00,20.616,2.704,3.194,3.612
values_85,36125,17742,1774,14123,11941,10537,100.00,85.71,71.43,100.00,20.364,2.558,3.025,3.428
values_74,27281,13418,1326,10279,8697,7685,100.00,85.71,71.43,100.00,20.574,2.654,3.137,3.550
values_90,19613,9670,942,7043,5965,5281,100.00,85.71,71.43,100.00,20.821,2.785,3.288,3.714
values_18,17684,8746,856,6329,5362,4750,100.00,85.71,71.43,100.00,20.659,2.794,3.298,3.723
values_52,41111,20180,2022,16273,13755,12131,100.00,85.71,71.43,100.00,20.332,2.526,2.989,3.389
values_44,19614,9670,942,7043,5965,5281,100.00,85.71,71.43,100.00,20.822,2.785,3.288,3.714
values_17,9034,4482,424,2843,2416,2152,100.00,85.71,71.43,100.00,21.307,3.178,3.739,4.198
values_36,13082,6466,622,4415,3745,3325,100.00,85.71,71.43,100.00,21.032,2.963,3.493,3.934
values_49,4661,2364,216,1279,1092,980,100.00,85.71,71.43,100.00,21.579,3.644,4.268,4.756
values_86,1191,592,102,505,435,395,100.00,85.71,71.43,100.00,11.676,2.358,2.738,3.015
values_37,7936,3942,366,2395,2037,1817,100.00,85.71,71.43,100.00,21.683,3.314,3.896,4.368
values_56,27138,13346,1326,10279,8697,7685,100.00,85.71,71.43,100.00,20.466,2.640,3.120,3.531
values_63,453,220,46,179,157,145,100.00,85.71,64.29,100.00,9.848,2.531,2.885,3.124
values_35,11616,5748,552,3853,3270,2906,100.00,85.71,71.43,100.00,21.043,3.015,3.552,3.997
