id,clockCycles,assemblyInstr,cInstr,cGimple,cReleaseSSA,cOptimized,LineExe,BranchesExe,OnceEe,CallExe,cc4cs,cc4ir,cc4ssa,cc4opt
values_11,3894,2205,774,7122,5288,2809,100.00,85.71,71.43,100.00,5.031,0.547,0.736,1.386
values_19,12689,7084,2152,21955,15610,7723,100.00,85.71,71.43,100.00,5.896,0.578,0.813,1.643
values_12,3960,2249,774,7122,5288,2809,100.00,85.71,71.43,100.00,5.116,0.556,0.749,1.410
values_38,3563,1972,622,5560,4180,2263,100.00,85.71,71.43,100.00,5.728,0.641,0.852,1.574
values_81,7096,3969,1224,11867,8618,4419,100.00,85.71,71.43,100.00,5.797,0.598,0.823,1.606
values_5,11242,6251,1896,19145,13670,6813,100.00,85.71,71.43,100.00,5.929,0.587,0.822,1.650
values_40,14488,8041,2566,26530,18760,9193,100.00,85.71,71.43,100.00,5.646,0.546,0.772,1.576
values_70,6443,3620,1126,10822,7888,4069,100.00,85.71,71.43,100.00,5.722,0.595,0.817,1.583
values_23,5918,3352,1032,9825,7190,3733,100.00,85.71,71.43,100.00,5.734,0.602,0.823,1.585
values_72,177,90,34,207,178,445,100.00,85.71,64.29,75.00,5.206,0.855,0.994,0.398
values_79,3003,1712,552,4851,3674,2011,100.00,85.71,71.43,100.00,5.440,0.619,0.817,1.493
values_78,4748,2673,856,7975,5890,3103,100.00,85.71,71.43,100.00,5.547,0.595,0.806,1.530
values_87,208,108,50,268,252,343,100.00,85.71,71.43,100.00,4.160,0.776,0.825,0.606
values_6,1582,832,424,3577,2758,14090,100.00,85.71,71.43,100.00,3.731,0.442,0.574,0.112
values_68,4784,2697,856,7975,5890,3103,100.00,85.71,71.43,100.00,5.589,0.600,0.812,1.542
values_69,6347,3556,1126,10822,7888,4069,100.00,85.71,71.43,100.00,5.637,0.586,0.805,1.560
values_1,10405,5798,1774,17812,12748,6379,100.00,85.71,71.43,100.00,5.865,0.584,0.816,1.631
values_45,6305,3528,1126,10822,7888,4069,100.00,85.71,71.43,100.00,5.599,0.583,0.799,1.550
values_33,799,429,216,1605,1310,4070,100.00,85.71,71.43,100.00,3.699,0.498,0.610,0.196
values_15,9639,5404,1656,16527,11858,5959,100.00,85.71,71.43,100.00,5.821,0.583,0.813,1.618
values_93,776,423,262,2026,1624,5834,100.00,85.71,71.43,100.00,2.962,0.383,0.478,0.133
values_24,848,464,216,1605,1310,4070,100.00,85.71,71.43,100.00,3.926,0.528,0.647,0.208
values_25,3538,1913,696,6317,4718,2529,100.00,85.71,71.43,100.00,5.083,0.560,0.750,1.399
values_26,1606,850,424,3577,2758,14090,100.00,85.71,71.43,100.00,3.788,0.449,0.582,0.114
values_48,511,274,136,907,778,1700,100.00,85.71,71.43,100.00,3.757,0.563,0.657,0.301
values_71,14422,7997,2566,26530,18760,9193,100.00,85.71,71.43,100.00,5.620,0.544,0.769,1.569
values_76,848,464,216,1605,1310,4070,100.00,85.71,71.43,100.00,3.926,0.528,0.647,0.208
values_7,638,330,174,1232,1028,2710,100.00,85.71,71.43,100.00,3.667,0.518,0.621,0.235
values_50,91,47,26,111,114,117,100.00,85.71,64.29,75.00,3.500,0.820,0.798,0.778
values_22,268,140,72,401,374,514,100.00,85.71,64.29,100.00,3.722,0.668,0.717,0.521
values_4,7156,4009,1224,11867,8618,4419,100.00,85.71,71.43,100.00,5.846,0.603,0.830,1.619
values_32,12647,7056,2152,21955,15610,7723,100.00,85.71,71.43,100.00,5.877,0.576,0.810,1.638
values_77,5330,2992,942,8876,6524,3411,100.00,85.71,71.43,100.00,5.658,0.600,0.817,1.563
values_91,208,108,50,268,252,343,100.00,85.71,71.43,100.00,4.160,0.776,0.825,0.606
values_42,180,99,54,316,284,492,100.00,85.71,71.43,100.00,3.333,0.570,0.634,0.366
values_13,9669,5424,1656,16527,11858,5959,100.00,85.71,71.43,100.00,5.839,0.585,0.815,1.623
values_41,3015,1720,552,4851,3674,2011,100.00,85.71,71.43,100.00,5.462,0.622,0.821,1.499
values_55,7120,3985,1224,11867,8618,4419,100.00,85.71,71.43,100.00,5.817,0.600,0.826,1.611
values_31,12713,7100,2152,21955,15610,7723,100.00,85.71,71.43,100.00,5.908,0.579,0.814,1.646
values_66,2564,1448,486,4190,3200,1773,100.00,85.71,71.43,100.00,5.276,0.612,0.801,1.446
values_65,128,71,46,220,220,230,100.00,85.71,64.29,100.00,2.783,0.582,0.582,0.557
values_62,1574,826,424,3577,2758,14090,100.00,85.71,71.43,100.00,3.712,0.440,0.571,0.112
values_21,3870,2189,774,7122,5288,2809,100.00,85.71,71.43,100.00,5.000,0.543,0.732,1.378
values_95,180,99,54,316,284,492,100.00,85.71,71.43,100.00,3.333,0.570,0.634,0.366
values_84,12003,6580,2022,20526,14624,7261,100.00,85.71,71.43,100.00,5.936,0.585,0.821,1.653
values_58,13358,7384,2286,23432,16628,8199,100.00,85.71,71.43,100.00,5.843,0.570,0.803,1.629
values_64,128,71,46,220,220,230,100.00,85.71,64.29,100.00,2.783,0.582,0.582,0.557
values_83,13461,7124,2424,24957,17678,8689,100.00,85.71,71.43,100.00,5.553,0.539,0.761,1.549
values_94,263,140,58,364,316,677,100.00,85.71,71.43,100.00,4.534,0.723,0.832,0.388
values_0,11943,6540,2022,20526,14624,7261,100.00,85.71,71.43,100.00,5.907,0.582,0.817,1.645
values_99,12725,7108,2152,21955,15610,7723,100.00,85.71,71.43,100.00,5.913,0.580,0.815,1.648
values_96,1550,808,424,3577,2758,14090,100.00,85.71,71.43,100.00,3.656,0.433,0.562,0.110
values_67,9627,5396,1656,16527,11858,5959,100.00,85.71,71.43,100.00,5.813,0.583,0.812,1.616
values_61,7132,3993,1224,11867,8618,4419,100.00,85.71,71.43,100.00,5.827,0.601,0.828,1.614
values_43,12731,7112,2152,21955,15610,7723,100.00,85.71,71.43,100.00,5.916,0.580,0.816,1.648
values_2,9615,5388,1656,16527,11858,5959,100.00,85.71,71.43,100.00,5.806,0.582,0.811,1.614
values_54,5870,3320,1032,9825,7190,3733,100.00,85.71,71.43,100.00,5.688,0.597,0.816,1.572
values_30,13317,7028,2424,24957,17678,8689,100.00,85.71,71.43,100.00,5.494,0.534,0.753,1.533
values_59,7671,4294,1326,12960,9380,4783,100.00,85.71,71.43,100.00,5.785,0.592,0.818,1.604
values_85,7677,4298,1326,12960,9380,4783,100.00,85.71,71.43,100.00,5.790,0.592,0.818,1.605
values_74,13430,7432,2286,23432,16628,8199,100.00,85.71,71.43,100.00,5.875,0.573,0.808,1.638
values_90,2594,1468,486,4190,3200,1773,100.00,85.71,71.43,100.00,5.337,0.619,0.811,1.463
values_18,10417,5806,1774,17812,12748,6379,100.00,85.71,71.43,100.00,5.872,0.585,0.817,1.633
values_52,91,47,26,111,114,117,100.00,85.71,64.29,75.00,3.500,0.820,0.798,0.778
values_44,8846,4916,1542,15290,11000,5553,100.00,85.71,71.43,100.00,5.737,0.579,0.804,1.593
values_17,2594,1468,486,4190,3200,1773,100.00,85.71,71.43,100.00,5.337,0.619,0.811,1.463
values_36,3882,2197,774,7122,5288,2809,100.00,85.71,71.43,100.00,5.016,0.545,0.734,1.382
values_49,7695,4310,1326,12960,9380,4783,100.00,85.71,71.43,100.00,5.803,0.594,0.820,1.609
values_86,3051,1744,552,4851,3674,2011,100.00,85.71,71.43,100.00,5.527,0.629,0.830,1.517
values_37,7132,3993,1224,11867,8618,4419,100.00,85.71,71.43,100.00,5.827,0.601,0.828,1.614
values_56,3622,1969,696,6317,4718,2529,100.00,85.71,71.43,100.00,5.204,0.573,0.768,1.432
values_63,11559,6334,1950,19793,14102,7002,100.00,85.71,71.43,100.00,5.928,0.584,0.820,1.651
values_35,3912,2217,774,7122,5288,2809,100.00,85.71,71.43,100.00,5.054,0.549,0.740,1.393
values_97,8930,4972,1542,15290,11000,5553,100.00,85.71,71.43,100.00,5.791,0.584,0.812,1.608
values_75,862,474,216,1605,1310,4070,100.00,85.71,71.43,100.00,3.991,0.537,0.658,0.212
