inputName,text,data,bss
values_11,1230,442,25
values_19,1378,530,27
values_12,1164,900,34
values_38,1160,50,11
values_81,800,16,8
values_5,1212,576,28
values_40,1266,362,23
values_70,1154,144,16
values_23,1142,400,24
values_72,1468,82,13
values_79,1230,442,25
values_78,1150,1024,36
values_87,1468,82,13
values_6,1212,576,28
values_68,1202,324,22
values_69,1602,100,14
values_1,1150,1024,36
values_45,1464,122,15
values_33,1362,842,33
values_15,1142,400,24
values_93,1270,730,31
values_24,1266,362,23
values_25,1300,484,26
values_26,1270,730,31
values_48,1154,144,16
values_71,1088,226,19
values_76,1154,144,16
values_7,1464,122,15
values_50,1116,36,10
values_22,1300,484,26
values_4,842,10,7
values_32,1464,122,15
values_77,1202,324,22
values_91,1138,626,29
values_42,800,16,8
values_13,1162,64,12
values_41,1162,64,12
values_55,1154,144,16
values_31,1602,100,14
values_66,1230,442,25
values_65,1154,144,16
values_62,1266,362,23
values_21,1270,730,31
values_95,600,4,6
values_84,600,4,6
values_58,1270,730,31
values_64,1228,290,21
values_83,1154,144,16
values_94,1602,100,14
values_0,800,16,8
values_99,600,4,6
values_96,1160,50,11
values_67,600,4,6
values_61,1204,676,30
values_43,1266,362,23
values_2,1162,64,12
values_54,1464,122,15
values_30,800,16,8
values_59,600,4,6
values_85,1216,170,17
values_74,1362,842,33
values_90,1116,36,10
values_18,1036,26,9
values_52,1088,226,19
values_44,842,10,7
values_17,1154,144,16
values_36,1266,362,23
values_49,1230,442,25
values_86,1238,962,35
values_37,1036,26,9
values_56,1142,400,24
values_63,1464,122,15
values_35,1378,530,27
values_97,1266,362,23
values_75,1464,122,15
values_57,1142,400,24
values_88,1212,576,28
values_10,1202,324,22
values_53,800,16,8
values_8,1150,1024,36
values_39,1150,1024,36
values_47,1212,576,28
values_60,1468,82,13
values_89,1230,442,25
values_51,1378,530,27
values_14,1150,1024,36
values_28,1116,36,10
values_16,1228,290,21
values_34,1164,900,34
values_82,1238,962,35
values_46,1116,36,10
values_27,1202,324,22
values_20,1228,290,21
values_9,1362,842,33
values_92,1230,442,25
values_3,1138,626,29
values_98,1300,484,26
values_29,1154,144,16
values_80,600,4,6
values_73,1232,196,18
