id,clockCycles,assemblyInstr,cacheHit,cacheHitInstr,cacheHitData,MOPS,MIPS,MFLOPS,cInstr,cGimple,cReleaseSSA,cOptimized,LineExe,BranchesExe,OnceEe,CallExe,cc4cs,cc4ir,cc4ssa,cc4opt
values_11,4887,1726,85.9,87.6,56.4,17.66,17.66,0.00,102,505,435,341,100.00,85.71,71.43,100.00,47.912,9.677,11.234,14.331
values_19,16685,8276,96.4,97.3,71.9,24.80,24.80,0.00,366,2395,2037,1319,100.00,85.71,71.43,100.00,45.587,6.967,8.191,12.650
values_12,11064,5106,94.7,95.6,62.8,23.07,23.07,0.00,174,983,841,645,100.00,85.71,71.43,100.00,63.586,11.255,13.156,17.153
values_38,67320,33274,93.8,99.3,4.5,24.71,24.71,0.00,2424,19783,16716,9278,100.00,85.71,71.43,100.00,27.772,3.403,4.027,7.256
values_81,9770,4394,94.0,94.9,61.2,22.49,22.49,0.00,136,725,622,464,100.00,85.71,71.43,100.00,71.838,13.476,15.707,21.056
values_5,12388,5852,95.3,96.1,65.3,23.62,23.62,0.00,216,1279,1092,758,100.00,85.71,71.43,100.00,57.352,9.686,11.344,16.343
values_40,43048,23356,98.5,99.0,88.3,27.13,27.13,0.00,1542,12125,10255,5841,100.00,85.71,71.43,100.00,27.917,3.550,4.198,7.370
values_70,4341,1424,83.6,85.1,53.4,16.40,16.40,0.00,46,179,157,178,100.00,85.71,64.29,100.00,94.370,24.251,27.650,24.388
values_23,40897,22122,98.4,99.0,87.5,27.05,27.05,0.00,1432,11183,9460,5414,100.00,85.71,71.43,100.00,28.559,3.657,4.323,7.554
values_72,57571,31726,98.8,99.3,91.2,27.55,27.55,0.00,2286,18575,15697,9669,100.00,85.71,71.43,100.00,25.184,3.099,3.668,5.954
values_79,21401,10984,97.3,98.0,80.7,25.66,25.66,0.00,552,3853,3270,2206,100.00,85.71,71.43,100.00,38.770,5.554,6.545,9.701
values_78,45443,24738,98.5,99.1,88.3,27.22,27.22,0.00,1656,13105,11082,6284,100.00,85.71,71.43,100.00,27.441,3.468,4.101,7.232
values_87,6475,2650,90.3,91.9,68.8,20.46,20.46,0.00,262,1613,1375,929,100.00,85.71,71.43,100.00,24.714,4.014,4.709,6.970
