id,clockCycles,assemblyInstr,cInstr,cGimple,cReleaseSSA,cOptimized,LineExe,BranchesExe,OnceEe,CallExe,cc4cs,cc4ir,cc4ssa,cc4opt
values_11,519,364,774,5653,4791,4825,100.00,85.71,71.43,100.00,0.671,0.092,0.108,0.108
values_19,311,212,262,1613,1375,1393,100.00,85.71,71.43,100.00,1.187,0.193,0.226,0.223
values_12,742,532,1224,9413,7966,8010,100.00,85.71,71.43,100.00,0.606,0.079,0.093,0.093
values_38,742,532,1224,9413,7966,8010,100.00,85.71,71.43,100.00,0.606,0.079,0.093,0.093
values_81,425,292,366,2395,2037,2059,100.00,85.71,71.43,100.00,1.161,0.177,0.209,0.206
values_5,231,147,50,217,189,195,100.00,85.71,71.43,100.00,4.620,1.065,1.222,1.185
values_40,615,433,856,6329,5362,5398,100.00,85.71,71.43,100.00,0.718,0.097,0.115,0.114
values_70,997,723,2286,18575,15697,15759,100.00,85.71,71.43,100.00,0.436,0.054,0.064,0.063
values_23,531,363,696,5015,4252,4284,100.00,85.71,71.43,100.00,0.763,0.106,0.125,0.124
values_72,911,652,2022,16273,13755,13813,100.00,85.71,71.43,100.00,0.451,0.056,0.066,0.066
values_79,821,597,1432,11183,9460,9508,100.00,85.71,71.43,100.00,0.573,0.073,0.087,0.086
values_78,854,616,1656,13105,11082,11134,100.00,85.71,71.43,100.00,0.516,0.065,0.077,0.077
values_87,531,377,552,3853,3270,3298,100.00,85.71,71.43,100.00,0.962,0.138,0.162,0.161
values_6,705,509,1032,7795,6600,6640,100.00,85.71,71.43,100.00,0.683,0.090,0.107,0.106
values_68,705,509,1032,7795,6600,6640,100.00,85.71,71.43,100.00,0.683,0.090,0.107,0.106
values_69,615,433,856,6329,5362,5398,100.00,85.71,71.43,100.00,0.718,0.097,0.115,0.114
values_1,997,723,2286,18575,15697,15759,100.00,85.71,71.43,100.00,0.436,0.054,0.064,0.063
values_45,155,98,46,179,157,163,100.00,85.71,64.29,100.00,3.370,0.866,0.987,0.951
values_33,479,332,486,3329,2827,2853,100.00,85.71,71.43,100.00,0.986,0.144,0.169,0.168
values_15,832,587,1774,14123,11941,11995,100.00,85.71,71.43,100.00,0.469,0.059,0.070,0.069
