inputName,text,data,bss
values_11,700,5000,232
values_19,700,4608,224
values_12,620,2048,160
values_38,676,1800,152
values_81,696,2312,168
values_5,708,2888,184
values_40,608,128,64
values_70,708,2888,184
values_23,620,2048,160
values_72,708,2888,184
values_79,620,2048,160
values_78,688,1568,144
values_87,676,1352,136
values_6,700,3200,192
values_68,700,2592,176
values_69,712,4232,216
values_1,604,32,48
values_45,620,2048,160
values_33,712,6728,264
values_15,700,3200,192
values_93,700,5000,232
values_24,700,5408,240
values_25,688,1568,144
values_26,700,5832,248
values_48,700,5408,240
values_71,700,5832,248
values_76,700,5408,240
values_7,712,4232,216
values_50,688,1568,144
values_22,620,2048,160
values_4,700,4608,224
values_32,696,2312,168
values_77,680,968,120
values_91,676,1800,152
values_42,676,1352,136
values_13,676,1800,152
values_41,696,7688,280
values_55,676,1800,152
values_31,608,128,64
values_66,620,8192,288
values_65,700,4608,224
values_62,700,5832,248
values_21,700,2592,176
values_95,700,5408,240
values_84,700,3200,192
values_58,700,4608,224
values_64,676,648,104
values_83,700,3872,208
values_94,700,5408,240
values_0,700,3872,208
values_99,712,6728,264
values_96,712,4232,216
values_67,700,3528,200
values_61,700,3872,208
values_43,680,968,120
values_2,696,2312,168
values_54,700,3200,192
values_30,620,8192,288
values_59,688,1568,144
values_85,700,2592,176
values_74,700,4608,224
values_90,700,4608,224
values_18,664,72,56
values_52,708,2888,184
values_44,700,5832,248
values_17,696,7688,280
values_36,700,5832,248
values_49,700,6272,256
values_86,676,1800,152
values_37,700,5832,248
values_56,668,288,80
values_63,700,5000,232
values_35,680,968,120
values_97,700,3200,192
values_75,700,4608,224
values_57,688,1568,144
values_88,708,2888,184
values_10,668,800,112
values_53,620,2048,160
values_8,700,5832,248
values_39,676,648,104
values_47,600,512,96
values_60,712,6728,264
values_89,668,288,80
values_51,700,5408,240
values_14,680,968,120
values_28,688,1568,144
values_16,676,1800,152
values_34,712,6728,264
values_82,620,2048,160
values_46,700,5000,232
values_27,700,2592,176
values_20,676,1800,152
values_9,604,32,48
values_92,700,5000,232
values_3,668,800,112
values_98,680,968,120
values_29,668,800,112
values_80,700,2592,176
values_73,676,200,72
