id,clockCycles,assemblyInstr,cInstr,cGimple,cReleaseSSA,cOptimized,LineExe,BranchesExe,OnceEe,CallExe,cc4cs,cc4ir,cc4ssa,cc4opt
values_11,205,153,79,201,285,296,100.00,100.00,75.00,100.00,2.595,1.020,0.719,0.693
values_19,181,131,68,169,255,265,100.00,100.00,75.00,100.00,2.662,1.071,0.710,0.683
values_12,181,133,68,169,255,265,100.00,100.00,83.33,100.00,2.662,1.071,0.710,0.683
values_38,321,249,116,274,465,478,100.00,100.00,83.33,100.00,2.767,1.172,0.690,0.672
values_81,368,292,136,327,547,563,100.00,100.00,83.33,100.00,2.706,1.125,0.673,0.654
values_5,110,70,39,95,121,126,100.00,100.00,75.00,100.00,2.821,1.158,0.909,0.873
values_40,321,249,116,274,465,478,100.00,100.00,83.33,100.00,2.767,1.172,0.690,0.672
values_70,80,46,39,95,121,87,100.00,100.00,75.00,100.00,2.051,0.842,0.661,0.920
values_23,344,268,125,295,517,532,100.00,100.00,83.33,100.00,2.752,1.166,0.665,0.647
values_72,80,46,39,95,121,87,100.00,100.00,75.00,100.00,2.051,0.842,0.661,0.920
values_79,80,48,39,95,121,87,100.00,100.00,75.00,100.00,2.051,0.842,0.661,0.920
values_78,80,48,39,95,121,87,100.00,100.00,75.00,100.00,2.051,0.842,0.661,0.920
values_87,321,249,116,274,465,478,100.00,100.00,83.33,100.00,2.767,1.172,0.690,0.672
values_6,110,70,39,95,121,126,100.00,100.00,75.00,100.00,2.821,1.158,0.909,0.873
values_68,227,169,82,195,319,329,100.00,100.00,83.33,100.00,2.768,1.164,0.712,0.690
values_69,275,213,102,248,401,414,100.00,100.00,91.67,100.00,2.696,1.109,0.686,0.664
values_1,134,90,50,127,151,157,100.00,100.00,75.00,100.00,2.680,1.055,0.887,0.854
values_45,321,249,116,274,465,478,100.00,100.00,83.33,100.00,2.767,1.172,0.690,0.672
values_33,321,249,116,274,465,478,100.00,100.00,83.33,100.00,2.767,1.172,0.690,0.672
values_15,181,133,68,169,255,265,100.00,100.00,83.33,100.00,2.662,1.071,0.710,0.683
values_93,344,268,125,295,517,532,100.00,100.00,83.33,100.00,2.752,1.166,0.665,0.647
values_24,392,318,145,348,599,617,100.00,100.00,83.33,100.00,2.703,1.126,0.654,0.635
values_25,368,286,136,327,547,563,100.00,100.00,91.67,100.00,2.706,1.125,0.673,0.654
values_26,344,268,125,295,517,532,100.00,100.00,83.33,100.00,2.752,1.166,0.665,0.647
values_48,321,251,116,274,465,478,100.00,100.00,91.67,100.00,2.767,1.172,0.690,0.672
values_71,80,48,39,95,121,87,100.00,100.00,75.00,100.00,2.051,0.842,0.661,0.920
values_76,80,46,39,95,121,87,100.00,100.00,75.00,100.00,2.051,0.842,0.661,0.920
values_7,110,70,39,95,121,126,100.00,100.00,75.00,100.00,2.821,1.158,0.909,0.873
values_50,133,89,46,108,153,158,100.00,100.00,83.33,100.00,2.891,1.231,0.869,0.842
values_22,368,286,136,327,547,563,100.00,100.00,91.67,100.00,2.706,1.125,0.673,0.654
values_4,110,72,39,95,121,126,100.00,100.00,83.33,100.00,2.821,1.158,0.909,0.873
values_32,368,290,134,319,527,541,100.00,100.00,91.67,100.00,2.746,1.154,0.698,0.680
values_77,80,46,39,95,121,87,100.00,100.00,75.00,100.00,2.051,0.842,0.661,0.920
values_91,392,318,145,348,599,617,100.00,100.00,83.33,100.00,2.703,1.126,0.654,0.635
values_42,344,272,123,287,497,510,100.00,100.00,91.67,100.00,2.797,1.199,0.692,0.675
values_13,181,133,68,169,255,265,100.00,100.00,83.33,100.00,2.662,1.071,0.710,0.683
values_41,368,292,134,319,527,541,100.00,100.00,83.33,100.00,2.746,1.154,0.698,0.680
values_55,133,89,46,108,153,158,100.00,100.00,83.33,100.00,2.891,1.231,0.869,0.842
values_31,344,274,123,287,497,510,100.00,100.00,91.67,100.00,2.797,1.199,0.692,0.675
values_66,227,169,82,195,319,329,100.00,100.00,83.33,100.00,2.768,1.164,0.712,0.690
values_65,227,169,82,195,319,329,100.00,100.00,83.33,100.00,2.768,1.164,0.712,0.690
values_62,275,213,104,256,421,436,100.00,100.00,91.67,100.00,2.644,1.074,0.653,0.631
values_21,392,318,145,348,599,617,100.00,100.00,91.67,100.00,2.703,1.126,0.654,0.635
values_95,344,268,125,295,517,532,100.00,100.00,83.33,100.00,2.752,1.166,0.665,0.647
values_84,368,290,136,327,547,563,100.00,100.00,91.67,100.00,2.706,1.125,0.673,0.654
values_58,157,107,57,140,183,189,100.00,100.00,91.67,100.00,2.754,1.121,0.858,0.831
values_64,275,217,104,256,421,436,100.00,100.00,83.33,100.00,2.644,1.074,0.653,0.631
values_83,321,249,116,274,465,478,100.00,100.00,83.33,100.00,2.767,1.172,0.690,0.672
values_94,392,316,145,348,599,617,100.00,100.00,91.67,100.00,2.703,1.126,0.654,0.635
values_0,110,70,39,95,121,126,100.00,100.00,75.00,100.00,2.821,1.158,0.909,0.873
values_99,368,290,136,327,547,563,100.00,100.00,91.67,100.00,2.706,1.125,0.673,0.654
values_96,344,268,125,295,517,532,100.00,100.00,83.33,100.00,2.752,1.166,0.665,0.647
values_67,227,169,82,195,319,329,100.00,100.00,83.33,100.00,2.768,1.164,0.712,0.690
values_61,275,217,104,256,421,436,100.00,100.00,83.33,100.00,2.644,1.074,0.653,0.631
values_43,321,249,116,274,465,478,100.00,100.00,83.33,100.00,2.767,1.172,0.690,0.672
values_2,110,70,39,95,121,126,100.00,100.00,83.33,100.00,2.821,1.158,0.909,0.873
values_54,181,135,66,161,235,243,100.00,100.00,91.67,100.00,2.742,1.124,0.770,0.745
values_30,321,249,116,274,465,478,100.00,100.00,91.67,100.00,2.767,1.172,0.690,0.672
values_59,157,107,57,140,183,189,100.00,100.00,91.67,100.00,2.754,1.121,0.858,0.831
values_85,321,249,116,274,465,478,100.00,100.00,83.33,100.00,2.767,1.172,0.690,0.672
values_74,80,48,39,95,121,87,100.00,100.00,75.00,100.00,2.051,0.842,0.661,0.920
values_90,344,268,125,295,517,532,100.00,100.00,83.33,100.00,2.752,1.166,0.665,0.647
values_18,181,133,68,169,255,265,100.00,100.00,83.33,100.00,2.662,1.071,0.710,0.683
values_52,181,133,66,161,235,243,100.00,100.00,91.67,100.00,2.742,1.124,0.770,0.745
values_44,321,251,116,274,465,478,100.00,100.00,91.67,100.00,2.767,1.172,0.690,0.672
values_17,181,131,68,169,255,265,100.00,100.00,75.00,100.00,2.662,1.071,0.710,0.683
values_36,321,249,116,274,465,478,100.00,100.00,83.33,100.00,2.767,1.172,0.690,0.672
values_49,321,249,116,274,465,478,100.00,100.00,91.67,100.00,2.767,1.172,0.690,0.672
values_86,321,249,116,274,465,478,100.00,100.00,83.33,100.00,2.767,1.172,0.690,0.672
values_37,321,249,116,274,465,478,100.00,100.00,83.33,100.00,2.767,1.172,0.690,0.672
values_56,133,89,46,108,153,158,100.00,100.00,83.33,100.00,2.891,1.231,0.869,0.842
values_63,227,169,82,195,319,329,100.00,100.00,83.33,100.00,2.768,1.164,0.712,0.690
values_35,321,249,116,274,465,478,100.00,100.00,83.33,100.00,2.767,1.172,0.690,0.672
values_97,344,268,125,295,517,532,100.00,100.00,83.33,100.00,2.752,1.166,0.665,0.647
values_75,80,46,39,95,121,87,100.00,100.00,75.00,100.00,2.051,0.842,0.661,0.920
values_57,181,133,66,161,235,243,100.00,100.00,91.67,100.00,2.742,1.124,0.770,0.745
values_88,321,251,116,274,465,478,100.00,100.00,91.67,100.00,2.767,1.172,0.690,0.672
values_10,181,131,68,169,255,265,100.00,100.00,75.00,100.00,2.662,1.071,0.710,0.683
values_53,133,89,46,108,153,158,100.00,100.00,83.33,100.00,2.891,1.231,0.869,0.842
values_8,110,72,39,95,121,126,100.00,100.00,83.33,100.00,2.821,1.158,0.909,0.873
values_39,321,249,116,274,465,478,100.00,100.00,83.33,100.00,2.767,1.172,0.690,0.672
values_47,321,249,116,274,465,478,100.00,100.00,83.33,100.00,2.767,1.172,0.690,0.672
values_60,227,169,82,195,319,329,100.00,100.00,83.33,100.00,2.768,1.164,0.712,0.690
values_89,368,290,136,327,547,563,100.00,100.00,91.67,100.00,2.706,1.125,0.673,0.654
values_51,181,133,66,161,235,243,100.00,100.00,91.67,100.00,2.742,1.124,0.770,0.745
values_14,181,133,68,169,255,265,100.00,100.00,83.33,100.00,2.662,1.071,0.710,0.683
values_28,344,270,125,295,517,532,100.00,100.00,91.67,100.00,2.752,1.166,0.665,0.647
values_16,181,131,68,169,255,265,100.00,100.00,75.00,100.00,2.662,1.071,0.710,0.683
values_34,368,290,134,319,527,541,100.00,100.00,91.67,100.00,2.746,1.154,0.698,0.680
values_82,368,290,134,319,527,541,100.00,100.00,91.67,100.00,2.746,1.154,0.698,0.680
values_46,244,186,82,181,349,358,100.00,100.00,83.33,100.00,2.976,1.348,0.699,0.682
values_27,344,268,125,295,517,532,100.00,100.00,83.33,100.00,2.752,1.166,0.665,0.647
values_20,344,268,125,295,517,532,100.00,100.00,83.33,100.00,2.752,1.166,0.665,0.647
values_9,134,90,50,127,151,157,100.00,100.00,83.33,100.00,2.680,1.055,0.887,0.854
values_92,392,314,145,348,599,617,100.00,100.00,91.67,100.00,2.703,1.126,0.654,0.635
values_3,110,70,39,95,121,126,100.00,100.00,75.00,100.00,2.821,1.158,0.909,0.873
values_98,344,268,125,295,517,532,100.00,100.00,83.33,100.00,2.752,1.166,0.665,0.647
values_29,344,272,125,295,517,532,100.00,100.00,91.67,100.00,2.752,1.166,0.665,0.647
values_80,321,249,116,274,465,478,100.00,100.00,83.33,100.00,2.767,1.172,0.690,0.672
values_73,80,46,39,95,121,87,100.00,100.00,75.00,100.00,2.051,0.842,0.661,0.920
