id,clockCycles,assemblyInstr,cInstr,cGimple,cReleaseSSA,cOptimized,LineExe,BranchesExe,OnceEe,CallExe,cc4cs,cc4ir,cc4ssa,cc4opt
values_11,1182,836,84,150,229,238,100.00,100.00,91.67,100.00,14.071,7.880,5.162,4.966
values_19,1241,892,91,159,253,262,100.00,100.00,91.67,100.00,13.637,7.805,4.905,4.737
values_12,1105,775,73,125,202,209,100.00,100.00,83.33,100.00,15.137,8.840,5.470,5.287
values_38,1270,889,82,136,234,241,100.00,100.00,83.33,100.00,15.488,9.338,5.427,5.270
values_81,226,143,19,35,36,27,100.00,83.33,50.00,100.00,11.895,6.457,6.278,8.370
values_5,964,673,68,118,186,193,100.00,100.00,75.00,100.00,14.176,8.169,5.183,4.995
values_40,688,475,46,80,119,124,100.00,100.00,83.33,100.00,14.957,8.600,5.782,5.548
values_70,2461,1707,153,245,464,475,100.00,100.00,75.00,100.00,16.085,10.045,5.304,5.181
values_23,585,395,39,71,95,100,100.00,100.00,83.33,100.00,15.000,8.239,6.158,5.850
values_72,2457,1705,153,245,464,475,100.00,100.00,83.33,100.00,16.059,10.029,5.295,5.173
values_79,2449,1701,153,245,464,475,100.00,100.00,83.33,100.00,16.007,9.996,5.278,5.156
values_78,2461,1707,153,245,464,475,100.00,100.00,75.00,100.00,16.085,10.045,5.304,5.181
values_87,226,143,19,35,36,27,100.00,83.33,50.00,100.00,11.895,6.457,6.278,8.370
values_6,1033,730,79,143,213,222,100.00,100.00,75.00,100.00,13.076,7.224,4.850,4.653
values_68,589,397,39,71,95,100,100.00,100.00,75.00,100.00,15.103,8.296,6.200,5.890
values_69,666,458,50,96,122,129,100.00,100.00,83.33,100.00,13.320,6.938,5.459,5.163
values_1,960,671,68,118,186,193,100.00,100.00,83.33,100.00,14.118,8.136,5.161,4.974
values_45,761,534,57,105,146,153,100.00,100.00,83.33,100.00,13.351,7.248,5.212,4.974
