id,clockCycles,assemblyInstr,cacheHit,cacheHitInstr,cacheHitData,MOPS,MIPS,MFLOPS,cInstr,cGimple,cReleaseSSA,cOptimized,LineExe,BranchesExe,OnceEe,CallExe,cc4cs,cc4ir,cc4ssa,cc4opt
values_11,3925,1324,84.5,85.7,54.2,16.87,16.87,0.00,39,71,69,75,100.00,100.00,75.00,100.00,100.641,55.282,56.884,52.333
values_19,3919,1322,84.4,85.7,54.2,16.87,16.87,0.00,39,71,69,75,100.00,100.00,75.00,100.00,100.487,55.197,56.797,52.253
values_12,3925,1324,84.5,85.7,54.2,16.87,16.87,0.00,39,71,69,75,100.00,100.00,75.00,100.00,100.641,55.282,56.884,52.333
values_38,4101,1440,85.5,86.9,52.5,17.56,17.56,0.00,106,176,201,218,100.00,100.00,83.33,100.00,38.689,23.301,20.403,18.812
values_81,4224,1513,86.2,87.5,51.6,17.91,17.91,0.00,147,239,282,306,100.00,100.00,83.33,100.00,28.735,17.674,14.979,13.804
values_5,4106,1439,85.5,86.9,50.8,17.52,17.52,0.00,104,174,197,214,100.00,100.00,83.33,100.00,39.481,23.598,20.843,19.187
values_40,4190,1492,85.9,87.3,50.0,17.80,17.80,0.00,136,226,260,283,100.00,100.00,91.67,100.00,30.809,18.540,16.115,14.806
values_70,4103,1441,85.6,86.9,52.5,17.56,17.56,0.00,106,176,201,218,100.00,100.00,83.33,100.00,38.708,23.312,20.413,18.821
values_23,4153,1467,85.7,87.1,50.0,17.66,17.66,0.00,120,206,228,249,100.00,100.00,91.67,100.00,34.608,20.160,18.215,16.679
values_72,4140,1463,85.7,87.1,51.6,17.67,17.67,0.00,117,201,222,242,100.00,100.00,75.00,100.00,35.385,20.597,18.649,17.107
values_79,4099,1439,85.5,86.9,52.5,17.55,17.55,0.00,106,176,201,218,100.00,100.00,83.33,100.00,38.670,23.290,20.393,18.803
values_78,4103,1441,85.6,86.9,52.5,17.56,17.56,0.00,106,176,201,218,100.00,100.00,83.33,100.00,38.708,23.312,20.413,18.821
values_87,4224,1513,86.2,87.5,51.6,17.91,17.91,0.00,147,239,282,306,100.00,100.00,83.33,100.00,28.735,17.674,14.979,13.804
