inputName,text,data,bss
values_11,5720,2548,1472
values_19,5720,2548,1472
values_12,5720,2548,1472
values_38,5726,2724,1472
values_81,5720,2540,1472
values_5,5726,2700,1472
values_40,5720,2612,1472
values_70,5720,2612,1472
values_23,5730,2524,1472
values_72,5720,2612,1472
values_79,5720,2612,1472
values_78,5720,2612,1472
values_87,5720,2540,1472
values_6,5726,2700,1472
values_68,5726,2748,1472
values_69,5726,2748,1472
values_1,5726,2700,1472
values_45,5720,2612,1472
values_33,5726,2724,1472
values_15,5720,2548,1472
values_93,5726,2748,1472
values_24,5730,2524,1472
values_25,5730,2524,1472
values_26,5730,2524,1472
values_48,5720,2612,1472
values_71,5720,2612,1472
values_76,5720,2612,1472
values_7,5726,2700,1472
values_50,5726,2756,1472
values_22,5730,2524,1472
values_4,5726,2700,1472
values_32,5726,2724,1472
values_77,5720,2612,1472
values_91,5726,2748,1472
values_42,5720,2612,1472
values_13,5720,2548,1472
values_41,5720,2612,1472
values_55,5726,2756,1472
values_31,5726,2724,1472
values_66,5726,2748,1472
values_65,5726,2748,1472
values_62,5726,2748,1472
values_21,5730,2524,1472
values_95,5726,2748,1472
values_84,5720,2540,1472
values_58,5726,2756,1472
values_64,5726,2748,1472
values_83,5720,2540,1472
values_94,5726,2748,1472
values_0,5726,2700,1472
values_99,5726,2748,1472
values_96,5726,2748,1472
values_67,5726,2748,1472
values_61,5726,2748,1472
values_43,5720,2612,1472
values_2,5726,2700,1472
values_54,5726,2756,1472
values_30,5726,2724,1472
values_59,5726,2756,1472
values_85,5720,2540,1472
values_74,5720,2612,1472
values_90,5726,2748,1472
values_18,5720,2548,1472
values_52,5726,2756,1472
values_44,5720,2612,1472
values_17,5720,2548,1472
values_36,5726,2724,1472
values_49,5720,2612,1472
values_86,5720,2540,1472
values_37,5726,2724,1472
values_56,5726,2756,1472
values_63,5726,2748,1472
values_35,5726,2724,1472
values_97,5726,2748,1472
values_75,5720,2612,1472
values_57,5726,2756,1472
values_88,5720,2540,1472
values_10,5720,2548,1472
values_53,5726,2756,1472
values_8,5726,2700,1472
values_39,5726,2724,1472
values_47,5720,2612,1472
values_60,5726,2748,1472
values_89,5720,2540,1472
values_51,5726,2756,1472
values_14,5720,2548,1472
values_28,5730,2524,1472
values_16,5720,2548,1472
values_34,5726,2724,1472
values_82,5720,2540,1472
values_46,5720,2612,1472
values_27,5730,2524,1472
values_20,5730,2524,1472
values_9,5726,2700,1472
values_92,5726,2748,1472
values_3,5726,2700,1472
values_98,5726,2748,1472
values_29,5730,2524,1472
values_80,5720,2540,1472
values_73,5720,2612,1472
