id,clockCycles,assemblyInstr,cInstr,cGimple,cReleaseSSA,cOptimized,LineExe,BranchesExe,OnceEe,CallExe,cc4cs,cc4ir,cc4ssa,cc4opt
values_11,290,234,116,190,341,350,100.00,100.00,91.67,100.00,2.500,1.526,0.850,0.829
values_19,290,234,116,190,341,350,100.00,100.00,91.67,100.00,2.500,1.526,0.850,0.829
values_12,290,234,127,215,368,379,100.00,100.00,91.67,100.00,2.283,1.349,0.788,0.765
values_38,218,167,68,118,186,193,100.00,100.00,75.00,100.00,3.206,1.847,1.172,1.130
values_81,279,226,109,181,317,326,100.00,100.00,91.67,100.00,2.560,1.541,0.880,0.856
values_5,290,234,127,215,368,379,100.00,100.00,83.33,100.00,2.283,1.349,0.788,0.765
values_40,255,201,82,136,234,241,100.00,100.00,83.33,100.00,3.110,1.875,1.090,1.058
values_70,290,234,125,201,373,382,100.00,100.00,83.33,100.00,2.320,1.443,0.777,0.759
values_23,290,234,145,237,432,443,100.00,100.00,83.33,100.00,2.000,1.224,0.671,0.655
values_72,290,234,145,237,432,443,100.00,100.00,83.33,100.00,2.000,1.224,0.671,0.655
values_79,290,234,125,201,373,382,100.00,100.00,91.67,100.00,2.320,1.443,0.777,0.759
values_78,290,234,136,226,400,411,100.00,100.00,91.67,100.00,2.132,1.283,0.725,0.706
values_87,279,226,109,181,317,326,100.00,100.00,91.67,100.00,2.560,1.541,0.880,0.856
values_6,290,234,116,190,341,350,100.00,100.00,83.33,100.00,2.500,1.526,0.850,0.829
values_68,207,159,57,105,146,153,100.00,100.00,91.67,100.00,3.632,1.971,1.418,1.353
values_69,207,159,46,80,119,124,100.00,100.00,91.67,100.00,4.500,2.587,1.739,1.669
values_1,290,234,116,190,341,350,100.00,100.00,91.67,100.00,2.500,1.526,0.850,0.829
values_45,255,201,104,174,301,310,100.00,100.00,83.33,100.00,2.452,1.466,0.847,0.823
values_33,218,167,68,118,186,193,100.00,100.00,75.00,100.00,3.206,1.847,1.172,1.130
values_15,290,234,116,190,341,350,100.00,100.00,91.67,100.00,2.500,1.526,0.850,0.829
values_93,301,242,147,239,440,451,100.00,100.00,91.67,100.00,2.048,1.259,0.684,0.667
values_24,290,234,136,226,400,411,100.00,100.00,91.67,100.00,2.132,1.283,0.725,0.706
values_25,290,234,145,237,432,443,100.00,100.00,83.33,100.00,2.000,1.224,0.671,0.655
values_26,290,234,125,201,373,382,100.00,100.00,83.33,100.00,2.320,1.443,0.777,0.759
values_48,255,201,104,174,301,310,100.00,100.00,91.67,100.00,2.452,1.466,0.847,0.823
values_71,290,234,125,201,373,382,100.00,100.00,91.67,100.00,2.320,1.443,0.777,0.759
values_76,290,234,125,201,373,382,100.00,100.00,83.33,100.00,2.320,1.443,0.777,0.759
values_7,290,234,116,190,341,350,100.00,100.00,91.67,100.00,2.500,1.526,0.850,0.829
values_50,244,193,73,125,202,209,100.00,100.00,83.33,100.00,3.342,1.952,1.208,1.167
values_22,290,234,145,237,432,443,100.00,100.00,91.67,100.00,2.000,1.224,0.671,0.655
values_4,290,234,116,190,341,350,100.00,100.00,91.67,100.00,2.500,1.526,0.850,0.829
values_32,218,167,68,118,186,193,100.00,100.00,75.00,100.00,3.206,1.847,1.172,1.130
values_77,290,234,136,226,400,411,100.00,100.00,91.67,100.00,2.132,1.283,0.725,0.706
values_91,301,242,127,203,381,390,100.00,100.00,83.33,100.00,2.370,1.483,0.790,0.772
values_42,255,201,104,174,301,310,100.00,100.00,91.67,100.00,2.452,1.466,0.847,0.823
values_13,290,234,127,215,368,379,100.00,100.00,83.33,100.00,2.283,1.349,0.788,0.765
values_41,255,201,102,172,293,302,100.00,100.00,91.67,100.00,2.500,1.483,0.870,0.844
values_55,244,193,91,159,253,262,100.00,100.00,83.33,100.00,2.681,1.535,0.964,0.931
values_31,218,167,68,118,186,193,100.00,100.00,75.00,100.00,3.206,1.847,1.172,1.130
values_66,207,159,46,80,119,124,100.00,100.00,83.33,100.00,4.500,2.587,1.739,1.669
values_65,207,159,57,105,146,153,100.00,100.00,83.33,100.00,3.632,1.971,1.418,1.353
values_62,207,159,57,105,146,153,100.00,100.00,83.33,100.00,3.632,1.971,1.418,1.353
values_21,290,234,136,226,400,411,100.00,100.00,91.67,100.00,2.132,1.283,0.725,0.706
values_95,301,242,149,241,448,459,100.00,100.00,83.33,100.00,2.020,1.249,0.672,0.656
