inputName,size
11,16
19,12
12,26
38,26
81,29
5,15
40,27
70,5
23,6
72,27
79,4
78,30
87,31
6,2
68,31
69,23
1,30
45,18
33,22
15,10
93,16
24,4
25,7
26,18
48,15
71,14
76,19
7,30
50,4
22,28
4,23
32,14
77,27
91,14
42,26
13,18
41,7
55,18
31,31
66,9
65,2
62,3
21,31
95,3
84,6
58,20
64,10
83,7
94,6
0,11
99,25
96,12
67,9
61,3
43,17
2,20
54,31
30,29
59,4
85,11
74,11
90,14
18,2
52,6
44,21
17,21
36,18
49,2
86,26
37,32
56,27
63,15
35,16
97,26
75,16
57,30
88,9
10,28
53,31
8,10
39,6
47,24
60,19
89,7
51,9
14,29
28,20
16,12
34,11
82,30
46,30
27,11
20,27
9,6
92,16
3,11
98,11
29,17
80,28
73,27
