id,clockCycles,assemblyInstr,cInstr,cGimple,cReleaseSSA,cOptimized,LineExe,BranchesExe,OnceEe,CallExe,cc4cs,cc4ir,cc4ssa,cc4opt
values_11,60568,32728,1338,9307,5836,3286,100.00,100.00,100.00,100.00,45.268,6.508,10.378,18.432
values_19,23967,13159,537,3589,2229,1289,100.00,100.00,100.00,100.00,44.631,6.678,10.752,18.593
values_12,12930,7112,302,1965,1198,708,100.00,100.00,100.00,100.00,42.815,6.580,10.793,18.263
values_38,89146,48116,1942,13697,8598,4800,100.00,100.00,100.00,100.00,45.904,6.508,10.368,18.572
values_81,2217,1238,59,303,189,325,100.00,100.00,100.00,100.00,37.576,7.317,11.730,6.822
values_5,224259,120763,4685,32991,21501,11881,100.00,100.00,100.00,100.00,47.867,6.798,10.430,18.875
values_40,2217,1238,59,303,189,325,100.00,100.00,100.00,100.00,37.576,7.317,11.730,6.822
values_70,2217,1238,59,303,189,325,100.00,100.00,100.00,100.00,37.576,7.317,11.730,6.822
values_23,225519,121435,4769,34335,21753,11965,100.00,100.00,100.00,100.00,47.289,6.568,10.367,18.848
values_72,366800,197317,7594,54269,35224,19322,100.00,100.00,100.00,100.00,48.301,6.759,10.413,18.984
values_79,125687,67769,2713,19401,12141,6729,100.00,100.00,100.00,100.00,46.328,6.478,10.352,18.678
values_78,6037,3333,151,951,555,339,100.00,100.00,100.00,100.00,39.980,6.348,10.877,17.808
values_87,125102,67457,2674,18777,12024,6690,100.00,100.00,100.00,100.00,46.785,6.663,10.404,18.700
values_6,88681,47868,1911,13201,8505,4769,100.00,100.00,100.00,100.00,46.406,6.718,10.427,18.595
values_68,366740,197285,7590,54205,35212,19318,100.00,100.00,100.00,100.00,48.319,6.766,10.415,18.984
values_69,125087,67449,2673,18761,12021,6689,100.00,100.00,100.00,100.00,46.796,6.667,10.406,18.700
values_1,224139,120699,4677,32863,21477,11873,100.00,100.00,100.00,100.00,47.924,6.820,10.436,18.878
values_45,2217,1238,59,303,189,325,100.00,100.00,100.00,100.00,37.576,7.317,11.730,6.822
values_33,291982,156844,6042,43061,27858,15320,100.00,100.00,100.00,100.00,48.325,6.781,10.481,19.059
values_15,125342,67585,2690,19033,12072,6706,100.00,100.00,100.00,100.00,46.596,6.586,10.383,18.691
values_93,367385,197629,7633,54893,35341,19361,100.00,100.00,100.00,100.00,48.131,6.693,10.395,18.976
values_24,224784,121043,4720,33551,21606,11916,100.00,100.00,100.00,100.00,47.624,6.700,10.404,18.864
values_25,125057,67433,2671,18729,12015,6687,100.00,100.00,100.00,100.00,46.820,6.677,10.408,18.702
values_26,23922,13135,534,3541,2220,1286,100.00,100.00,100.00,100.00,44.798,6.756,10.776,18.602
values_48,2262,1262,62,351,198,361,100.00,100.00,100.00,100.00,36.484,6.444,11.424,6.266
values_71,40309,22106,887,6163,3777,2143,100.00,100.00,100.00,100.00,45.444,6.540,10.672,18.810
values_76,40249,22074,883,6099,3765,2139,100.00,100.00,100.00,100.00,45.582,6.599,10.690,18.817
values_7,6007,3317,149,919,549,337,100.00,100.00,100.00,100.00,40.315,6.536,10.942,17.825
values_50,5947,3285,145,855,537,333,100.00,100.00,100.00,100.00,41.014,6.956,11.074,17.859
values_22,5917,3269,143,823,531,331,100.00,100.00,100.00,100.00,41.378,7.190,11.143,17.876
values_4,124742,67265,2650,18393,11952,6666,100.00,100.00,100.00,100.00,47.072,6.782,10.437,18.713
values_32,23832,13087,528,3445,2202,1280,100.00,100.00,100.00,100.00,45.136,6.918,10.823,18.619
values_77,292327,157028,6065,43429,27927,15343,100.00,100.00,100.00,100.00,48.199,6.731,10.468,19.053
values_91,12795,7040,293,1821,1171,699,100.00,100.00,100.00,100.00,43.669,7.026,10.927,18.305
values_42,125042,67425,2670,18713,12012,6686,100.00,100.00,100.00,100.00,46.832,6.682,10.410,18.702
values_13,12945,7120,303,1981,1201,709,100.00,100.00,100.00,100.00,42.723,6.535,10.779,18.258
values_41,60253,32560,1317,8971,5773,3265,100.00,100.00,100.00,100.00,45.750,6.716,10.437,18.454
values_55,39994,21938,866,5827,3714,2122,100.00,100.00,100.00,100.00,46.182,6.864,10.768,18.847
values_31,125402,67617,2694,19097,12084,6710,100.00,100.00,100.00,100.00,46.549,6.567,10.378,18.689
values_66,24117,13239,547,3749,2259,1299,100.00,100.00,100.00,100.00,44.090,6.433,10.676,18.566
values_65,13065,7184,311,2109,1225,717,100.00,100.00,100.00,100.00,42.010,6.195,10.665,18.222
values_62,224844,121075,4724,33615,21618,11920,100.00,100.00,100.00,100.00,47.596,6.689,10.401,18.863
values_21,24057,13207,543,3685,2247,1295,100.00,100.00,100.00,100.00,44.304,6.528,10.706,18.577
values_95,12825,7056,295,1853,1177,701,100.00,100.00,100.00,100.00,43.475,6.921,10.896,18.295
values_84,367070,197461,7612,54557,35278,19340,100.00,100.00,100.00,100.00,48.223,6.728,10.405,18.980
values_58,170003,91606,3595,25367,16333,9047,100.00,100.00,100.00,100.00,47.289,6.702,10.409,18.791
values_64,23862,13103,530,3477,2208,1282,100.00,100.00,100.00,100.00,45.023,6.863,10.807,18.613
values_83,2187,1222,57,271,183,301,100.00,100.00,100.00,100.00,38.368,8.070,11.951,7.266
values_94,2187,1222,57,271,183,301,100.00,100.00,100.00,100.00,38.368,8.070,11.951,7.266
values_0,12765,7024,291,1789,1165,697,100.00,100.00,100.00,100.00,43.866,7.135,10.957,18.314
values_99,366395,197101,7567,53837,35143,19295,100.00,100.00,100.00,100.00,48.420,6.806,10.426,18.989
values_96,60493,32688,1333,9227,5821,3281,100.00,100.00,100.00,100.00,45.381,6.556,10.392,18.437
values_67,125087,67449,2673,18761,12021,6689,100.00,100.00,100.00,100.00,46.796,6.667,10.406,18.700
values_61,5992,3309,148,903,546,336,100.00,100.00,100.00,100.00,40.486,6.636,10.974,17.833
values_43,125432,67633,2696,19129,12090,6712,100.00,100.00,100.00,100.00,46.525,6.557,10.375,18.688
values_2,89056,48068,1936,13601,8580,4794,100.00,100.00,100.00,100.00,46.000,6.548,10.379,18.577
values_54,170078,91646,3600,25447,16348,9052,100.00,100.00,100.00,100.00,47.244,6.684,10.404,18.789
values_30,5992,3309,148,903,546,336,100.00,100.00,100.00,100.00,40.486,6.636,10.974,17.833
values_59,292342,157036,6066,43445,27930,15344,100.00,100.00,100.00,100.00,48.194,6.729,10.467,19.053
values_85,367400,197637,7634,54909,35344,19362,100.00,100.00,100.00,100.00,48.127,6.691,10.395,18.975
values_74,12855,7072,297,1885,1183,703,100.00,100.00,100.00,100.00,43.283,6.820,10.866,18.286
values_90,23907,13127,533,3525,2217,1285,100.00,100.00,100.00,100.00,44.854,6.782,10.783,18.605
values_18,12975,7136,305,2013,1207,711,100.00,100.00,100.00,100.00,42.541,6.446,10.750,18.249
values_52,5947,3285,145,855,537,333,100.00,100.00,100.00,100.00,41.014,6.956,11.074,17.859
