id,clockCycles,assemblyInstr,cacheHit,cacheHitInstr,cacheHitData,MOPS,MIPS,MFLOPS,cInstr,cGimple,cReleaseSSA,cOptimized,LineExe,BranchesExe,OnceEe,CallExe,cc4cs,cc4ir,cc4ssa,cc4opt
values_11,726880,583417,99.9,100.0,99.6,40.13,40.13,0.00,99318,1238084,676586,704516,100.00,100.00,100.00,100.00,7.319,0.587,1.074,1.032
values_19,57553,43525,99.4,99.4,99.1,37.81,37.81,0.00,10219,118417,67293,662027,100.00,100.00,100.00,100.00,5.632,0.486,0.855,0.087
values_12,675551,524817,99.9,100.0,99.6,38.84,38.84,0.00,88039,1073782,598833,624092,100.00,100.00,100.00,100.00,7.673,0.629,1.128,1.082
values_38,12584,7985,97.5,97.3,97.9,31.73,31.73,0.00,2070,23088,13010,73305,100.00,100.00,100.00,100.00,6.079,0.545,0.967,0.172
values_81,292198,233649,99.8,99.9,99.5,39.98,39.98,0.00,39656,487830,267432,278586,100.00,100.00,100.00,100.00,7.368,0.599,1.093,1.049
values_5,371692,298775,99.9,99.9,99.5,40.19,40.19,0.00,50213,606727,339451,353875,100.00,100.00,100.00,100.00,7.402,0.613,1.095,1.050
values_40,47721,37544,99.3,99.3,99.0,39.34,39.34,0.00,8294,96333,54378,498039,100.00,100.00,100.00,100.00,5.754,0.495,0.878,0.096
values_70,681208,527635,99.9,100.0,99.6,38.73,38.73,0.00,89448,1109007,608696,633955,100.00,100.00,100.00,100.00,7.616,0.614,1.119,1.075
values_23,481448,384869,99.9,99.9,99.6,39.97,39.97,0.00,65990,830636,447850,466128,100.00,100.00,100.00,100.00,7.296,0.580,1.075,1.033
values_72,676391,525237,99.9,100.0,99.6,38.83,38.83,0.00,88249,1079032,600303,625562,100.00,100.00,100.00,100.00,7.665,0.627,1.127,1.081
values_79,17897,12238,98.2,98.2,98.2,34.19,34.19,0.00,2955,34262,18845,120690,100.00,100.00,100.00,100.00,6.057,0.522,0.950,0.148
values_78,91985,72254,99.6,99.6,99.3,39.27,39.27,0.00,18403,221110,122661,1480658,100.00,100.00,100.00,100.00,4.998,0.416,0.750,0.062
values_87,47825,37596,99.3,99.3,99.0,39.31,39.31,0.00,8320,96983,54560,500405,100.00,100.00,100.00,100.00,5.748,0.493,0.877,0.096
values_6,48291,37828,99.3,99.3,99.0,39.17,39.17,0.00,8436,99883,55372,510961,100.00,100.00,100.00,100.00,5.724,0.483,0.872,0.095
values_68,218085,174479,99.8,99.9,99.4,40.00,40.00,0.00,29369,352259,197143,205563,100.00,100.00,100.00,100.00,7.426,0.619,1.106,1.061
values_69,904402,701007,99.9,100.0,99.7,38.76,38.76,0.00,118929,1468995,811343,845167,100.00,100.00,100.00,100.00,7.605,0.616,1.115,1.070
values_1,288992,232045,99.8,99.9,99.5,40.15,40.15,0.00,38854,467780,261818,272972,100.00,100.00,100.00,100.00,7.438,0.618,1.104,1.059
values_45,196355,151045,99.8,99.9,99.4,38.46,38.46,0.00,25568,309897,171336,178575,100.00,100.00,100.00,100.00,7.680,0.634,1.146,1.100
values_33,376053,300955,99.9,99.9,99.5,40.01,40.01,0.00,51303,633977,347081,361505,100.00,100.00,100.00,100.00,7.330,0.593,1.083,1.040
values_15,4576,1448,83.4,84.1,72.1,15.82,15.82,0.00,160,1593,840,8461,100.00,100.00,100.00,100.00,28.600,2.873,5.448,0.541
values_93,4526,1432,83.2,83.9,72.1,15.82,15.82,0.00,152,1393,784,6973,100.00,100.00,100.00,100.00,29.776,3.249,5.773,0.649
values_24,31240,23628,98.9,99.0,98.7,37.82,37.82,0.00,5216,61121,33832,264229,100.00,100.00,100.00,100.00,5.989,0.511,0.923,0.118
values_25,724540,582255,99.9,100.0,99.6,40.18,40.18,0.00,98737,1223559,672519,700449,100.00,100.00,100.00,100.00,7.338,0.592,1.077,1.034
values_26,683320,528699,99.9,100.0,99.6,38.69,38.69,0.00,89980,1122307,612420,637679,100.00,100.00,100.00,100.00,7.594,0.609,1.116,1.072
values_48,681824,527947,99.9,100.0,99.6,38.72,38.72,0.00,89604,1112907,609788,635047,100.00,100.00,100.00,100.00,7.609,0.613,1.118,1.074
values_71,435903,338049,99.9,99.9,99.6,38.78,38.78,0.00,56769,688684,384343,400618,100.00,100.00,100.00,100.00,7.679,0.633,1.134,1.088
values_76,791614,637931,99.9,100.0,99.7,40.29,40.29,0.00,107349,1313266,731563,762346,100.00,100.00,100.00,100.00,7.374,0.603,1.082,1.038
values_7,161952,128677,99.8,99.9,99.4,39.73,39.73,0.00,21876,265178,146252,152426,100.00,100.00,100.00,100.00,7.403,0.611,1.107,1.062
values_50,58884,44135,99.3,99.4,99.1,37.48,37.48,0.00,10524,126042,69428,691917,100.00,100.00,100.00,100.00,5.595,0.467,0.848,0.085
values_22,30808,23400,98.9,99.0,98.7,37.98,37.98,0.00,5102,58271,33034,255451,100.00,100.00,100.00,100.00,6.038,0.529,0.933,0.121
values_4,24330,17091,98.6,98.6,98.5,35.12,35.12,0.00,3940,45434,25340,179309,100.00,100.00,100.00,100.00,6.175,0.536,0.960,0.136
values_32,12408,7903,97.5,97.3,97.9,31.85,31.85,0.00,2029,22063,12723,71009,100.00,100.00,100.00,100.00,6.115,0.562,0.975,0.175
values_77,69928,53065,99.5,99.5,99.3,37.94,37.94,0.00,15638,190176,103986,1188393,100.00,100.00,100.00,100.00,4.472,0.368,0.672,0.059
values_91,12632,8007,97.5,97.3,97.9,31.69,31.69,0.00,2081,23363,13087,73921,100.00,100.00,100.00,100.00,6.070,0.541,0.965,0.171
values_42,6803,2886,91.2,90.4,94.6,21.21,21.21,0.00,550,5509,3210,52669,100.00,100.00,100.00,100.00,12.369,1.235,2.119,0.129
values_13,216761,173817,99.8,99.9,99.4,40.09,40.09,0.00,29038,343984,194826,203246,100.00,100.00,100.00,100.00,7.465,0.630,1.113,1.066
values_41,220000,175435,99.8,99.9,99.4,39.87,39.87,0.00,29847,364209,200489,208909,100.00,100.00,100.00,100.00,7.371,0.604,1.097,1.053
values_55,4537,1436,83.2,84.0,72.1,15.83,15.83,0.00,154,1443,798,7345,100.00,100.00,100.00,100.00,29.461,3.144,5.685,0.618
values_31,553711,427971,99.9,100.0,99.6,38.65,38.65,0.00,72955,909300,495525,515964,100.00,100.00,100.00,100.00,7.590,0.609,1.117,1.073
values_66,371272,298561,99.9,99.9,99.5,40.21,40.21,0.00,50106,604052,338702,353126,100.00,100.00,100.00,100.00,7.410,0.615,1.096,1.051
values_65,92239,72398,99.6,99.7,99.3,39.24,39.24,0.00,18475,222910,123165,1489226,100.00,100.00,100.00,100.00,4.993,0.414,0.749,0.062
values_62,552611,427421,99.9,100.0,99.6,38.67,38.67,0.00,72680,902425,493600,514039,100.00,100.00,100.00,100.00,7.603,0.612,1.120,1.075
values_21,24610,17227,98.6,98.6,98.5,35.00,35.00,0.00,4008,47134,25816,184069,100.00,100.00,100.00,100.00,6.140,0.522,0.953,0.134
values_95,59180,44283,99.4,99.4,99.1,37.41,37.41,0.00,10598,127892,69946,699169,100.00,100.00,100.00,100.00,5.584,0.463,0.846,0.085
values_84,6934,2936,91.3,90.5,94.6,21.17,21.17,0.00,575,6134,3385,57044,100.00,100.00,100.00,100.00,12.059,1.130,2.048,0.122
values_58,374088,299965,99.9,99.9,99.5,40.09,40.09,0.00,50808,621602,343616,358040,100.00,100.00,100.00,100.00,7.363,0.602,1.089,1.045
values_64,5282,1999,88.6,88.0,91.5,18.92,18.92,0.00,313,3107,1751,18437,100.00,100.00,100.00,100.00,16.875,1.700,3.017,0.286
values_83,682595,528339,99.9,100.0,99.6,38.70,38.70,0.00,89800,1117807,611160,636419,100.00,100.00,100.00,100.00,7.601,0.611,1.117,1.073
values_94,262803,202739,99.8,99.9,99.5,38.57,38.57,0.00,34316,417931,230932,240655,100.00,100.00,100.00,100.00,7.658,0.629,1.138,1.092
values_0,158241,126821,99.8,99.8,99.4,40.07,40.07,0.00,20948,241978,139756,145930,100.00,100.00,100.00,100.00,7.554,0.654,1.132,1.084
values_99,24446,17149,98.6,98.6,98.5,35.08,35.08,0.00,3969,46159,25543,181339,100.00,100.00,100.00,100.00,6.159,0.530,0.957,0.135
values_96,31592,23788,98.9,99.0,98.7,37.65,37.65,0.00,5296,63121,34392,270389,100.00,100.00,100.00,100.00,5.965,0.500,0.919,0.117
values_67,197051,151397,99.8,99.9,99.4,38.42,38.42,0.00,25744,314297,172568,179807,100.00,100.00,100.00,100.00,7.654,0.627,1.142,1.096
