id,clockCycles,assemblyInstr,cInstr,cGimple,cReleaseSSA,cOptimized,LineExe,BranchesExe,OnceEe,CallExe,cc4cs,cc4ir,cc4ssa,cc4opt
values_11,320376,221917,63427,461391,305343,164895,100.00,100.00,100.00,100.00,5.051,0.694,1.049,1.943
values_19,4713,3033,1922,13377,8538,22689,100.00,100.00,100.00,100.00,2.452,0.352,0.552,0.208
values_12,198676,137801,39698,288363,189876,102766,100.00,100.00,100.00,100.00,5.005,0.689,1.046,1.933
values_38,611,386,292,1805,1168,8017,100.00,100.00,100.00,100.00,2.092,0.339,0.523,0.076
values_81,1934,1228,870,5891,3726,60129,100.00,100.00,100.00,100.00,2.223,0.328,0.519,0.032
values_5,396478,274486,78215,569373,377487,203671,100.00,100.00,100.00,100.00,5.069,0.696,1.050,1.947
values_40,112528,78197,22776,165079,107950,58612,100.00,100.00,100.00,100.00,4.941,0.682,1.042,1.920
values_70,151542,105199,30357,219413,144777,78533,100.00,100.00,100.00,100.00,4.992,0.691,1.047,1.930
values_23,95826,66649,19359,139199,91689,49907,100.00,100.00,100.00,100.00,4.950,0.688,1.045,1.920
values_72,531856,367999,104344,759353,505404,272442,100.00,100.00,100.00,100.00,5.097,0.700,1.052,1.952
values_79,28962,18371,11468,82435,53682,266994,100.00,100.00,100.00,100.00,2.525,0.351,0.540,0.108
values_78,23674,15034,9390,67243,43782,203219,100.00,100.00,100.00,100.00,2.521,0.352,0.541,0.116
values_87,215,142,147,887,543,4591,100.00,100.00,100.00,100.00,1.463,0.242,0.396,0.047
values_6,396478,274486,78125,567933,377217,203581,100.00,100.00,100.00,100.00,5.075,0.698,1.051,1.948
values_68,483772,334769,95091,692227,460039,248047,100.00,100.00,100.00,100.00,5.087,0.699,1.052,1.950
values_69,15114,9626,6007,42501,27753,110409,100.00,100.00,100.00,100.00,2.516,0.356,0.545,0.137
values_1,74,45,60,319,192,479,100.00,100.00,100.00,100.00,1.233,0.232,0.385,0.154
values_45,531856,367999,104435,760809,505677,272533,100.00,100.00,100.00,100.00,5.093,0.699,1.052,1.952
values_33,215,142,150,935,552,4834,100.00,100.00,100.00,100.00,1.433,0.230,0.389,0.044
values_15,4713,3033,1947,13777,8613,22889,100.00,100.00,100.00,100.00,2.421,0.342,0.547,0.206
values_93,8922,5706,3574,25031,16270,53959,100.00,100.00,100.00,100.00,2.496,0.356,0.548,0.165
values_24,286282,198384,56856,414007,273204,147572,100.00,100.00,100.00,100.00,5.035,0.691,1.048,1.940
values_25,396478,274486,78344,571437,377874,203800,100.00,100.00,100.00,100.00,5.061,0.694,1.049,1.945
values_26,28962,18371,11496,82883,53766,267414,100.00,100.00,100.00,100.00,2.519,0.349,0.539,0.108
values_48,19074,12129,7579,54029,35179,151615,100.00,100.00,100.00,100.00,2.517,0.353,0.542,0.126
values_71,198676,137801,39622,287147,189648,102690,100.00,100.00,100.00,100.00,5.014,0.692,1.048,1.935
values_76,483772,334769,95058,691699,459940,248014,100.00,100.00,100.00,100.00,5.089,0.699,1.052,1.951
values_7,131068,91051,26344,190301,125340,68046,100.00,100.00,100.00,100.00,4.975,0.689,1.046,1.926
values_50,254698,176530,50538,366505,242752,131290,100.00,100.00,100.00,100.00,5.040,0.695,1.049,1.940
values_22,95826,66649,19418,140143,91866,49966,100.00,100.00,100.00,100.00,4.935,0.684,1.043,1.918
values_4,131068,91051,26390,191037,125478,68092,100.00,100.00,100.00,100.00,4.967,0.686,1.045,1.925
values_32,4713,3033,1930,13505,8562,22753,100.00,100.00,100.00,100.00,2.442,0.349,0.550,0.207
values_77,286282,198384,56636,410487,272544,147352,100.00,100.00,100.00,100.00,5.055,0.697,1.050,1.943
values_91,438678,303660,86427,629579,417549,225179,100.00,100.00,100.00,100.00,5.076,0.697,1.051,1.948
values_42,4713,3033,1922,13377,8538,22689,100.00,100.00,100.00,100.00,2.452,0.352,0.552,0.208
values_13,11746,7495,4740,33871,21666,79022,100.00,100.00,100.00,100.00,2.478,0.347,0.542,0.149
values_41,1934,1228,865,5811,3711,59589,100.00,100.00,100.00,100.00,2.236,0.333,0.521,0.032
values_55,28962,18371,11520,83267,53838,267774,100.00,100.00,100.00,100.00,2.514,0.348,0.538,0.108
values_31,438678,303660,86380,628827,417408,225132,100.00,100.00,100.00,100.00,5.078,0.698,1.051,1.949
values_66,19074,12129,7656,55261,35410,152616,100.00,100.00,100.00,100.00,2.491,0.345,0.539,0.125
values_65,286282,198384,56854,413975,273198,147570,100.00,100.00,100.00,100.00,5.035,0.692,1.048,1.940
values_62,34986,22170,13830,99721,64966,344697,100.00,100.00,100.00,100.00,2.530,0.351,0.539,0.101
values_21,611,386,297,1885,1183,8257,100.00,100.00,100.00,100.00,2.057,0.324,0.516,0.074
values_95,286282,198384,56924,415095,273408,147640,100.00,100.00,100.00,100.00,5.029,0.690,1.047,1.939
values_84,8922,5706,3612,25639,16384,54339,100.00,100.00,100.00,100.00,2.470,0.348,0.545,0.164
values_58,438678,303660,86261,626923,417051,225013,100.00,100.00,100.00,100.00,5.085,0.700,1.052,1.950
values_64,1136,717,531,3493,2211,24439,100.00,100.00,100.00,100.00,2.139,0.325,0.514,0.046
values_83,357076,247299,70526,512901,340030,183564,100.00,100.00,100.00,100.00,5.063,0.696,1.050,1.945
values_94,438678,303660,86303,627595,417177,225055,100.00,100.00,100.00,100.00,5.083,0.699,1.052,1.949
values_0,531856,367999,104476,761465,505800,272574,100.00,100.00,100.00,100.00,5.091,0.698,1.052,1.951
values_99,225528,156391,44865,325313,215127,116411,100.00,100.00,100.00,100.00,5.027,0.693,1.048,1.937
values_96,3233,2090,1325,9099,5797,13505,100.00,100.00,100.00,100.00,2.440,0.355,0.558,0.239
values_67,11746,7495,4716,33487,21594,78758,100.00,100.00,100.00,100.00,2.491,0.351,0.544,0.149
values_61,357076,247299,70527,512917,340033,183565,100.00,100.00,100.00,100.00,5.063,0.696,1.050,1.945
values_43,254698,176530,50668,368585,243142,131420,100.00,100.00,100.00,100.00,5.027,0.691,1.048,1.938
values_2,1934,1228,878,6019,3750,60993,100.00,100.00,100.00,100.00,2.203,0.321,0.516,0.032
values_54,611,386,307,2045,1213,8737,100.00,100.00,100.00,100.00,1.990,0.299,0.504,0.070
values_30,4713,3033,1927,13457,8553,22729,100.00,100.00,100.00,100.00,2.446,0.350,0.551,0.207
values_59,438678,303660,86362,628539,417354,225114,100.00,100.00,100.00,100.00,5.080,0.698,1.051,1.949
values_85,357076,247299,70485,512245,339907,183523,100.00,100.00,100.00,100.00,5.066,0.697,1.051,1.946
values_74,286282,198384,56707,411623,272757,147423,100.00,100.00,100.00,100.00,5.048,0.695,1.050,1.942
values_90,286282,198384,56816,413367,273084,147532,100.00,100.00,100.00,100.00,5.039,0.693,1.048,1.940
values_18,34986,22170,13833,99769,64975,344745,100.00,100.00,100.00,100.00,2.529,0.351,0.538,0.101
values_52,112528,78197,22696,163799,107710,58532,100.00,100.00,100.00,100.00,4.958,0.687,1.045,1.923
values_44,23674,15034,9350,66603,43662,202659,100.00,100.00,100.00,100.00,2.532,0.355,0.542,0.117
values_17,254698,176530,50639,368121,243055,131391,100.00,100.00,100.00,100.00,5.030,0.692,1.048,1.938
values_36,4713,3033,1904,13089,8484,22545,100.00,100.00,100.00,100.00,2.475,0.360,0.556,0.209
values_49,611,386,298,1901,1186,8305,100.00,100.00,100.00,100.00,2.050,0.321,0.515,0.074
values_86,19074,12129,7659,55309,35419,152655,100.00,100.00,100.00,100.00,2.490,0.345,0.539,0.125
values_37,6594,4229,2662,18585,11988,35802,100.00,100.00,100.00,100.00,2.477,0.355,0.550,0.184
values_56,19074,12129,7573,53933,35161,151537,100.00,100.00,100.00,100.00,2.519,0.354,0.542,0.126
values_63,6594,4229,2697,19145,12093,36117,100.00,100.00,100.00,100.00,2.445,0.344,0.545,0.183
values_35,198676,137801,39589,286619,189549,102657,100.00,100.00,100.00,100.00,5.018,0.693,1.048,1.935
values_97,74,45,59,303,189,455,100.00,100.00,100.00,100.00,1.254,0.244,0.392,0.163
values_75,174046,120789,34798,251987,166246,90086,100.00,100.00,100.00,100.00,5.002,0.691,1.047,1.932
values_57,215,142,147,887,543,4591,100.00,100.00,100.00,100.00,1.463,0.242,0.396,0.047
values_88,95826,66649,19415,140095,91857,49963,100.00,100.00,100.00,100.00,4.936,0.684,1.043,1.918
values_10,1136,717,534,3541,2220,24664,100.00,100.00,100.00,100.00,2.127,0.321,0.512,0.046
values_53,34986,22170,13832,99753,64972,344729,100.00,100.00,100.00,100.00,2.529,0.351,0.538,0.101
values_8,34986,22170,13813,99449,64915,344425,100.00,100.00,100.00,100.00,2.533,0.352,0.539,0.102
values_39,286282,198384,56780,412791,272976,147496,100.00,100.00,100.00,100.00,5.042,0.694,1.049,1.941
values_47,396478,274486,78223,569501,377511,203679,100.00,100.00,100.00,100.00,5.069,0.696,1.050,1.947
values_60,95826,66649,19406,139951,91830,49954,100.00,100.00,100.00,100.00,4.938,0.685,1.044,1.918
values_89,531856,367999,104558,762777,506046,272656,100.00,100.00,100.00,100.00,5.087,0.697,1.051,1.951
values_51,6594,4229,2695,19113,12087,36099,100.00,100.00,100.00,100.00,2.447,0.345,0.546,0.183
values_14,95826,66649,19444,140559,91944,49992,100.00,100.00,100.00,100.00,4.928,0.682,1.042,1.917
values_28,254698,176530,50628,367945,243022,131380,100.00,100.00,100.00,100.00,5.031,0.692,1.048,1.939
values_16,254698,176530,50595,367417,242923,131347,100.00,100.00,100.00,100.00,5.034,0.693,1.048,1.939
values_34,198676,137801,39726,288811,189960,102794,100.00,100.00,100.00,100.00,5.001,0.688,1.046,1.933
values_82,8922,5706,3600,25447,16348,54219,100.00,100.00,100.00,100.00,2.478,0.351,0.546,0.165
values_46,151542,105199,30578,222949,145440,78754,100.00,100.00,100.00,100.00,4.956,0.680,1.042,1.924
values_27,11746,7495,4735,33791,21651,78967,100.00,100.00,100.00,100.00,2.481,0.348,0.543,0.149
values_20,438678,303660,86473,630315,417687,225225,100.00,100.00,100.00,100.00,5.073,0.696,1.050,1.948
values_9,23674,15034,9442,68075,43938,203947,100.00,100.00,100.00,100.00,2.507,0.348,0.539,0.116
values_92,74,45,55,239,177,359,100.00,100.00,87.50,100.00,1.345,0.310,0.418,0.206
values_3,15114,9626,6029,42853,27819,110673,100.00,100.00,100.00,100.00,2.507,0.353,0.543,0.137
values_98,112528,78197,22706,163959,107740,58542,100.00,100.00,100.00,100.00,4.956,0.686,1.044,1.922
values_29,438678,303660,86393,629035,417447,225145,100.00,100.00,100.00,100.00,5.078,0.697,1.051,1.948
values_80,611,386,303,1981,1201,8545,100.00,100.00,100.00,100.00,2.017,0.308,0.509,0.072
values_73,198676,137801,39629,287259,189669,102697,100.00,100.00,100.00,100.00,5.013,0.692,1.047,1.935
