id,clockCycles,assemblyInstr,Cache,cInstr,cGimple,cReleaseSSA,cOptimized,LineExe,BranchesExe,OnceEe,CallExe,cc4cs,cc4ir,cc4ssa,cc4opt
values_11,1263,1263,"['956872', '8845210', '126134', '1109105', '65083', '552208', '568384', '49.973', '12590318', '0', '3881452', '0', '160972', '0', '0', '4.147']",389,638,644,954,100.00,83.33,58.33,100.00,3.247,1.980,1.961,1.324
values_19,1239,1239,"['956872', '8845210', '126134', '1109105', '65083', '552208', '568384', '49.973', '12590258', '0', '3881428', '0', '160972', '0', '0', '4.147']",365,596,610,904,100.00,83.33,58.33,100.00,3.395,2.079,2.031,1.371
values_12,1187,1187,"['956872', '8845210', '126134', '1109105', '65083', '552208', '568384', '49.973', '12590090', '0', '3881376', '0', '160972', '0', '0', '4.147']",313,524,492,726,100.00,83.33,58.33,100.00,3.792,2.265,2.413,1.635
values_38,1179,1179,"['956872', '8845210', '126134', '1109105', '65083', '552208', '568384', '49.973', '12590060', '0', '3881368', '0', '160972', '0', '0', '4.147']",305,515,469,691,100.00,83.33,58.33,100.00,3.866,2.289,2.514,1.706
values_81,1204,1204,"['956872', '8845210', '126134', '1109105', '65083', '552208', '568384', '49.973', '12590092', '0', '3881393', '0', '160972', '0', '0', '4.147']",329,572,468,686,100.00,83.33,58.33,100.00,3.660,2.105,2.573,1.755
values_5,1209,1209,"['956872', '8845210', '126134', '1109105', '65083', '552208', '568384', '49.973', '12590144', '0', '3881398', '0', '160972', '0', '0', '4.147']",335,563,522,770,100.00,83.33,58.33,100.00,3.609,2.147,2.316,1.570
values_40,1208,1208,"['956872', '8845210', '126134', '1109105', '65083', '552208', '568384', '49.973', '12590182', '0', '3881397', '0', '160972', '0', '0', '4.147']",333,539,567,841,100.00,83.33,58.33,100.00,3.628,2.241,2.131,1.436
values_70,1218,1218,"['956872', '8845210', '126134', '1109105', '65083', '552208', '568384', '49.973', '12590170', '0', '3881407', '0', '160972', '0', '0', '4.147']",343,575,538,794,100.00,83.33,58.33,100.00,3.551,2.118,2.264,1.534
values_23,1279,1279,"['956872', '8845210', '126134', '1109105', '65083', '552208', '568384', '49.973', '12590372', '0', '3881468', '0', '160972', '0', '0', '4.147']",405,659,683,1013,100.00,83.33,58.33,100.00,3.158,1.941,1.873,1.263
values_72,1270,1270,"['956872', '8845210', '126134', '1109105', '65083', '552208', '568384', '49.973', '12590326', '0', '3881459', '0', '160972', '0', '0', '4.147']",395,653,642,950,100.00,83.33,58.33,100.00,3.215,1.945,1.978,1.337
values_79,1164,1164,"['956872', '8845210', '126134', '1109105', '65083', '552208', '568384', '49.973', '12590008', '0', '3881353', '0', '160972', '0', '0', '4.147']",289,494,430,632,100.00,83.33,58.33,100.00,4.028,2.356,2.707,1.842
values_78,1170,1170,"['956872', '8845210', '126134', '1109105', '65083', '552208', '568384', '49.973', '12590038', '0', '3881359', '0', '160972', '0', '0', '4.147']",295,497,456,672,100.00,83.33,58.33,100.00,3.966,2.354,2.566,1.741
values_87,1267,1267,"['956872', '8845210', '126134', '1109105', '65083', '552208', '568384', '49.973', '12590318', '0', '3881456', '0', '160972', '0', '0', '4.147']",393,650,638,944,100.00,83.33,58.33,100.00,3.224,1.949,1.986,1.342
values_6,1173,1173,"['956872', '8845210', '126134', '1109105', '65083', '552208', '568384', '49.973', '12590048', '0', '3881362', '0', '160972', '0', '0', '4.147']",299,503,464,684,100.00,83.33,58.33,100.00,3.923,2.332,2.528,1.715
values_68,2127,2127,"['956872', '8845210', '126134', '1109105', '65083', '552208', '568384', '49.973', '12592910', '0', '3882316', '0', '160972', '0', '0', '4.146']",1253,1934,2372,3546,100.00,83.33,58.33,100.00,1.698,1.100,0.897,0.600
values_69,1203,1203,"['956872', '8845210', '126134', '1109105', '65083', '552208', '568384', '49.973', '12590132', '0', '3881392', '0', '160972', '0', '0', '4.147']",329,551,517,763,100.00,83.33,58.33,100.00,3.657,2.183,2.327,1.577
values_1,1307,1307,"['956872', '8845210', '126134', '1109105', '65083', '552208', '568384', '49.973', '12590450', '0', '3881496', '0', '160972', '0', '0', '4.147']",433,704,732,1086,100.00,83.33,58.33,100.00,3.018,1.857,1.786,1.203
values_45,1172,1172,"['956872', '8845210', '126134', '1109105', '65083', '552208', '568384', '49.973', '12590038', '0', '3881361', '0', '160972', '0', '0', '4.147']",297,503,453,667,100.00,83.33,58.33,100.00,3.946,2.330,2.587,1.757
values_33,1211,1211,"['956872', '8845210', '126134', '1109105', '65083', '552208', '568384', '49.973', '12590156', '0', '3881400', '0', '160972', '0', '0', '4.147']",337,563,533,787,100.00,83.33,58.33,100.00,3.593,2.151,2.272,1.539
values_15,1332,1332,"['956872', '8845210', '126134', '1109105', '65083', '552208', '568384', '49.973', '12590560', '0', '3881521', '0', '160972', '0', '0', '4.147']",457,722,822,1224,100.00,83.33,58.33,100.00,2.915,1.845,1.620,1.088
values_93,1251,1251,"['956872', '8845210', '126134', '1109105', '65083', '552208', '568384', '49.973', '12590270', '0', '3881440', '0', '160972', '0', '0', '4.147']",377,626,606,896,100.00,83.33,58.33,100.00,3.318,1.998,2.064,1.396
values_24,1221,1221,"['956872', '8845210', '126134', '1109105', '65083', '552208', '568384', '49.973', '12590186', '0', '3881410', '0', '160972', '0', '0', '4.147']",347,578,553,817,100.00,83.33,58.33,100.00,3.519,2.112,2.208,1.494
values_25,1173,1173,"['956872', '8845210', '126134', '1109105', '65083', '552208', '568384', '49.973', '12590054', '0', '3881362', '0', '160972', '0', '0', '4.147']",299,500,471,695,100.00,83.33,58.33,100.00,3.923,2.346,2.490,1.688
values_26,1229,1229,"['956872', '8845210', '126134', '1109105', '65083', '552208', '568384', '49.973', '12590246', '0', '3881418', '0', '160972', '0', '0', '4.147']",355,572,611,907,100.00,83.33,58.33,100.00,3.462,2.149,2.011,1.355
values_48,1171,1171,"['956872', '8845210', '126134', '1109105', '65083', '552208', '568384', '49.973', '12590030', '0', '3881360', '0', '160972', '0', '0', '4.147']",297,506,446,656,100.00,83.33,58.33,100.00,3.943,2.314,2.626,1.785
values_71,1198,1198,"['956872', '8845210', '126134', '1109105', '65083', '552208', '568384', '49.973', '12590104', '0', '3881387', '0', '160972', '0', '0', '4.147']",323,548,491,723,100.00,83.33,58.33,100.00,3.709,2.186,2.440,1.657
values_76,1306,1306,"['956872', '8845210', '126134', '1109105', '65083', '552208', '568384', '49.973', '12590464', '0', '3881495', '0', '160972', '0', '0', '4.147']",431,692,749,1113,100.00,83.33,58.33,100.00,3.030,1.887,1.744,1.173
values_7,1377,1377,"['956872', '8845210', '126134', '1109105', '65083', '552208', '568384', '49.973', '12590666', '0', '3881566', '0', '160972', '0', '0', '4.147']",503,806,879,1307,100.00,83.33,58.33,100.00,2.738,1.708,1.567,1.054
values_50,1203,1203,"['956872', '8845210', '126134', '1109105', '65083', '552208', '568384', '49.973', '12590114', '0', '3881392', '0', '160972', '0', '0', '4.147']",329,560,496,730,100.00,83.33,58.33,100.00,3.657,2.148,2.425,1.648
values_22,1219,1219,"['956872', '8845210', '126134', '1109105', '65083', '552208', '568384', '49.973', '12590168', '0', '3881408', '0', '160972', '0', '0', '4.147']",345,581,535,789,100.00,83.33,58.33,100.00,3.533,2.098,2.279,1.545
values_4,1217,1217,"['956872', '8845210', '126134', '1109105', '65083', '552208', '568384', '49.973', '12590186', '0', '3881406', '0', '160972', '0', '0', '4.147']",343,566,559,827,100.00,83.33,58.33,100.00,3.548,2.150,2.177,1.472
values_32,1235,1235,"['956872', '8845210', '126134', '1109105', '65083', '552208', '568384', '49.973', '12590204', '0', '3881424', '0', '160972', '0', '0', '4.147']",361,611,553,815,100.00,83.33,58.33,100.00,3.421,2.021,2.233,1.515
values_77,1200,1200,"['956872', '8845210', '126134', '1109105', '65083', '552208', '568384', '49.973', '12590092', '0', '3881389', '0', '160972', '0', '0', '4.147']",325,560,474,696,100.00,83.33,58.33,100.00,3.692,2.143,2.532,1.724
values_91,1202,1202,"['956872', '8845210', '126134', '1109105', '65083', '552208', '568384', '49.973', '12590110', '0', '3881391', '0', '160972', '0', '0', '4.147']",327,557,492,724,100.00,83.33,58.33,100.00,3.676,2.158,2.443,1.660
values_42,1261,1261,"['956872', '8845210', '126134', '1109105', '65083', '552208', '568384', '49.973', '12590294', '0', '3881450', '0', '160972', '0', '0', '4.147']",387,644,619,915,100.00,83.33,58.33,100.00,3.258,1.958,2.037,1.378
values_13,3501,3501,"['956872', '8845210', '126134', '1109105', '65083', '552208', '568384', '49.973', '12597038', '0', '3883690', '0', '160972', '0', '0', '4.145']",2627,3992,5127,7679,100.00,83.33,58.33,100.00,1.333,0.877,0.683,0.456
values_41,1272,1272,"['956872', '8845210', '126134', '1109105', '65083', '552208', '568384', '49.973', '12590350', '0', '3881461', '0', '160972', '0', '0', '4.147']",397,647,667,989,100.00,83.33,58.33,100.00,3.204,1.966,1.907,1.286
values_55,1225,1225,"['956872', '8845210', '126134', '1109105', '65083', '552208', '568384', '49.973', '12590204', '0', '3881414', '0', '160972', '0', '0', '4.147']",351,581,568,840,100.00,83.33,58.33,100.00,3.490,2.108,2.157,1.458
values_31,1217,1217,"['956872', '8845210', '126134', '1109105', '65083', '552208', '568384', '49.973', '12590162', '0', '3881406', '0', '160972', '0', '0', '4.147']",343,578,531,783,100.00,83.33,58.33,100.00,3.548,2.106,2.292,1.554
values_66,1208,1208,"['956872', '8845210', '126134', '1109105', '65083', '552208', '568384', '49.973', '12590140', '0', '3881397', '0', '160972', '0', '0', '4.147']",333,560,518,764,100.00,83.33,58.33,100.00,3.628,2.157,2.332,1.581
values_65,1252,1252,"['956872', '8845210', '126134', '1109105', '65083', '552208', '568384', '49.973', '12590314', '0', '3881441', '0', '160972', '0', '0', '4.147']",377,605,655,973,100.00,83.33,58.33,100.00,3.321,2.069,1.911,1.287
