id,clockCycles,assemblyInstr,cInstr,cGimple,cReleaseSSA,cOptimized,LineExe,BranchesExe,OnceEe,CallExe,cc4cs,cc4ir,cc4ssa,cc4opt
values_11,20,13,343,575,580,1209,100.00,83.33,58.33,100.00,0.058,0.035,0.034,0.017
values_19,20,13,311,530,511,1025,100.00,83.33,58.33,100.00,0.064,0.038,0.039,0.020
values_12,20,13,363,614,605,1237,100.00,83.33,58.33,100.00,0.055,0.033,0.033,0.016
values_38,20,13,333,572,540,1063,100.00,83.33,58.33,100.00,0.060,0.035,0.037,0.019
values_81,20,13,321,542,536,1099,100.00,83.33,58.33,100.00,0.062,0.037,0.037,0.018
values_5,20,13,305,518,504,1019,100.00,83.33,58.33,100.00,0.066,0.039,0.040,0.020
values_40,20,13,345,560,614,1363,100.00,83.33,58.33,100.00,0.058,0.036,0.033,0.015
values_70,20,13,279,479,452,889,100.00,83.33,58.33,100.00,0.072,0.042,0.044,0.022
values_23,20,13,367,596,653,1449,100.00,83.33,58.33,100.00,0.054,0.034,0.031,0.014
values_72,20,13,347,569,608,1325,100.00,83.33,58.33,100.00,0.058,0.035,0.033,0.015
values_79,20,13,1687,2570,3303,8097,100.00,83.33,58.33,100.00,0.012,0.008,0.006,0.002
values_78,20,13,369,614,632,1339,100.00,83.33,58.33,100.00,0.054,0.033,0.032,0.015
values_87,20,13,321,533,551,1171,100.00,83.33,58.33,100.00,0.062,0.038,0.036,0.017
values_6,20,13,317,524,548,1175,100.00,83.33,58.33,100.00,0.063,0.038,0.036,0.017
values_68,20,13,349,593,577,1167,100.00,83.33,58.33,100.00,0.057,0.034,0.035,0.017
values_69,20,13,1003,1550,1925,4629,100.00,83.33,58.33,100.00,0.020,0.013,0.010,0.004
values_1,20,13,355,593,604,1269,100.00,83.33,58.33,100.00,0.056,0.034,0.033,0.016
values_45,20,13,22131,33242,44181,110269,100.00,83.33,58.33,100.00,0.001,0.001,0.000,0.000
values_33,20,13,317,539,523,1055,100.00,83.33,58.33,100.00,0.063,0.037,0.038,0.019
values_15,20,13,369,605,647,1411,100.00,83.33,58.33,100.00,0.054,0.033,0.031,0.014
values_93,20,13,503,806,915,2081,100.00,83.33,58.33,100.00,0.040,0.025,0.022,0.010
values_24,20,13,307,521,508,1029,100.00,83.33,58.33,100.00,0.065,0.038,0.039,0.019
values_25,20,13,311,533,506,1001,100.00,83.33,58.33,100.00,0.064,0.038,0.040,0.020
values_26,20,13,433,713,755,1635,100.00,83.33,58.33,100.00,0.046,0.028,0.026,0.012
values_48,20,13,1029,1598,1962,4687,100.00,83.33,58.33,100.00,0.019,0.013,0.010,0.004
values_71,20,13,309,527,507,1015,100.00,83.33,58.33,100.00,0.065,0.038,0.039,0.020
values_76,20,13,325,548,544,1119,100.00,83.33,58.33,100.00,0.062,0.036,0.037,0.018
values_7,20,13,469,758,842,1887,100.00,83.33,58.33,100.00,0.043,0.026,0.024,0.011
values_50,20,13,375,611,664,1465,100.00,83.33,58.33,100.00,0.053,0.033,0.030,0.014
values_22,20,13,339,566,577,1213,100.00,83.33,58.33,100.00,0.059,0.035,0.035,0.016
values_4,20,13,301,494,526,1143,100.00,83.33,58.33,100.00,0.066,0.040,0.038,0.017
values_32,20,13,383,632,665,1433,100.00,83.33,58.33,100.00,0.052,0.032,0.030,0.014
values_77,20,13,303,518,495,985,100.00,83.33,58.33,100.00,0.066,0.039,0.040,0.020
values_91,20,13,483,776,875,1981,100.00,83.33,58.33,100.00,0.041,0.026,0.023,0.010
values_42,20,13,379,614,677,1509,100.00,83.33,58.33,100.00,0.053,0.033,0.030,0.013
values_13,20,13,329,548,562,1187,100.00,83.33,58.33,100.00,0.061,0.036,0.036,0.017
values_41,20,13,311,539,496,953,100.00,83.33,58.33,100.00,0.064,0.037,0.040,0.021
values_55,20,13,393,644,690,1507,100.00,83.33,58.33,100.00,0.051,0.031,0.029,0.013
values_31,20,13,313,542,500,963,100.00,83.33,58.33,100.00,0.064,0.037,0.040,0.021
values_66,20,13,345,572,594,1267,100.00,83.33,58.33,100.00,0.058,0.035,0.034,0.016
values_65,20,13,435,710,769,1693,100.00,83.33,58.33,100.00,0.046,0.028,0.026,0.012
values_62,20,13,501,803,911,2071,100.00,83.33,58.33,100.00,0.040,0.025,0.022,0.010
values_21,20,13,369,614,632,1339,100.00,83.33,58.33,100.00,0.054,0.033,0.032,0.015
values_95,20,13,745,1166,1404,3315,100.00,83.33,58.33,100.00,0.027,0.017,0.014,0.006
values_84,20,13,1441,2201,2811,6867,100.00,83.33,58.33,100.00,0.014,0.009,0.007,0.003
values_58,20,13,779,1220,1467,3461,100.00,83.33,58.33,100.00,0.026,0.016,0.014,0.006
values_64,20,13,293,488,500,1055,100.00,83.33,58.33,100.00,0.068,0.041,0.040,0.019
values_83,20,13,389,641,677,1463,100.00,83.33,58.33,100.00,0.051,0.031,0.030,0.014
values_94,20,13,351,584,601,1273,100.00,83.33,58.33,100.00,0.057,0.034,0.033,0.016
values_0,20,13,451,716,831,1917,100.00,83.33,58.33,100.00,0.044,0.028,0.024,0.010
values_99,20,13,353,584,610,1307,100.00,83.33,58.33,100.00,0.057,0.034,0.033,0.015
values_96,20,13,497,809,883,1955,100.00,83.33,58.33,100.00,0.040,0.025,0.023,0.010
values_67,20,13,707,1103,1338,3173,100.00,83.33,58.33,100.00,0.028,0.018,0.015,0.006
values_61,20,13,331,581,516,957,100.00,83.33,58.33,100.00,0.060,0.034,0.039,0.021
values_43,20,13,559,899,1012,2289,100.00,83.33,58.33,100.00,0.036,0.022,0.020,0.009
values_2,20,13,305,524,494,971,100.00,83.33,58.33,100.00,0.066,0.038,0.040,0.021
values_54,20,13,363,590,645,1429,100.00,83.33,58.33,100.00,0.055,0.034,0.031,0.014
values_30,20,13,297,473,543,1243,100.00,83.33,58.33,100.00,0.067,0.042,0.037,0.016
values_59,20,13,509,818,922,2087,100.00,83.33,58.33,100.00,0.039,0.024,0.022,0.010
values_85,20,13,449,731,797,1763,100.00,83.33,58.33,100.00,0.045,0.027,0.025,0.011
values_74,20,13,2067,3149,4048,9925,100.00,83.33,58.33,100.00,0.010,0.006,0.005,0.002
values_90,20,13,349,569,617,1359,100.00,83.33,58.33,100.00,0.057,0.035,0.032,0.015
values_18,20,13,4083,6179,8070,19957,100.00,83.33,58.33,100.00,0.005,0.003,0.002,0.001
values_52,20,13,315,542,509,997,100.00,83.33,58.33,100.00,0.063,0.037,0.039,0.020
values_44,20,13,393,638,700,1555,100.00,83.33,58.33,100.00,0.051,0.031,0.029,0.013
values_17,20,13,283,473,480,1005,100.00,83.33,58.33,100.00,0.071,0.042,0.042,0.020
values_36,20,13,361,590,636,1395,100.00,83.33,58.33,100.00,0.055,0.034,0.031,0.014
values_49,20,13,471,761,846,1897,100.00,83.33,58.33,100.00,0.042,0.026,0.024,0.011
values_86,20,13,343,569,590,1257,100.00,83.33,58.33,100.00,0.058,0.035,0.034,0.016
values_37,20,13,307,518,513,1053,100.00,83.33,58.33,100.00,0.065,0.039,0.039,0.019
values_56,20,13,401,659,701,1523,100.00,83.33,58.33,100.00,0.050,0.030,0.029,0.013
values_63,20,13,1019,1556,1987,4853,100.00,83.33,58.33,100.00,0.020,0.013,0.010,0.004
values_35,20,13,351,596,581,1177,100.00,83.33,58.33,100.00,0.057,0.034,0.034,0.017
values_97,20,13,335,557,574,1217,100.00,83.33,58.33,100.00,0.060,0.036,0.035,0.016
