id,clockCycles,assemblyInstr,cInstr,cGimple,cReleaseSSA,cOptimized,LineExe,BranchesExe,OnceEe,CallExe,cc4cs,cc4ir,cc4ssa,cc4opt
values_11,37136,25948,5038,19497,14701,59792,100.00,91.30,78.26,90.00,7.371,1.905,2.526,0.621
values_19,11622,7825,1949,7275,5518,57744,100.00,91.30,78.26,90.00,5.963,1.598,2.106,0.201
values_12,280006,203186,37441,151773,114388,862880,100.00,91.30,78.26,90.00,7.479,1.845,2.448,0.325
values_38,11431,7686,1947,7266,5515,57742,100.00,91.30,78.26,90.00,5.871,1.573,2.073,0.198
values_81,11507,7742,1945,7257,5512,57740,100.00,91.30,78.26,90.00,5.916,1.586,2.088,0.199
values_5,3447,2122,592,2050,1592,6161,100.00,91.30,78.26,90.00,5.823,1.681,2.165,0.559
values_40,6864,4460,1116,4047,3088,20682,100.00,91.30,78.26,90.00,6.151,1.696,2.223,0.332
values_70,79201,57132,10995,43480,32729,170460,100.00,91.30,78.26,90.00,7.203,1.822,2.420,0.465
values_23,23789,16355,3211,12235,9248,32431,100.00,91.30,78.26,90.00,7.409,1.944,2.572,0.734
values_72,358862,262076,48407,197049,148582,1208505,100.00,91.30,78.26,90.00,7.413,1.821,2.415,0.297
values_79,24157,16530,3211,12235,9248,32431,100.00,91.30,78.26,90.00,7.523,1.974,2.612,0.745
values_78,3447,2129,592,2050,1592,6161,100.00,91.30,78.26,90.00,5.823,1.681,2.165,0.559
values_87,79068,57053,11001,43507,32738,170550,100.00,91.30,78.26,90.00,7.187,1.817,2.415,0.464
values_6,159099,114378,21236,85200,64138,408618,100.00,91.30,78.26,90.00,7.492,1.867,2.481,0.389
values_68,78720,56908,10995,43480,32729,170460,100.00,91.30,78.26,90.00,7.160,1.810,2.405,0.462
values_69,1833,1051,299,969,760,1560,100.00,91.30,78.26,90.00,6.130,1.892,2.412,1.175
values_1,281277,203847,37463,151872,114421,863342,100.00,91.30,78.26,90.00,7.508,1.852,2.458,0.326
values_45,727,375,141,405,327,328,100.00,91.30,78.26,90.00,5.156,1.795,2.223,2.216
values_33,646,332,139,396,324,326,100.00,91.30,76.09,90.00,4.647,1.631,1.994,1.982
values_15,36997,25890,5036,19488,14698,59768,100.00,91.30,78.26,90.00,7.347,1.898,2.517,0.619
values_93,6662,4329,1112,4029,3082,20678,100.00,91.30,78.26,90.00,5.991,1.654,2.162,0.322
values_24,1745,1001,297,960,757,1554,100.00,91.30,78.26,90.00,5.875,1.818,2.305,1.123
values_25,78822,56968,10997,43489,32732,170490,100.00,91.30,78.26,90.00,7.168,1.812,2.408,0.462
values_26,359839,262606,48431,197157,148618,1209045,100.00,91.30,78.26,90.00,7.430,1.825,2.421,0.298
values_48,156785,113263,21224,85146,64120,408402,100.00,91.30,78.26,90.00,7.387,1.841,2.445,0.384
values_71,6666,4341,1110,4020,3079,20676,100.00,91.30,78.26,90.00,6.005,1.658,2.165,0.322
values_76,11399,7671,1945,7257,5512,57740,100.00,91.30,78.26,90.00,5.861,1.571,2.068,0.197
values_7,210087,152897,28474,114874,86525,601869,100.00,91.30,78.26,90.00,7.378,1.829,2.428,0.349
values_50,113024,81756,15481,61704,46441,268790,100.00,91.30,78.26,90.00,7.301,1.832,2.434,0.420
values_22,6701,4348,1114,4038,3085,20680,100.00,91.30,78.26,90.00,6.015,1.659,2.172,0.324
values_4,359574,262448,48415,197085,148594,1208685,100.00,91.30,78.26,90.00,7.427,1.824,2.420,0.297
values_32,6825,4422,1118,4056,3091,20684,100.00,91.30,78.26,90.00,6.105,1.683,2.208,0.330
values_77,11272,7619,1941,7239,5506,57736,100.00,91.30,78.26,90.00,5.807,1.557,2.047,0.195
values_91,210189,152927,28488,114937,86546,602142,100.00,91.30,78.26,90.00,7.378,1.829,2.429,0.349
values_42,23868,16395,3205,12208,9239,32368,100.00,91.30,78.26,90.00,7.447,1.955,2.583,0.737
values_13,11416,7700,1945,7257,5512,57740,100.00,91.30,78.26,90.00,5.869,1.573,2.071,0.198
values_41,209180,152370,28464,114829,86510,601674,100.00,91.30,78.26,90.00,7.349,1.822,2.418,0.348
values_55,6842,4430,1116,4047,3088,20682,100.00,91.30,78.26,90.00,6.131,1.691,2.216,0.331
values_31,158076,113949,21230,85173,64129,408510,100.00,91.30,78.26,90.00,7.446,1.856,2.465,0.387
values_66,209329,152441,28478,114892,86531,601947,100.00,91.30,78.26,90.00,7.351,1.822,2.419,0.348
values_65,658,340,139,396,324,326,100.00,91.30,76.09,90.00,4.734,1.662,2.031,2.018
values_62,11564,7783,1947,7266,5515,57742,100.00,91.30,78.26,90.00,5.939,1.592,2.097,0.200
values_21,24140,16493,3209,12226,9245,32410,100.00,91.30,78.26,90.00,7.523,1.974,2.611,0.745
values_95,79470,57240,10997,43489,32732,170490,100.00,91.30,78.26,90.00,7.227,1.827,2.428,0.466
values_84,1630,941,295,951,754,1548,100.00,91.30,78.26,90.00,5.525,1.714,2.162,1.053
values_58,36994,25889,5040,19506,14704,59816,100.00,91.30,78.26,90.00,7.340,1.897,2.516,0.618
values_64,11410,7683,1945,7257,5512,57740,100.00,91.30,78.26,90.00,5.866,1.572,2.070,0.198
values_83,37026,25917,5038,19497,14701,59792,100.00,91.30,78.26,90.00,7.349,1.899,2.519,0.619
values_94,79001,57017,10993,43471,32726,170430,100.00,91.30,78.26,90.00,7.186,1.817,2.414,0.464
values_0,359050,262259,48429,197148,148615,1209000,100.00,91.30,78.26,90.00,7.414,1.821,2.416,0.297
values_99,79309,57169,11005,43525,32744,170610,100.00,91.30,78.26,90.00,7.207,1.822,2.422,0.465
values_96,36307,25525,5026,19443,14683,59648,100.00,91.30,78.26,90.00,7.224,1.867,2.473,0.609
values_67,6664,4322,1114,4038,3085,20680,100.00,91.30,78.26,90.00,5.982,1.650,2.160,0.322
values_61,55675,39545,7576,29673,22348,103560,100.00,91.30,78.26,90.00,7.349,1.876,2.491,0.538
values_43,11585,7771,1949,7275,5518,57744,100.00,91.30,78.26,90.00,5.944,1.592,2.099,0.201
values_2,1753,1008,297,960,757,1554,100.00,91.30,78.26,90.00,5.902,1.826,2.316,1.128
values_54,37150,25948,5032,19470,14692,59720,100.00,91.30,78.26,90.00,7.383,1.908,2.529,0.622
values_30,11525,7770,1943,7248,5509,57738,100.00,91.30,78.26,90.00,5.932,1.590,2.092,0.200
values_59,36966,25865,5038,19497,14701,59792,100.00,91.30,78.26,90.00,7.337,1.896,2.515,0.618
values_85,3536,2172,594,2059,1595,6163,100.00,91.30,78.26,90.00,5.953,1.717,2.217,0.574
values_74,36967,25872,5038,19497,14701,59792,100.00,91.30,78.26,90.00,7.338,1.896,2.515,0.618
values_90,24091,16488,3209,12226,9245,32410,100.00,91.30,78.26,90.00,7.507,1.970,2.606,0.743
values_18,359455,262464,48423,197121,148606,1208865,100.00,91.30,78.26,90.00,7.423,1.824,2.419,0.297
values_52,24013,16460,3207,12217,9242,32389,100.00,91.30,78.26,90.00,7.488,1.966,2.598,0.741
values_44,6332,4149,1106,4002,3073,20672,100.00,91.30,78.26,90.00,5.725,1.582,2.061,0.306
values_17,36922,25846,5032,19470,14692,59720,100.00,91.30,78.26,90.00,7.337,1.896,2.513,0.618
values_36,3612,2215,596,2068,1598,6165,100.00,91.30,78.26,90.00,6.060,1.747,2.260,0.586
values_49,658,340,139,396,324,326,100.00,91.30,76.09,90.00,4.734,1.662,2.031,2.018
values_86,23931,16417,3207,12217,9242,32389,100.00,91.30,78.26,90.00,7.462,1.959,2.589,0.739
values_37,36800,25792,5026,19443,14683,59648,100.00,91.30,78.26,90.00,7.322,1.893,2.506,0.617
values_56,36925,25848,5038,19497,14701,59792,100.00,91.30,78.26,90.00,7.329,1.894,2.512,0.618
values_63,280454,203459,37463,151872,114421,863342,100.00,91.30,78.26,90.00,7.486,1.847,2.451,0.325
values_35,23837,16380,3207,12217,9242,32389,100.00,91.30,78.26,90.00,7.433,1.951,2.579,0.736
values_97,11422,7713,1945,7257,5512,57740,100.00,91.30,78.26,90.00,5.872,1.574,2.072,0.198
values_75,36724,25756,5034,19479,14695,59744,100.00,91.30,78.26,90.00,7.295,1.885,2.499,0.615
values_57,208921,152250,28462,114820,86507,601635,100.00,91.30,78.26,90.00,7.340,1.820,2.415,0.347
values_88,3563,2195,594,2059,1595,6163,100.00,91.30,78.26,90.00,5.998,1.730,2.234,0.578
values_10,3490,2159,592,2050,1592,6161,100.00,91.30,78.26,90.00,5.895,1.702,2.192,0.566
values_53,1759,1009,299,969,760,1560,100.00,91.30,78.26,90.00,5.883,1.815,2.314,1.128
values_8,54849,39138,7574,29664,22345,103533,100.00,91.30,78.26,90.00,7.242,1.849,2.455,0.530
values_39,37259,26007,5040,19506,14704,59816,100.00,91.30,78.26,90.00,7.393,1.910,2.534,0.623
values_47,359643,262590,48421,197112,148603,1208820,100.00,91.30,78.26,90.00,7.427,1.825,2.420,0.298
values_60,24219,16542,3213,12244,9251,32452,100.00,91.30,78.26,90.00,7.538,1.978,2.618,0.746
values_89,208700,152112,28474,114874,86525,601869,100.00,91.30,78.26,90.00,7.329,1.817,2.412,0.347
values_51,6672,4343,1112,4029,3082,20678,100.00,91.30,78.26,90.00,6.000,1.656,2.165,0.323
values_14,280263,203286,37463,151872,114421,863342,100.00,91.30,78.26,90.00,7.481,1.845,2.449,0.325
values_28,658,340,139,396,324,326,100.00,91.30,76.09,90.00,4.734,1.662,2.031,2.018
values_16,208894,152209,28474,114874,86525,601869,100.00,91.30,78.26,90.00,7.336,1.818,2.414,0.347
values_34,54917,39175,7578,29682,22351,103587,100.00,91.30,78.26,90.00,7.247,1.850,2.457,0.530
values_82,11632,7833,1949,7275,5518,57744,100.00,91.30,78.26,90.00,5.968,1.599,2.108,0.201
values_46,727,375,141,405,327,328,100.00,91.30,78.26,90.00,5.156,1.795,2.223,2.216
values_27,280690,203526,37457,151845,114412,863216,100.00,91.30,78.26,90.00,7.494,1.849,2.453,0.325
values_20,6515,4253,1108,4011,3076,20674,100.00,91.30,78.26,90.00,5.880,1.624,2.118,0.315
values_9,157625,113666,21238,85209,64141,408654,100.00,91.30,78.26,90.00,7.422,1.850,2.457,0.386
values_92,359309,262327,48421,197112,148603,1208820,100.00,91.30,78.26,90.00,7.421,1.823,2.418,0.297
values_3,209314,152470,28462,114820,86507,601635,100.00,91.30,78.26,90.00,7.354,1.823,2.420,0.348
values_98,36595,25658,5030,19461,14689,59696,100.00,91.30,78.26,90.00,7.275,1.880,2.491,0.613
values_29,6518,4265,1108,4011,3076,20674,100.00,91.30,78.26,90.00,5.883,1.625,2.119,0.315
values_80,280117,203177,37461,151863,114418,863300,100.00,91.30,78.26,90.00,7.478,1.845,2.448,0.324
values_73,3320,2054,590,2041,1589,6159,100.00,91.30,78.26,90.00,5.627,1.627,2.089,0.539
