inputName,text,data,bss
values_11,6450,4092,1584
values_19,7658,2692,1536
values_12,6474,4612,1600
values_38,6480,6092,1624
values_81,8760,3172,1560
values_5,6458,5196,1608
values_40,6442,6588,1632
values_70,6496,5860,1624
values_23,6496,5860,1624
values_72,9404,3516,1568
values_79,6444,4428,1592
values_78,8214,2820,1544
values_87,6476,5628,1616
values_6,8504,3068,1552
values_68,6466,3940,1584
values_69,8796,2980,1552
values_1,6496,5860,1624
values_45,6496,5860,1624
values_33,7658,2692,1536
values_15,6442,6588,1632
values_93,6488,2532,1520
values_24,6496,5860,1624
values_25,6442,6588,1632
values_26,6476,5628,1616
values_48,6488,2532,1520
values_71,6746,2556,1520
values_76,9518,3652,1576
values_7,7128,2596,1528
values_50,6444,4428,1592
values_22,8760,3172,1560
values_4,6480,6092,1624
values_32,6458,5196,1608
values_77,8938,3276,1560
values_91,6240,2508,1512
values_42,6466,3940,1584
values_13,6496,5860,1624
values_41,6442,6588,1632
values_55,7128,2596,1528
values_31,6488,2532,1520
values_66,8760,3172,1560
values_65,6458,5196,1608
values_62,6452,3788,1576
values_21,7372,2636,1528
values_95,6452,3788,1576
values_84,8504,3068,1552
values_58,9404,3516,1568
values_64,9518,3652,1576
values_83,8760,3172,1560
values_94,8504,3068,1552
values_0,6746,2556,1520
values_99,7658,2692,1536
values_96,6442,6588,1632
values_67,7658,2692,1536
values_61,6452,3788,1576
values_43,7904,2748,1536
values_2,9106,3396,1568
values_54,8504,3068,1552
values_30,6746,2556,1520
values_59,6444,4428,1592
values_85,6474,4612,1600
values_74,6466,3940,1584
values_90,6444,4428,1592
values_18,6446,6340,1632
values_52,7128,2596,1528
values_44,6446,6340,1632
values_17,6444,4428,1592
values_36,6442,6588,1632
values_49,9518,3652,1576
values_86,7372,2636,1528
values_37,6450,4092,1584
values_56,6496,5860,1624
values_63,6476,5628,1616
values_35,6492,5412,1616
values_97,8504,3068,1552
values_75,6474,4612,1600
values_57,8760,3172,1560
values_88,6746,2556,1520
values_10,6486,4996,1608
values_53,6746,2556,1520
values_8,8938,3276,1560
values_39,6452,3788,1576
values_47,6446,6340,1632
values_60,8796,2980,1552
values_89,6442,6588,1632
values_51,9518,3652,1576
values_14,6468,4260,1592
values_28,6446,6340,1632
values_16,6458,4796,1600
values_34,8760,3172,1560
values_82,6746,2556,1520
values_46,8492,2892,1544
values_27,6486,4996,1608
values_20,8760,3172,1560
values_9,6746,2556,1520
values_92,7128,2596,1528
values_3,6492,5412,1616
values_98,6480,6092,1624
values_29,6474,4612,1600
values_80,9518,3652,1576
values_73,6466,3940,1584
