inputName,text,data,bss
values_11,8158,2,0
values_19,1798,12,0
values_12,1826,14,0
values_38,2282,28,0
values_81,2308,20,0
values_5,2282,28,0
values_40,8602,4,0
values_70,1770,12,0
values_23,1672,8,0
values_72,2294,18,0
values_79,1696,8,0
values_78,2282,26,0
values_87,2324,24,0
values_6,1720,10,0
values_68,2294,18,0
values_69,2182,24,0
values_1,2324,22,0
values_45,2324,22,0
values_33,2182,24,0
values_15,2294,18,0
values_93,1770,12,0
values_24,2294,18,0
values_25,1720,10,0
values_26,2308,20,0
values_48,1744,10,0
values_71,2308,22,0
values_76,8454,4,0
values_7,1798,12,0
values_50,1720,10,0
values_22,2286,32,0
values_4,1770,12,0
values_32,1854,14,0
values_77,2282,30,0
values_91,1624,6,0
values_42,2182,26,0
values_13,8158,2,0
values_41,1770,12,0
values_55,2322,20,0
values_31,2308,22,0
values_66,1624,6,0
values_65,1720,10,0
values_62,1648,6,0
values_21,1798,12,0
values_95,2308,22,0
values_84,2282,30,0
values_58,2282,32,0
values_64,2322,20,0
values_83,1882,16,0
values_94,2324,22,0
values_0,1648,6,0
values_99,2294,18,0
values_96,8602,4,0
values_67,2282,28,0
values_61,8454,4,0
values_43,2324,22,0
values_2,1696,8,0
values_54,2282,28,0
values_30,8454,4,0
values_59,1826,14,0
values_85,2322,20,0
values_74,1770,12,0
values_90,1938,18,0
values_18,2282,32,0
values_52,1648,6,0
values_44,1696,8,0
values_17,2282,28,0
values_36,1826,14,0
values_49,2308,22,0
values_86,2322,20,0
values_37,1770,12,0
values_56,2294,18,0
values_63,2294,18,0
values_35,1910,16,0
values_97,2322,20,0
values_75,2294,18,0
values_57,1672,8,0
values_88,2294,18,0
values_10,8602,4,0
values_53,2282,32,0
values_8,2324,24,0
values_39,1798,12,0
values_47,1648,6,0
values_60,2282,26,0
values_89,1854,14,0
values_51,8454,4,0
values_14,1798,12,0
values_28,2282,28,0
values_16,2282,28,0
values_34,8454,4,0
values_82,2282,28,0
values_46,2282,30,0
values_27,2282,32,0
values_20,1624,6,0
values_9,1854,14,0
values_92,2308,20,0
values_3,1672,8,0
values_98,2294,18,0
values_29,2182,24,0
values_80,2282,28,0
values_73,8158,2,0
